 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    4.35322408794477     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.58043592388E-003        0.58053648594E-002        0.10170973443E-004        0.57951938859E-002        0.58054369352E-002        0.72075813267E-007
        0.60342127573E-003        0.62705076078E-002        0.10985852393E-004        0.62595217554E-002        0.62705855051E-002        0.77897273050E-007
        0.62685294509E-003        0.67628269072E-002        0.11848335663E-004        0.67509785715E-002        0.67629109717E-002        0.84064452661E-007
        0.65073093196E-003        0.72833345928E-002        0.12760195045E-004        0.72705743978E-002        0.72834251836E-002        0.90590776048E-007
        0.67505523634E-003        0.78330584884E-002        0.13723230274E-004        0.78193352581E-002        0.78331559783E-002        0.97489922857E-007
        0.69982585824E-003        0.84130422262E-002        0.14739268716E-004        0.83983029575E-002        0.84131470021E-002        0.10477582843E-006
        0.72504279765E-003        0.90243450644E-002        0.15810165042E-004        0.90085348993E-002        0.90244575270E-002        0.11246268379E-006
        0.75070605457E-003        0.96680417011E-002        0.16937800900E-004        0.96511039002E-002        0.96681622661E-002        0.12056493567E-006
        0.77681562900E-003        0.10345222087E-001        0.18124084582E-004        0.10327098002E-001        0.10345351184E-001        0.12909728650E-006
        0.80337152094E-003        0.11056991234E-001        0.19370950687E-004        0.11037620283E-001        0.11057129308E-001        0.13807469439E-006
        0.83037373039E-003        0.11804469020E-001        0.20680359780E-004        0.11783788660E-001        0.11804616532E-001        0.14751237316E-006
        0.85782225736E-003        0.12588789996E-001        0.22054298041E-004        0.12566735698E-001        0.12588947421E-001        0.15742579230E-006
        0.88571710183E-003        0.13411103184E-001        0.23494776919E-004        0.13387608407E-001        0.13411271015E-001        0.16783067702E-006
        0.91405826382E-003        0.14272571878E-001        0.25003832767E-004        0.14247568045E-001        0.14272750621E-001        0.17874300822E-006
        0.94284574332E-003        0.15174373437E-001        0.26583526491E-004        0.15147789911E-001        0.15174563616E-001        0.19017902249E-006
        0.97207954033E-003        0.16117699082E-001        0.28235943177E-004        0.16089463138E-001        0.16117901237E-001        0.20215521211E-006
        0.10017596549E-002        0.17103753683E-001        0.29963191724E-004        0.17073790491E-001        0.17103968371E-001        0.21468832506E-006
        0.10318860869E-002        0.18133755550E-001        0.31767404470E-004        0.18101988146E-001        0.18133983345E-001        0.22779536501E-006
        0.10624588364E-002        0.19208936220E-001        0.33650736813E-004        0.19175285483E-001        0.19209177714E-001        0.24149359134E-006
        0.10934779035E-002        0.20330540238E-001        0.35615366826E-004        0.20294924871E-001        0.20330796038E-001        0.25580051912E-006
        0.11249432881E-002        0.21499824938E-001        0.37663494876E-004        0.21462161443E-001        0.21500095672E-001        0.27073391909E-006
        0.11568549902E-002        0.22718060226E-001        0.39797343224E-004        0.22678262883E-001        0.22718346538E-001        0.28631181772E-006
        0.11892130097E-002        0.23986528352E-001        0.42019155638E-004        0.23944509197E-001        0.23986830905E-001        0.30255249715E-006
        0.12220173468E-002        0.25306523688E-001        0.44331196988E-004        0.25262192491E-001        0.25306843163E-001        0.31947449523E-006
        0.12552680015E-002        0.26679352498E-001        0.46735752847E-004        0.26632616745E-001        0.26679689594E-001        0.33709660549E-006
        0.12889649736E-002        0.28106332707E-001        0.49235129081E-004        0.28057097578E-001        0.28106688145E-001        0.35543787718E-006
        0.13231082632E-002        0.29588793675E-001        0.51831651438E-004        0.29536962024E-001        0.29589168193E-001        0.37451761523E-006
        0.13576978704E-002        0.31128075954E-001        0.54527665136E-004        0.31073548289E-001        0.31128470310E-001        0.39435538025E-006
        0.13927337950E-002        0.32725531060E-001        0.57325534443E-004        0.32668205525E-001        0.32725946031E-001        0.41497098857E-006
        0.14282160372E-002        0.34382521227E-001        0.60227642253E-004        0.34322293585E-001        0.34382957612E-001        0.43638451221E-006
        0.14641445969E-002        0.36100419175E-001        0.63236389666E-004        0.36037182785E-001        0.36100877791E-001        0.45861627887E-006
        0.15005194741E-002        0.37880607861E-001        0.66354195553E-004        0.37814253665E-001        0.37881089548E-001        0.48168687197E-006
        0.15373406688E-002        0.39724480237E-001        0.69583496127E-004        0.39654896741E-001        0.39724985854E-001        0.50561713060E-006
        0.15746081810E-002        0.41633439007E-001        0.72926744507E-004        0.41560512263E-001        0.41633969436E-001        0.53042814957E-006
        0.16123220108E-002        0.43608896375E-001        0.76386410279E-004        0.43532509965E-001        0.43609452517E-001        0.55614127936E-006
        0.16504821580E-002        0.45652273797E-001        0.79964979053E-004        0.45572308818E-001        0.45652856575E-001        0.58277812618E-006
        0.16890886228E-002        0.47765001731E-001        0.83664952017E-004        0.47681336779E-001        0.47765612092E-001        0.61036055189E-006
        0.17281414050E-002        0.49948519381E-001        0.87488845492E-004        0.49861030536E-001        0.49949158292E-001        0.63891067409E-006
        0.17676405048E-002        0.52204274446E-001        0.91439190476E-004        0.52112835256E-001        0.52204942897E-001        0.66845086605E-006
        0.18075859221E-002        0.54533722861E-001        0.95518532194E-004        0.54438204329E-001        0.54534421865E-001        0.69900375675E-006
        0.18479776569E-002        0.56938328539E-001        0.99729429637E-004        0.56838599110E-001        0.56939059131E-001        0.73059223085E-006
        0.18888157092E-002        0.59419563114E-001        0.10407445511E-003        0.59315488659E-001        0.59420326354E-001        0.76323942873E-006
        0.19301000791E-002        0.61978905678E-001        0.10855619375E-003        0.61870349484E-001        0.61979702647E-001        0.79696874644E-006
        0.19718307664E-002        0.64617842518E-001        0.11317724309E-003        0.64504665275E-001        0.64618674322E-001        0.83180383573E-006
        0.20140077712E-002        0.67337866855E-001        0.11794021257E-003        0.67219926643E-001        0.67338734624E-001        0.86776860408E-006
        0.20566310936E-002        0.70140478576E-001        0.12284772308E-003        0.70017630853E-001        0.70141383464E-001        0.90488721463E-006
        0.20997007335E-002        0.73027183969E-001        0.12790240645E-003        0.72899281563E-001        0.73028127153E-001        0.94318408622E-006
        0.21432166909E-002        0.75999495454E-001        0.13310690504E-003        0.75866388549E-001        0.76000478138E-001        0.98268389341E-006
        0.21871789658E-002        0.79058931316E-001        0.13846387121E-003        0.78920467445E-001        0.79059954728E-001        0.10234115664E-005
        0.22315875582E-002        0.82207015433E-001        0.14397596687E-003        0.82063039466E-001        0.82208080825E-001        0.10653922912E-005
        0.22764424681E-002        0.85445277004E-001        0.14964586297E-003        0.85295631141E-001        0.85446385655E-001        0.11086515094E-005
        0.23217436955E-002        0.88775250279E-001        0.15547623906E-003        0.88619774040E-001        0.88776403494E-001        0.11532149184E-005
        0.23674912405E-002        0.92198474283E-001        0.16146978274E-003        0.92037004501E-001        0.92199673392E-001        0.11991084711E-005
        0.24136851029E-002        0.95716492544E-001        0.16762918925E-003        0.95548863355E-001        0.95717738903E-001        0.12463583764E-005
        0.24603252829E-002        0.99330852813E-001        0.17395716093E-003        0.99156895653E-001        0.99332147805E-001        0.12949910986E-005
        0.25074117803E-002        0.10304310679E+000        0.18045640672E-003        0.10286265039E+000        0.10304445183E+000        0.13450333578E-005
        0.25549445953E-002        0.10685480986E+000        0.18712964172E-003        0.10666768022E+000        0.10685620637E+000        0.13965121299E-005
        0.26029237278E-002        0.11076752077E+000        0.19397958665E-003        0.11057354118E+000        0.11076897023E+000        0.14494546464E-005
