# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
5300 100
99 10.4248 1.00042 289.358
100 10.5306 1.00135 298.254
5500 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.00162296 0.00035
17 1.74628 0.0121292 0.003314
18 1.85212 0.0507861 0.017274
19 1.95795 0.160413 0.06655
20 2.06379 0.381206 0.196648
21 2.16963 0.728086 0.471262
22 2.27546 1.02357 0.895902
23 2.3813 1.38713 1.52613
24 2.48713 1.62564 2.33183
25 2.59297 1.67755 3.23551
26 2.6988 1.70276 4.22916
27 2.80464 1.59391 5.23367
28 2.91047 1.49607 6.24901
29 3.01631 1.34511 7.22949
30 3.12214 1.17424 8.14653
31 3.22798 1.09146 9.05769
32 3.33382 0.971883 9.92309
33 3.43965 0.895237 10.7717
34 3.54549 0.86401 11.6418
35 3.65132 0.807728 12.5045
36 3.75716 0.787516 13.3951
37 3.86299 0.767401 14.3126
38 3.96883 0.808575 15.333
39 4.07466 0.80609 16.4052
40 4.1805 0.852331 17.5985
41 4.28633 0.883933 18.8996
42 4.39217 0.935431 20.3453
43 4.498 0.991782 21.9528
44 4.60384 1.01927 23.6835
45 4.70968 1.04044 25.5324
46 4.81551 1.07762 27.5343
47 4.92135 1.09513 29.6592
48 5.02718 1.11139 31.9094
49 5.13302 1.10764 34.2474
50 5.23885 1.08929 36.6424
51 5.34469 1.07603 39.1049
52 5.45052 1.04694 41.5966
53 5.55636 1.03098 44.1465
54 5.66219 1.01803 46.7613
55 5.76803 1.00174 49.4312
56 5.87386 0.969981 52.1123
57 5.9797 0.969818 54.8904
58 6.08554 0.955842 57.7262
59 6.19137 0.964073 60.6868
60 6.29721 0.946738 63.6944
61 6.40304 0.962514 66.8558
62 6.50888 0.968774 70.1437
63 6.61471 0.958434 73.5033
64 6.72055 0.970021 77.0131
65 6.82638 0.979416 80.6694
66 6.93222 1.01261 84.5677
67 7.03805 1.0143 88.5927
68 7.14389 1.0134 92.736
69 7.24972 1.01488 97.0092
70 7.35556 1.01732 101.419
71 7.4614 1.0349 106.034
72 7.56723 1.02575 110.74
73 7.67307 1.01311 115.518
74 7.7789 1.0116 120.422
75 7.88474 1.01241 125.464
76 7.99057 1.00577 130.609
77 8.09641 1.00398 135.881
78 8.20224 1.0034 141.289
79 8.30808 0.996328 146.798
80 8.41391 0.992335 152.426
81 8.51975 0.988368 158.173
82 8.62559 0.981283 164.022
83 8.73142 0.988633 170.06
84 8.83726 0.989835 176.253
85 8.94309 0.990783 182.601
86 9.04893 0.991854 189.107
87 9.15476 1.00625 195.863
88 9.2606 0.992672 202.683
89 9.36643 0.995636 209.68
90 9.47227 1.00375 216.895
91 9.5781 1.00177 224.258
92 9.68394 1.00422 231.802
93 9.78977 1.00718 239.535
94 9.89561 1.01177 247.472
95 10.0014 1.00275 255.507
96 10.1073 1.00472 263.73
97 10.2131 1.00154 272.099
98 10.319 1.00506 280.672
99 10.4248 0.996856 289.351
100 10.5306 1.00534 298.282
5600 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.000704828 0.000152
17 1.74628 0.0100503 0.002608
18 1.85212 0.0423605 0.014252
19 1.95795 0.167575 0.065728
20 2.06379 0.378323 0.194842
21 2.16963 0.734618 0.47192
22 2.27546 1.04287 0.904566
23 2.3813 1.3634 1.52402
24 2.48713 1.62459 2.32919
25 2.59297 1.70045 3.24521
26 2.6988 1.68736 4.22988
27 2.80464 1.59922 5.23773
28 2.91047 1.51388 6.26516
29 3.01631 1.32278 7.22936
30 3.12214 1.17434 8.14647
31 3.22798 1.08401 9.05141
32 3.33382 0.974976 9.91956
33 3.43965 0.904652 10.7771
34 3.54549 0.856148 11.6393
35 3.65132 0.804842 12.4989
36 3.75716 0.792268 13.3949
37 3.86299 0.766357 14.3111
38 3.96883 0.806035 15.3283
39 4.07466 0.812171 16.4086
40 4.1805 0.845179 17.5919
41 4.28633 0.872025 18.8755
42 4.39217 0.945694 20.337
43 4.498 0.995382 21.9504
44 4.60384 1.011 23.6671
45 4.70968 1.05067 25.5341
46 4.81551 1.08175 27.5437
47 4.92135 1.09074 29.6601
48 5.02718 1.12436 31.9365
49 5.13302 1.09169 34.2408
50 5.23885 1.09329 36.6447
51 5.34469 1.07759 39.1107
52 5.45052 1.04199 41.5906
53 5.55636 1.03499 44.1505
54 5.66219 1.02933 46.7943
55 5.76803 0.981567 49.4105
56 5.87386 0.985473 52.1343
57 5.9797 0.961007 54.8872
58 6.08554 0.955472 57.7219
59 6.19137 0.958829 60.6664
60 6.29721 0.950247 63.6851
61 6.40304 0.963648 66.8502
62 6.50888 0.963572 70.1206
63 6.61471 0.972119 73.5281
64 6.72055 0.970025 77.0379
65 6.82638 0.974767 80.6768
66 6.93222 1.0061 84.5501
67 7.03805 1.01631 88.5831
68 7.14389 1.02105 92.7576
69 7.24972 1.00775 97.0008
70 7.35556 1.02257 101.433
71 7.4614 1.03236 106.037
72 7.56723 1.02035 110.718
73 7.67307 1.0137 115.499
74 7.7789 1.01944 120.441
75 7.88474 1.01141 125.478
76 7.99057 1.00254 130.606
77 8.09641 1.00135 135.865
78 8.20224 1.0023 141.267
79 8.30808 0.997439 146.782
80 8.41391 0.995389 152.427
81 8.51975 0.987829 158.172
82 8.62559 0.981169 164.02
83 8.73142 0.992818 170.083
84 8.83726 0.990132 176.278
