 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    3.02389210355332     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.22315875582E-006        0.86906088538E-009        0.18121926089E-011        0.86724869277E-009        0.86906612626E-009        0.52408858546E-014
        0.89263502326E-006        0.13904974166E-007        0.28995081742E-010        0.13875979084E-007        0.13905058020E-007        0.83854173674E-013
        0.20084288023E-005        0.70425619446E-007        0.14685366660E-009        0.70278765779E-007        0.70426044160E-007        0.42471382151E-012
        0.35705400931E-005        0.22261721140E-006        0.46420819960E-009        0.22215300320E-006        0.22261855398E-006        0.13425844472E-011
        0.55789688954E-005        0.54352740361E-006        0.11333797515E-008        0.54239402386E-006        0.54353068175E-006        0.32781345225E-011
        0.80337152094E-005        0.11270527479E-005        0.23501639839E-008        0.11247025840E-005        0.11270595459E-005        0.67979374228E-011
        0.10934779035E-004        0.20879223825E-005        0.43537970359E-008        0.20835685855E-005        0.20879349770E-005        0.12594471621E-010
        0.14282160372E-004        0.35616780686E-005        0.74269137738E-008        0.35542511548E-005        0.35616995547E-005        0.21486120733E-010
        0.18075859221E-004        0.57046505988E-005        0.11895498451E-007        0.56927551004E-005        0.57046850160E-005        0.34417173538E-010
        0.22315875582E-004        0.86939325840E-005        0.18128827794E-007        0.86758037562E-005        0.86939850418E-005        0.52457823974E-010
        0.27002209454E-004        0.12727347624E-004        0.26539406524E-007        0.12700808218E-004        0.12727424429E-004        0.76804171152E-010
        0.32134860838E-004        0.18023415871E-004        0.37582895327E-007        0.17985832976E-004        0.18023524649E-004        0.10877821935E-009
        0.37713829733E-004        0.24821315983E-004        0.51758031278E-007        0.24769557951E-004        0.24821465811E-004        0.14982787800E-009
        0.43739116140E-004        0.33380843482E-004        0.69606540743E-007        0.33311236941E-004        0.33381045009E-004        0.20152696174E-009
        0.50210720059E-004        0.43982365526E-004        0.91713044761E-007        0.43890652481E-004        0.43982631101E-004        0.26557519033E-009
        0.57128641489E-004        0.56926772084E-004        0.11870495692E-006        0.56808067127E-004        0.56927115882E-004        0.34379818874E-009
        0.64492880431E-004        0.72535423550E-004        0.15125237376E-006        0.72384171176E-004        0.72535861697E-004        0.43814748708E-009
        0.72303436884E-004        0.91150094777E-004        0.19006795769E-006        0.90960026819E-004        0.91150645477E-004        0.55070052065E-009
        0.80560310850E-004        0.11313291556E-003        0.23590681249E-006        0.11289700875E-003        0.11313359922E-003        0.68366062992E-009
        0.89263502326E-004        0.13886630757E-003        0.28956635130E-006        0.13857674122E-003        0.13886714693E-003        0.83935706052E-009
        0.98413011315E-004        0.16875291774E-003        0.35188615731E-006        0.16840103158E-003        0.16875393798E-003        0.10202449633E-008
        0.10800883781E-003        0.20321554815E-003        0.42374783699E-006        0.20279180031E-003        0.20321677705E-003        0.12289053941E-008
        0.11805098183E-003        0.24269708234E-003        0.50607486595E-006        0.24219100748E-003        0.24269855039E-003        0.14680453143E-008
        0.12853944335E-003        0.28766040822E-003        0.59983242747E-006        0.28706057579E-003        0.28766214872E-003        0.17404975900E-008
        0.13947422239E-003        0.33858833735E-003        0.70602724375E-006        0.33788231011E-003        0.33859038657E-003        0.20492209929E-008
        0.15085531893E-003        0.39598352087E-003        0.82570739979E-006        0.39515781347E-003        0.39598591817E-003        0.23973001996E-008
        0.16268273299E-003        0.46036836190E-003        0.95996216006E-006        0.45940839974E-003        0.46037114985E-003        0.27879457920E-008
        0.17495646456E-003        0.53228492449E-003        0.11099217779E-005        0.53117500271E-003        0.53228814898E-003        0.32244942571E-008
        0.18767651364E-003        0.61229483915E-003        0.12767572979E-005        0.61101808185E-003        0.61229854955E-003        0.37104079871E-008
        0.20084288023E-003        0.70097920497E-003        0.14616803505E-005        0.69951752462E-003        0.70098345425E-003        0.42492752795E-008
        0.21445556434E-003        0.79893848833E-003        0.16659429405E-005        0.79727254539E-003        0.79894333314E-003        0.48448103369E-008
        0.22851456596E-003        0.90679241817E-003        0.18908372272E-005        0.90490158095E-003        0.90679791903E-003        0.55008532670E-008
        0.24301988508E-003        0.10251798780E-002        0.21376952985E-005        0.10230421827E-002        0.10251860994E-002        0.62213700829E-008
        0.25797152172E-003        0.11547587944E-002        0.24078889376E-005        0.11523509055E-002        0.11547658049E-002        0.70104527028E-008
        0.27336947587E-003        0.12962060225E-002        0.27028293821E-005        0.12935031931E-002        0.12962138948E-002        0.78723189499E-008
        0.28921374754E-003        0.14502172275E-002        0.30239670775E-005        0.14471932604E-002        0.14502260388E-002        0.88113125530E-008
        0.30550433671E-003        0.16175067638E-002        0.33727914222E-005        0.16141339724E-002        0.16175165957E-002        0.98319031457E-008
        0.32224124340E-003        0.17988075501E-002        0.37508305066E-005        0.17950567195E-002        0.17988184887E-002        0.10938686267E-007
        0.33942446760E-003        0.19948709414E-002        0.41596508453E-005        0.19907112905E-002        0.19948830778E-002        0.12136383362E-007
        0.35705400931E-003        0.22064665983E-002        0.46008571018E-005        0.22018657412E-002        0.22064800281E-002        0.13429841779E-007
        0.37512986853E-003        0.24343823522E-002        0.50760918075E-005        0.24293062604E-002        0.24343971762E-002        0.14824034772E-007
        0.39365204526E-003        0.26794240681E-002        0.55870350727E-005        0.26738370330E-002        0.26794403921E-002        0.16324061503E-007
        0.41262053950E-003        0.29424155036E-002        0.61354042923E-005        0.29362800993E-002        0.29424334387E-002        0.17935147037E-007
        0.43203535126E-003        0.32241981655E-002        0.67229538436E-005        0.32174752116E-002        0.32242178281E-002        0.19662642342E-007
        0.45189648053E-003        0.35256311622E-002        0.73514747781E-005        0.35182796875E-002        0.35256526743E-002        0.21512024297E-007
        0.47220392731E-003        0.38475910545E-002        0.80227945073E-005        0.38395682599E-002        0.38476145433E-002        0.23488895680E-007
        0.49295769160E-003        0.41909717013E-002        0.87387764806E-005        0.41822329248E-002        0.41909973003E-002        0.25598985179E-007
        0.51415777340E-003        0.45566841046E-002        0.95013198580E-005        0.45471827848E-002        0.45567119528E-002        0.27848147384E-007
        0.53580417271E-003        0.49456562496E-002        0.10312359176E-004        0.49353438904E-002        0.49456864919E-002        0.30242362794E-007
        0.55789688954E-003        0.53588329423E-002        0.11173864008E-004        0.53476590783E-002        0.53588657301E-002        0.32787737810E-007
        0.58043592388E-003        0.57971756451E-002        0.12087838614E-004        0.57850878065E-002        0.57972111356E-002        0.35490504739E-007
        0.60342127573E-003        0.62616623079E-002        0.13056321594E-004        0.62486059863E-002        0.62617006649E-002        0.38357021794E-007
        0.62685294509E-003        0.67532871974E-002        0.14081385522E-004        0.67392058119E-002        0.67533285912E-002        0.41393773093E-007
        0.65073093196E-003        0.72730607232E-002        0.15165136585E-004        0.72578955867E-002        0.72731053306E-002        0.44607368661E-007
        0.67505523634E-003        0.78220092608E-002        0.16309714210E-004        0.78056995466E-002        0.78220572653E-002        0.48004544425E-007
        0.69982585824E-003        0.84011749720E-002        0.17517290688E-004        0.83836576813E-002        0.84012265642E-002        0.51592162220E-007
        0.72504279765E-003        0.90116156226E-002        0.18790070788E-004        0.89928255518E-002        0.90116709998E-002        0.55377209786E-007
        0.75070605457E-003        0.96544043972E-002        0.20130291370E-004        0.96342741058E-002        0.96544637640E-002        0.59366800767E-007
        0.77681562900E-003        0.10330629711E-001        0.21540220991E-004        0.10309089490E-001        0.10330693279E-001        0.63568174715E-007
        0.80337152094E-003        0.11041395019E-001        0.23022159500E-004        0.11018372860E-001        0.11041463008E-001        0.67988697085E-007
        0.83037373039E-003        0.11787818624E-001        0.24578437635E-004        0.11763240186E-001        0.11787891259E-001        0.72635859240E-007
        0.85782225736E-003        0.12571033477E-001        0.26211416609E-004        0.12544822061E-001        0.12571110995E-001        0.77517278445E-007
        0.88571710183E-003        0.13392186985E-001        0.27923487695E-004        0.13364263497E-001        0.13392269626E-001        0.82640697874E-007
        0.91405826382E-003        0.14252440802E-001        0.29717071799E-004        0.14222723730E-001        0.14252528816E-001        0.88013986605E-007
        0.94284574332E-003        0.15152970632E-001        0.31594619031E-004        0.15121376013E-001        0.15153064277E-001        0.93645139621E-007
        0.97207954033E-003        0.16094966017E-001        0.33558608275E-004        0.16061407409E-001        0.16095065559E-001        0.99542277813E-007
        0.10017596549E-002        0.17079630134E-001        0.35611546747E-004        0.17044018587E-001        0.17079735847E-001        0.10571364797E-006
        0.10318860869E-002        0.18108179578E-001        0.37755969548E-004        0.18070423608E-001        0.18108291745E-001        0.11216762281E-006
        0.10624588364E-002        0.19181844153E-001        0.39994439220E-004        0.19141849714E-001        0.19181963066E-001        0.11891270091E-006
        0.10934779035E-002        0.20301866655E-001        0.42329545283E-004        0.20259537109E-001        0.20301992612E-001        0.12595750681E-006
        0.11249432881E-002        0.21469502649E-001        0.44763903782E-004        0.21424738745E-001        0.21469635960E-001        0.13331079092E-006
        0.11568549902E-002        0.22686020255E-001        0.47300156818E-004        0.22638720099E-001        0.22686161237E-001        0.14098142955E-006
        0.11892130097E-002        0.23952699923E-001        0.49940972079E-004        0.23902758951E-001        0.23952848901E-001        0.14897842495E-006
        0.12220173468E-002        0.25270834203E-001        0.52689042365E-004        0.25218145161E-001        0.25270991514E-001        0.15731090524E-006
        0.12552680015E-002        0.26641727525E-001        0.55547085110E-004        0.26586180440E-001        0.26641893513E-001        0.16598812447E-006
        0.12889649736E-002        0.28066695964E-001        0.58517841893E-004        0.28008178122E-001        0.28066870983E-001        0.17501946258E-006
        0.13231082632E-002        0.29547067009E-001        0.61604077956E-004        0.29485462931E-001        0.29547251424E-001        0.18441442544E-006
        0.13576978704E-002        0.31084179334E-001        0.64808581704E-004        0.31019370752E-001        0.31084373517E-001        0.19418264479E-006
        0.13927337950E-002        0.32679382555E-001        0.68134164213E-004        0.32611248391E-001        0.32679586889E-001        0.20433387830E-006
        0.14282160372E-002        0.34334036996E-001        0.71583658720E-004        0.34262453337E-001        0.34334251874E-001        0.21487800954E-006
        0.14641445969E-002        0.36049513449E-001        0.75159920127E-004        0.35974353529E-001        0.36049739274E-001        0.22582504800E-006
        0.15005194741E-002        0.37827192933E-001        0.78865824480E-004        0.37748327108E-001        0.37827430118E-001        0.23718512906E-006
        0.15373406688E-002        0.39668466446E-001        0.82704268461E-004        0.39585762178E-001        0.39668715415E-001        0.24896851400E-006
        0.15746081810E-002        0.41574734726E-001        0.86678168863E-004        0.41488056557E-001        0.41574995912E-001        0.26118559003E-006
        0.16123220108E-002        0.43547407998E-001        0.90790462074E-004        0.43456617535E-001        0.43547681844E-001        0.27384687025E-006
        0.16504821580E-002        0.45587905726E-001        0.95044103545E-004        0.45492861622E-001        0.45588192689E-001        0.28696299366E-006
        0.16890886228E-002        0.47697656365E-001        0.99442067260E-004        0.47598214297E-001        0.47697956909E-001        0.30054472518E-006
        0.17281414050E-002        0.49878097104E-001        0.10398734520E-003        0.49774109759E-001        0.49878411707E-001        0.31460295565E-006
        0.17676405048E-002        0.52130673618E-001        0.10868294682E-003        0.52021990671E-001        0.52131002767E-001        0.32914870178E-006
        0.18075859221E-002        0.54456839803E-001        0.11353189847E-003        0.54343307904E-001        0.54457183996E-001        0.34419310621E-006
        0.18479776569E-002        0.56858057526E-001        0.11853724290E-003        0.56739520284E-001        0.56858417274E-001        0.35974743748E-006
        0.18888157092E-002        0.59335796365E-001        0.12370203866E-003        0.59212094326E-001        0.59336172188E-001        0.37582309006E-006
        0.19301000791E-002        0.61891533344E-001        0.12902935961E-003        0.61762503984E-001        0.61891925775E-001        0.39243158429E-006
        0.19718307664E-002        0.64526752676E-001        0.13452229428E-003        0.64392230381E-001        0.64527162260E-001        0.40958456643E-006
        0.20140077712E-002        0.67242945496E-001        0.14018394540E-003        0.67102761550E-001        0.67243372790E-001        0.42729380867E-006
        0.20566310936E-002        0.70041609600E-001        0.14601742928E-003        0.69895592170E-001        0.70042055171E-001        0.44557120907E-006
        0.20997007335E-002        0.72924249174E-001        0.15202587527E-003        0.72772223299E-001        0.72924713603E-001        0.46442879163E-006
        0.21432166909E-002        0.75892374533E-001        0.15821242519E-003        0.75734162108E-001        0.75892858411E-001        0.48387870624E-006
        0.21871789658E-002        0.78947501845E-001        0.16458023274E-003        0.78782921612E-001        0.78948005778E-001        0.50393322869E-006
        0.22315875582E-002        0.82091152866E-001        0.17113246297E-003        0.81920020403E-001        0.82091677471E-001        0.52460476071E-006
        0.22764424681E-002        0.85324854670E-001        0.17787229166E-003        0.85146982378E-001        0.85325400576E-001        0.54590582989E-006
        0.23217436955E-002        0.88650139372E-001        0.18480290476E-003        0.88465336468E-001        0.88650707221E-001        0.56784908978E-006
        0.23674912405E-002        0.92068543860E-001        0.19192749782E-003        0.91876616362E-001        0.92069134307E-001        0.59044731980E-006
        0.24136851029E-002        0.95581609516E-001        0.19924927540E-003        0.95382360241E-001        0.95582223230E-001        0.61371342528E-006
        0.24603252829E-002        0.99190881946E-001        0.20677145046E-003        0.98984110496E-001        0.99191519607E-001        0.63766043749E-006
        0.25074117803E-002        0.10289791070E+000        0.21449724383E-003        0.10268341346E+000        0.10289857300E+000        0.66230151358E-006
        0.25549445953E-002        0.10670424899E+000        0.22242988356E-003        0.10648181911E+000        0.10670493664E+000        0.68764993660E-006
        0.26029237278E-002        0.11061145344E+000        0.23057260436E-003        0.11038088084E+000        0.11061216716E+000        0.71371911554E-006
