 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.31556914295421     
 #
 # screening length =   1.15966433863224     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.35463010549E+000        0.26217770442E+002       -0.85966325052E+002
        0.35828608596E+000        0.25906720029E+002       -0.84207462583E+002
        0.36194206643E+000        0.25601984329E+002       -0.82501775325E+002
        0.36559804690E+000        0.25303408055E+002       -0.80847142912E+002
        0.36925402737E+000        0.25010773759E+002       -0.79241549574E+002
        0.37291000784E+000        0.24723939513E+002       -0.77683077805E+002
        0.37656598831E+000        0.24442703246E+002       -0.76169903038E+002
        0.38022196878E+000        0.24166935069E+002       -0.74700287915E+002
        0.38387794925E+000        0.23896446890E+002       -0.73272577605E+002
        0.38753392971E+000        0.23631119692E+002       -0.71885195075E+002
        0.39118991018E+000        0.23370778117E+002       -0.70536636605E+002
        0.39484589065E+000        0.23115312986E+002       -0.69225467965E+002
        0.39850187112E+000        0.22864560563E+002       -0.67950320425E+002
        0.40215785159E+000        0.22618420581E+002       -0.66709887249E+002
        0.40581383206E+000        0.22376739934E+002       -0.65502920448E+002
        0.40946981253E+000        0.22139426442E+002       -0.64328227511E+002
        0.41312579300E+000        0.21906336735E+002       -0.63184668431E+002
        0.41678177347E+000        0.21677385987E+002       -0.62071153223E+002
        0.42043775394E+000        0.21452439760E+002       -0.60986639077E+002
        0.42409373440E+000        0.21231419921E+002       -0.59930127865E+002
        0.42774971487E+000        0.21014200246E+002       -0.58900664171E+002
        0.43140569534E+000        0.20800708701E+002       -0.57897332891E+002
        0.43506167581E+000        0.20590826621E+002       -0.56919257189E+002
        0.43871765628E+000        0.20384487543E+002       -0.55965596695E+002
        0.44237363675E+000        0.20181579769E+002       -0.55035545713E+002
        0.44602961722E+000        0.19982041932E+002       -0.54128331479E+002
        0.44968559769E+000        0.19785768764E+002       -0.53243212410E+002
        0.45334157816E+000        0.19592703561E+002       -0.52379476990E+002
        0.45699755863E+000        0.19402747005E+002       -0.51536441886E+002
        0.46065353909E+000        0.19215846662E+002       -0.50713450879E+002
        0.46430951956E+000        0.19031908722E+002       -0.49909873569E+002
        0.46796550003E+000        0.18850884672E+002       -0.49125104081E+002
        0.47162148050E+000        0.18672685808E+002       -0.48358559930E+002
        0.47527746097E+000        0.18497267218E+002       -0.47609681026E+002
        0.47893344144E+000        0.18324544939E+002       -0.46877928625E+002
        0.48258942191E+000        0.18154477370E+002       -0.46162784320E+002
        0.48624540238E+000        0.17986984955E+002       -0.45463749122E+002
        0.48990138285E+000        0.17822029140E+002       -0.44780342650E+002
        0.49355736332E+000        0.17659534472E+002       -0.44112102320E+002
        0.49721334378E+000        0.17499465205E+002       -0.43458582400E+002
        0.50086932425E+000        0.17341749708E+002       -0.42819353534E+002
        0.50452530472E+000        0.17186354826E+002       -0.42194001803E+002
        0.50818128519E+000        0.17033212492E+002       -0.41582128156E+002
        0.51183726566E+000        0.16882291945E+002       -0.40983347809E+002
        0.51549324613E+000        0.16733528446E+002       -0.40397289523E+002
        0.51914922660E+000        0.16586893446E+002       -0.39823595194E+002
        0.52280520707E+000        0.16442325318E+002       -0.39261919196E+002
        0.52646118754E+000        0.16299797559E+002       -0.38711927813E+002
        0.53011716801E+000        0.16159251453E+002       -0.38173298883E+002
        0.53377314848E+000        0.16020662391E+002       -0.37645721252E+002
        0.53742912894E+000        0.15883974389E+002       -0.37128894342E+002
        0.54108510941E+000        0.15749164589E+002       -0.36622527650E+002
        0.54474108988E+000        0.15616179567E+002       -0.36126340494E+002
        0.54839707035E+000        0.15484998095E+002       -0.35640061498E+002
        0.55205305082E+000        0.15355569146E+002       -0.35163428207E+002
        0.55570903129E+000        0.15227873006E+002       -0.34696186858E+002
        0.55936501176E+000        0.15101860904E+002       -0.34238091968E+002
        0.56302099223E+000        0.14977514527E+002       -0.33788905958E+002
        0.56667697270E+000        0.14854787230E+002       -0.33348398971E+002
        0.57033295317E+000        0.14733662001E+002       -0.32916348422E+002
        0.57398893363E+000        0.14614094193E+002       -0.32492538893E+002
        0.57764491410E+000        0.14496068006E+002       -0.32076761764E+002
        0.58130089457E+000        0.14379540677E+002       -0.31668814868E+002
        0.58495687504E+000        0.14264497535E+002       -0.31268502488E+002
        0.58861285551E+000        0.14150897589E+002       -0.30875634889E+002
        0.59226883598E+000        0.14038727219E+002       -0.30490028222E+002
        0.59592481645E+000        0.13927947111E+002       -0.30111504240E+002
        0.59958079692E+000        0.13818544625E+002       -0.29739890161E+002
        0.60323677739E+000        0.13710482026E+002       -0.29375018426E+002
        0.60689275786E+000        0.13603747588E+002       -0.29016726477E+002
        0.61054873832E+000        0.13498305073E+002       -0.28664856709E+002
        0.61420471879E+000        0.13394143604E+002       -0.28319256102E+002
        0.61786069926E+000        0.13291228360E+002       -0.27979776202E+002
        0.62151667973E+000        0.13189549259E+002       -0.27646272963E+002
        0.62517266020E+000        0.13089072818E+002       -0.27318606463E+002
        0.62882864067E+000        0.12989789697E+002       -0.26996640906E+002
        0.63248462114E+000        0.12891667684E+002       -0.26680244414E+002
        0.63614060161E+000        0.12794698131E+002       -0.26369288843E+002
        0.63979658208E+000        0.12698850029E+002       -0.26063649795E+002
        0.64345256255E+000        0.12604115379E+002       -0.25763206312E+002
        0.64710854301E+000        0.12510464314E+002       -0.25467840908E+002
        0.65076452348E+000        0.12417889441E+002       -0.25177439418E+002
        0.65442050395E+000        0.12326361976E+002       -0.24891890775E+002
        0.65807648442E+000        0.12235875095E+002       -0.24611087074E+002
        0.66173246489E+000        0.12146401042E+002       -0.24334923396E+002
        0.66538844536E+000        0.12057933524E+002       -0.24063297609E+002
        0.66904442583E+000        0.11970445766E+002       -0.23796110484E+002
        0.67270040630E+000        0.11883931972E+002       -0.23533265432E+002
        0.67635638677E+000        0.11798366296E+002       -0.23274668457E+002
        0.68001236724E+000        0.11713743409E+002       -0.23020228148E+002
        0.68366834770E+000        0.11630038352E+002       -0.22769855467E+002
        0.68732432817E+000        0.11547246233E+002       -0.22523463795E+002
        0.69098030864E+000        0.11465342937E+002       -0.22280968820E+002
        0.69463628911E+000        0.11384323981E+002       -0.22042288336E+002
        0.69829226958E+000        0.11304166054E+002       -0.21807342459E+002
        0.70194825005E+000        0.11224865058E+002       -0.21576053259E+002
        0.70560423052E+000        0.11146398450E+002       -0.21348344842E+002
        0.70926021099E+000        0.11068762490E+002       -0.21124143331E+002
        0.71291619146E+000        0.10991935369E+002       -0.20903376676E+002
        0.71657217193E+000        0.10915913686E+002       -0.20685974718E+002
        0.72022815239E+000        0.10840676329E+002       -0.20471869019E+002
        0.72388413286E+000        0.10766220214E+002       -0.20260992941E+002
        0.72754011333E+000        0.10692524897E+002       -0.20053281474E+002
        0.73119609380E+000        0.10619587594E+002       -0.19848671242E+002
        0.73485207427E+000        0.10547388497E+002       -0.19647100447E+002
        0.73850805474E+000        0.10475925103E+002       -0.19448508822E+002
        0.74216403521E+000        0.10405178214E+002       -0.19252837610E+002
        0.74582001568E+000        0.10335145588E+002       -0.19060029460E+002
        0.74947599615E+000        0.10265808613E+002       -0.18870028418E+002
        0.75313197662E+000        0.10197165293E+002       -0.18682779910E+002
        0.75678795708E+000        0.10129197576E+002       -0.18498230716E+002
        0.76044393755E+000        0.10061903698E+002       -0.18316328805E+002
        0.76409991802E+000        0.99952661399E+001       -0.18137023460E+002
        0.76775589849E+000        0.99292833576E+001       -0.17960265164E+002
        0.77141187896E+000        0.98639383456E+001       -0.17786005577E+002
        0.77506785943E+000        0.97992297634E+001       -0.17614197470E+002
        0.77872383990E+000        0.97351410976E+001       -0.17444794732E+002
        0.78237982037E+000        0.96716712007E+001       -0.17277752395E+002
        0.78603580084E+000        0.96088040305E+001       -0.17113026444E+002
        0.78969178131E+000        0.95465386209E+001       -0.16950573922E+002
        0.79334776177E+000        0.94848593824E+001       -0.16790352900E+002
        0.79700374224E+000        0.94237655188E+001       -0.16632322365E+002
