 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.02389210355332     
 #
 # screening length =   1.20045367574409     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.73119609380E-002        0.12376372245E+004       -0.17095793412E+006
        0.10967941407E-001        0.82106501414E+003       -0.75924129043E+005
        0.14623921876E-001        0.61298541996E+003       -0.42653982424E+005
        0.18279902345E-001        0.48832577380E+003       -0.27250679017E+005
        0.21935882814E-001        0.40538562082E+003       -0.18882077709E+005
        0.25591863283E-001        0.34628714612E+003       -0.13836254202E+005
        0.29247843752E-001        0.30208712067E+003       -0.10562410034E+005
        0.32903824221E-001        0.26781431417E+003       -0.83194664561E+004
        0.36559804690E-001        0.24048410699E+003       -0.67169406494E+004
        0.40215785159E-001        0.21819608773E+003       -0.55331715667E+004
        0.43871765628E-001        0.19968263062E+003       -0.46347124298E+004
        0.47527746097E-001        0.18406586087E+003       -0.39373049960E+004
        0.51183726566E-001        0.17071863035E+003       -0.33856111895E+004
        0.54839707035E-001        0.15918113715E+003       -0.29420628141E+004
        0.58495687504E-001        0.14910871085E+003       -0.25804251964E+004
        0.62151667973E-001        0.14023805807E+003       -0.22819269567E+004
        0.65807648442E-001        0.13236468648E+003       -0.20328495918E+004
        0.69463628911E-001        0.12532748724E+003       -0.18229795934E+004
        0.73119609380E-001        0.11899788876E+003       -0.16445873908E+004
        0.76775589849E-001        0.11327213618E+003       -0.14917375701E+004
        0.80431570318E-001        0.10806563563E+003       -0.13598128915E+004
        0.84087550787E-001        0.10330879820E+003       -0.12451795014E+004
        0.87743531256E-001        0.98943891294E+002       -0.11449473701E+004
        0.91399511725E-001        0.94922667622E+002       -0.10567961628E+004
        0.95055492194E-001        0.91204516145E+002       -0.97884685873E+003
        0.98711472663E-001        0.87755043814E+002       -0.90956585682E+003
        0.10236745313E+000        0.84544940606E+002       -0.84769248656E+003
        0.10602343360E+000        0.81549097324E+002       -0.79218360535E+003
        0.10967941407E+000        0.78745882662E+002       -0.74217082456E+003
        0.11333539454E+000        0.76116576302E+002       -0.69692717384E+003
        0.11699137501E+000        0.73644893751E+002       -0.65584089626E+003
        0.12064735548E+000        0.71316612012E+002       -0.61839468196E+003
        0.12430333595E+000        0.69119248765E+002       -0.58414908946E+003
        0.12795931642E+000        0.67041809512E+002       -0.55272921770E+003
        0.13161529688E+000        0.65074565870E+002       -0.52381392303E+003
        0.13527127735E+000        0.63208881477E+002       -0.49712704235E+003
        0.13892725782E+000        0.61437055638E+002       -0.47243020983E+003
        0.14258323829E+000        0.59752201508E+002       -0.44951694711E+003
        0.14623921876E+000        0.58148133832E+002       -0.42820777793E+003
        0.14989519923E+000        0.56619282552E+002       -0.40834617130E+003
        0.15355117970E+000        0.55160610880E+002       -0.38979515876E+003
        0.15720716017E+000        0.53767553337E+002       -0.37243450250E+003
        0.16086314064E+000        0.52435955061E+002       -0.35615831624E+003
        0.16451912111E+000        0.51162026955E+002       -0.34087305938E+003
        0.16817510157E+000        0.49942300094E+002       -0.32649584077E+003
        0.17183108204E+000        0.48773592995E+002       -0.31295297985E+003
        0.17548706251E+000        0.47652976916E+002       -0.30017878274E+003
        0.17914304298E+000        0.46577751816E+002       -0.28811449845E+003
        0.18279902345E+000        0.45545419593E+002       -0.27670742655E+003
        0.18645500392E+000        0.44553666343E+002       -0.26591015238E+003
        0.19011098439E+000        0.43600341449E+002       -0.25567989036E+003
        0.19376696486E+000        0.42683444435E+002       -0.24597791868E+003
        0.19742294533E+000        0.41801108422E+002       -0.23676909187E+003
        0.20107892580E+000        0.40951590345E+002       -0.22802141956E+003
        0.20473490626E+000        0.40133257701E+002       -0.21970570189E+003
        0.20839088673E+000        0.39344581260E+002       -0.21179521327E+003
        0.21204686720E+000        0.38584124296E+002       -0.20426542761E+003
        0.21570284767E+000        0.37850537159E+002       -0.19709377923E+003
        0.21935882814E+000        0.37142548410E+002       -0.19025945433E+003
        0.22301480861E+000        0.36458960776E+002       -0.18374320889E+003
        0.22667078908E+000        0.35798643759E+002       -0.17752720936E+003
        0.23032676955E+000        0.35160530628E+002       -0.17159489296E+003
        0.23398275002E+000        0.34543612181E+002       -0.16593084503E+003
        0.23763873049E+000        0.33946934509E+002       -0.16052069111E+003
        0.24129471095E+000        0.33369593668E+002       -0.15535100185E+003
        0.24495069142E+000        0.32810734033E+002       -0.15040920891E+003
        0.24860667189E+000        0.32269543687E+002       -0.14568353065E+003
        0.25226265236E+000        0.31745253220E+002       -0.14116290608E+003
        0.25591863283E+000        0.31237131699E+002       -0.13683693624E+003
        0.25957461330E+000        0.30744485807E+002       -0.13269583193E+003
        0.26323059377E+000        0.30266656278E+002       -0.12873036697E+003
        0.26688657424E+000        0.29803017301E+002       -0.12493183641E+003
        0.27054255471E+000        0.29352973337E+002       -0.12129201896E+003
        0.27419853518E+000        0.28915958724E+002       -0.11780314320E+003
        0.27785451564E+000        0.28491434813E+002       -0.11445785705E+003
        0.28151049611E+000        0.28078889728E+002       -0.11124920011E+003
        0.28516647658E+000        0.27677835772E+002       -0.10817057863E+003
        0.28882245705E+000        0.27287809305E+002       -0.10521574264E+003
        0.29247843752E+000        0.26908368378E+002       -0.10237876505E+003
        0.29613441799E+000        0.26539092708E+002       -0.99654022620E+002
        0.29979039846E+000        0.26179581508E+002       -0.97036178338E+002
        0.30344637893E+000        0.25829453533E+002       -0.94520165287E+002
        0.30710235940E+000        0.25488345083E+002       -0.92101171697E+002
        0.31075833987E+000        0.25155910107E+002       -0.89774627101E+002
        0.31441432033E+000        0.24831818360E+002       -0.87536189480E+002
        0.31807030080E+000        0.24515755550E+002       -0.85381733277E+002
        0.32172628127E+000        0.24207421624E+002       -0.83307338222E+002
        0.32538226174E+000        0.23906530964E+002       -0.81309278855E+002
        0.32903824221E+000        0.23612810786E+002       -0.79384014710E+002
        0.33269422268E+000        0.23326001363E+002       -0.77528181077E+002
        0.33635020315E+000        0.23045854539E+002       -0.75738580303E+002
        0.34000618362E+000        0.22772133972E+002       -0.74012173586E+002
        0.34366216409E+000        0.22504613746E+002       -0.72346073205E+002
        0.34731814456E+000        0.22243078639E+002       -0.70737535174E+002
        0.35097412502E+000        0.21987322818E+002       -0.69183952280E+002
        0.35463010549E+000        0.21737150125E+002       -0.67682847457E+002
        0.35828608596E+000        0.21492372858E+002       -0.66231867500E+002
        0.36194206643E+000        0.21252812068E+002       -0.64828777083E+002
        0.36559804690E+000        0.21018296411E+002       -0.63471453056E+002
        0.36925402737E+000        0.20788662465E+002       -0.62157879020E+002
        0.37291000784E+000        0.20563753645E+002       -0.60886140144E+002
        0.37656598831E+000        0.20343420527E+002       -0.59654418225E+002
        0.38022196878E+000        0.20127519836E+002       -0.58460986967E+002
        0.38387794925E+000        0.19915914770E+002       -0.57304207482E+002
        0.38753392971E+000        0.19708474048E+002       -0.56182523982E+002
        0.39118991018E+000        0.19505072246E+002       -0.55094459665E+002
        0.39484589065E+000        0.19305588890E+002       -0.54038612797E+002
        0.39850187112E+000        0.19109908805E+002       -0.53013652950E+002
        0.40215785159E+000        0.18917921254E+002       -0.52018317416E+002
        0.40581383206E+000        0.18729520294E+002       -0.51051407784E+002
        0.40946981253E+000        0.18544603962E+002       -0.50111786663E+002
        0.41312579300E+000        0.18363074627E+002       -0.49198374555E+002
        0.41678177347E+000        0.18184838228E+002       -0.48310146869E+002
        0.42043775394E+000        0.18009804625E+002       -0.47446131069E+002
        0.42409373440E+000        0.17837886876E+002       -0.46605403952E+002
        0.42774971487E+000        0.17669001590E+002       -0.45787089056E+002
        0.43140569534E+000        0.17503068240E+002       -0.44990354177E+002
        0.43506167581E+000        0.17340009516E+002       -0.44214409012E+002
        0.43871765628E+000        0.17179750680E+002       -0.43458502904E+002
        0.44237363675E+000        0.17022219907E+002       -0.42721922700E+002
        0.44602961722E+000        0.16867347678E+002       -0.42003990711E+002
        0.44968559769E+000        0.16715067124E+002       -0.41304062766E+002
        0.45334157816E+000        0.16565313441E+002       -0.40621526369E+002
        0.45699755863E+000        0.16418024235E+002       -0.39955798931E+002
        0.46065353909E+000        0.16273138968E+002       -0.39306326107E+002
        0.46430951956E+000        0.16130599298E+002       -0.38672580211E+002
        0.46796550003E+000        0.15990348550E+002       -0.38054058704E+002
        0.47162148050E+000        0.15852332053E+002       -0.37450282770E+002
        0.47527746097E+000        0.15716496637E+002       -0.36860795957E+002
        0.47893344144E+000        0.15582790970E+002       -0.36285162896E+002
        0.48258942191E+000        0.15451165067E+002       -0.35722968083E+002
        0.48624540238E+000        0.15321570633E+002       -0.35173814733E+002
        0.48990138285E+000        0.15193960588E+002       -0.34637323683E+002
        0.49355736332E+000        0.15068289406E+002       -0.34113132370E+002
        0.49721334378E+000        0.14944512664E+002       -0.33600893856E+002
        0.50086932425E+000        0.14822587369E+002       -0.33100275909E+002
        0.50452530472E+000        0.14702471531E+002       -0.32610960140E+002
        0.50818128519E+000        0.14584124485E+002       -0.32132641185E+002
        0.51183726566E+000        0.14467506475E+002       -0.31665025934E+002
        0.51549324613E+000        0.14352578977E+002       -0.31207832811E+002
        0.51914922660E+000        0.14239304298E+002       -0.30760791087E+002
        0.52280520707E+000        0.14127645892E+002       -0.30323640245E+002
        0.52646118754E+000        0.14017567973E+002       -0.29896129376E+002
        0.53011716801E+000        0.13909035827E+002       -0.29478016610E+002
        0.53377314848E+000        0.13802015441E+002       -0.29069068591E+002
        0.53742912894E+000        0.13696473805E+002       -0.28669059977E+002
        0.54108510941E+000        0.13592378555E+002       -0.28277772974E+002
        0.54474108988E+000        0.13489698273E+002       -0.27894996906E+002
        0.54839707035E+000        0.13388402138E+002       -0.27520527800E+002
        0.55205305082E+000        0.13288460220E+002       -0.27154168006E+002
        0.55570903129E+000        0.13189843148E+002       -0.26795725843E+002
        0.55936501176E+000        0.13092522391E+002       -0.26445015268E+002
        0.56302099223E+000        0.12996469940E+002       -0.26101855564E+002
        0.56667697270E+000        0.12901658584E+002       -0.25766071053E+002
