 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.70022812706130     
 #
 # screening length =   1.51747819254619     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.73119609380E-002        0.30121841532E+004       -0.41316761943E+006
        0.10967941407E-001        0.20051807798E+004       -0.18361969175E+006
        0.14623921876E-001        0.15017174563E+004       -0.10328028431E+006
        0.18279902345E-001        0.11996503268E+004       -0.66095642764E+005
        0.21935882814E-001        0.99828778144E+003       -0.45897135409E+005
        0.25591863283E-001        0.85446268987E+003       -0.33718405909E+005
        0.29247843752E-001        0.74660230001E+003       -0.25814159897E+005
        0.32903824221E-001        0.66271404429E+003       -0.20395184526E+005
        0.36559804690E-001        0.59560873554E+003       -0.16519131253E+005
        0.40215785159E-001        0.54070649501E+003       -0.13651370452E+005
        0.43871765628E-001        0.49495826525E+003       -0.11470264734E+005
        0.47527746097E-001        0.45624972642E+003       -0.97728998129E+004
        0.51183726566E-001        0.42307363100E+003       -0.84261312585E+004
        0.54839707035E-001        0.39432214058E+003       -0.73396584089E+004
        0.58495687504E-001        0.36916660508E+003       -0.64504857998E+004
        0.62151667973E-001        0.34697141857E+003       -0.57135828146E+004
        0.65807648442E-001        0.32724395080E+003       -0.50960691018E+004
        0.69463628911E-001        0.30959375629E+003       -0.45734827243E+004
        0.73119609380E-001        0.29370986067E+003       -0.41273202253E+004
        0.76775589849E-001        0.27933928598E+003       -0.37433761798E+004
        0.80431570318E-001        0.26627617986E+003       -0.34105985653E+004
        0.84087550787E-001        0.25434946820E+003       -0.31202845790E+004
        0.87743531256E-001        0.24341752989E+003       -0.28655059487E+004
        0.91399511725E-001        0.23336054427E+003       -0.26406917996E+004
        0.95055492194E-001        0.22407792014E+003       -0.24413216027E+004
        0.98711472663E-001        0.21548323681E+003       -0.22636961936E+004
        0.10236745313E+000        0.20750310098E+003       -0.21047649897E+004
        0.10602343360E+000        0.20007361149E+003       -0.19619941651E+004
        0.10967941407E+000        0.19313997781E+003       -0.18332650623E+004
        0.11333539454E+000        0.18665392945E+003       -0.17167951586E+004
        0.11699137501E+000        0.18057374624E+003       -0.16110760468E+004
        0.12064735548E+000        0.17486228186E+003       -0.15148243639E+004
        0.12430333595E+000        0.16948721578E+003       -0.14269426736E+004
        0.12795931642E+000        0.16441949326E+003       -0.13464880549E+004
        0.13161529688E+000        0.15963369280E+003       -0.12726467139E+004
        0.13527127735E+000        0.15510675945E+003       -0.12047133313E+004
        0.13892725782E+000        0.15081842730E+003       -0.11420741634E+004
        0.14258323829E+000        0.14675016642E+003       -0.10841931369E+004
        0.14623921876E+000        0.14288562584E+003       -0.10306003458E+004
        0.14989519923E+000        0.13920974057E+003       -0.98088248739E+003
        0.15355117970E+000        0.13570917531E+003       -0.93467487437E+003
        0.15720716017E+000        0.13237155476E+003       -0.89165473029E+003
        0.16086314064E+000        0.12918589674E+003       -0.85153554030E+003
        0.16451912111E+000        0.12614193968E+003       -0.81406227039E+003
        0.16817510157E+000        0.12323055907E+003       -0.77900730647E+003
        0.17183108204E+000        0.12044317315E+003       -0.74616699106E+003
        0.17548706251E+000        0.11777213960E+003       -0.71535866052E+003
        0.17914304298E+000        0.11521022525E+003       -0.68641810056E+003
        0.18279902345E+000        0.11275098193E+003       -0.65919735462E+003
        0.18645500392E+000        0.11038826933E+003       -0.63356283012E+003
        0.19011098439E+000        0.10811660991E+003       -0.60939365704E+003
        0.19376696486E+000        0.10593075659E+003       -0.58658026110E+003
        0.19742294533E+000        0.10382602731E+003       -0.56502312079E+003
        0.20107892580E+000        0.10179791085E+003       -0.54463168011E+003
        0.20473490626E+000        0.99842381967E+002       -0.52532339699E+003
        0.20839088673E+000        0.97955540136E+002       -0.50702290706E+003
        0.21204686720E+000        0.96133906276E+002       -0.48966128730E+003
        0.21570284767E+000        0.94374090108E+002       -0.47317540685E+003
        0.21935882814E+000        0.92673069647E+002       -0.45750735248E+003
        0.22301480861E+000        0.91027883643E+002       -0.44260391943E+003
        0.22667078908E+000        0.89435894990E+002       -0.42841615965E+003
        0.23032676955E+000        0.87894505306E+002       -0.41489897954E+003
        0.23398275002E+000        0.86401403386E+002       -0.40201078136E+003
        0.23763873049E+000        0.84954299458E+002       -0.38971314294E+003
        0.24129471095E+000        0.83551159735E+002       -0.37797053140E+003
        0.24495069142E+000        0.82189958268E+002       -0.36675004607E+003
        0.24860667189E+000        0.80868898593E+002       -0.35602118809E+003
        0.25226265236E+000        0.79586181388E+002       -0.34575565298E+003
        0.25591863283E+000        0.78340214156E+002       -0.33592714397E+003
        0.25957461330E+000        0.77129393145E+002       -0.32651120337E+003
        0.26323059377E+000        0.75952301924E+002       -0.31748506055E+003
        0.26688657424E+000        0.74807506234E+002       -0.30882749410E+003
        0.27054255471E+000        0.73693742258E+002       -0.30051870702E+003
        0.27419853518E+000        0.72609723229E+002       -0.29254021365E+003
        0.27785451564E+000        0.71554318124E+002       -0.28487473674E+003
        0.28151049611E+000        0.70526369018E+002       -0.27750611385E+003
        0.28516647658E+000        0.69524860870E+002       -0.27041921222E+003
        0.28882245705E+000        0.68548748712E+002       -0.26359985100E+003
        0.29247843752E+000        0.67597119150E+002       -0.25703473034E+003
        0.29613441799E+000        0.66669026592E+002       -0.25071136640E+003
        0.29979039846E+000        0.65763647025E+002       -0.24461803224E+003
