Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
 # {"name":"CS2014_Al", "Z":13, "Zstar":3.080039821575357, "A":27,  "μ_core[AU]": 3.1167943884e-01, "μ_empty[AU]": 3.1168314360e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.991e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   3.453875e-02    5.984872e+02    5.976636e+02    2.633762e-03    5.984845e+02    8.209372e-01
   3.555894e-02    5.704151e+02    5.696047e+02    2.633794e-03    5.704125e+02    8.078060e-01
   3.659399e-02    5.439739e+02    5.431764e+02    2.633828e-03    5.439713e+02    7.948323e-01
   3.764388e-02    5.190497e+02    5.182644e+02    2.633864e-03    5.190471e+02    7.827163e-01
   3.870862e-02    4.955357e+02    4.947626e+02    2.633901e-03    4.955331e+02    7.705387e-01
   3.978821e-02    4.733371e+02    4.725756e+02    2.633940e-03    4.733344e+02    7.588118e-01
   4.088265e-02    4.523649e+02    4.516149e+02    2.633980e-03    4.523623e+02    7.473999e-01
   4.199193e-02    4.325376e+02    4.317986e+02    2.634022e-03    4.325349e+02    7.363015e-01
   4.311607e-02    4.137797e+02    4.130516e+02    2.634065e-03    4.137771e+02    7.254991e-01
   4.425505e-02    3.960211e+02    3.953036e+02    2.634111e-03    3.960185e+02    7.149102e-01
   4.540888e-02    3.791983e+02    3.784911e+02    2.634158e-03    3.791957e+02    7.045675e-01
   4.657756e-02    3.632519e+02    3.625549e+02    2.634207e-03    3.632493e+02    6.943989e-01
   4.776109e-02    3.481272e+02    3.474400e+02    2.634258e-03    3.481246e+02    6.845775e-01
   4.895947e-02    3.337734e+02    3.330957e+02    2.634311e-03    3.337708e+02    6.751024e-01
   5.017269e-02    3.201425e+02    3.194743e+02    2.634365e-03    3.201399e+02    6.655851e-01
   5.140077e-02    3.071913e+02    3.065321e+02    2.634422e-03    3.071887e+02    6.565602e-01
   5.264369e-02    2.948792e+02    2.942289e+02    2.634481e-03    2.948765e+02    6.476431e-01
   5.390146e-02    2.831682e+02    2.825267e+02    2.634542e-03    2.831656e+02    6.388365e-01
   5.517408e-02    2.720233e+02    2.713904e+02    2.634606e-03    2.720207e+02    6.302292e-01
   5.646155e-02    2.614115e+02    2.607871e+02    2.634671e-03    2.614089e+02    6.218623e-01
   5.776387e-02    2.513023e+02    2.506859e+02    2.634739e-03    2.512996e+02    6.137364e-01
   5.908104e-02    2.416672e+02    2.410588e+02    2.634809e-03    2.416646e+02    6.058122e-01
   6.041305e-02    2.324798e+02    2.318791e+02    2.634882e-03    2.324772e+02    5.980349e-01
   6.175992e-02    2.237151e+02    2.231221e+02    2.634957e-03    2.237124e+02    5.903332e-01
   6.312163e-02    2.153498e+02    2.147644e+02    2.635034e-03    2.153472e+02    5.827997e-01
   6.449819e-02    2.073621e+02    2.067840e+02    2.635114e-03    2.073595e+02    5.755336e-01
   6.588960e-02    1.997317e+02    1.991608e+02    2.635197e-03    1.997291e+02    5.682653e-01
   6.729586e-02    1.924398e+02    1.918759e+02    2.635282e-03    1.924372e+02    5.612743e-01
   6.871696e-02    1.854683e+02    1.849113e+02    2.635370e-03    1.854657e+02    5.543904e-01
   7.015292e-02    1.788005e+02    1.782503e+02    2.635461e-03    1.787978e+02    5.475640e-01
   7.160372e-02    1.724203e+02    1.718768e+02    2.635555e-03    1.724177e+02    5.409273e-01
   7.306937e-02    1.663134e+02    1.657763e+02    2.635651e-03    1.663107e+02    5.344526e-01
   7.454987e-02    1.604657e+02    1.599349e+02    2.635751e-03    1.604630e+02    5.280880e-01
   7.604522e-02    1.548641e+02    1.543396e+02    2.635854e-03    1.548615e+02    5.218308e-01
   7.755542e-02    1.494964e+02    1.489781e+02    2.635959e-03    1.494938e+02    5.156803e-01
   7.908047e-02    1.443509e+02    1.438386e+02    2.636068e-03    1.443483e+02    5.096396e-01
   8.062036e-02    1.394167e+02    1.389103e+02    2.636180e-03    1.394140e+02    5.037139e-01
   8.217511e-02    1.346836e+02    1.341830e+02    2.636296e-03    1.346809e+02    4.979541e-01
   8.374470e-02    1.301418e+02    1.296469e+02    2.636414e-03    1.301392e+02    4.922554e-01
   8.532914e-02    1.257822e+02    1.252930e+02    2.636536e-03    1.257796e+02    4.866131e-01
   8.692843e-02    1.215962e+02    1.211124e+02    2.636662e-03    1.215936e+02    4.811703e-01
   8.854257e-02    1.175755e+02    1.170971e+02    2.636791e-03    1.175728e+02    4.757556e-01
   9.017155e-02    1.137124e+02    1.132393e+02    2.636924e-03    1.137098e+02    4.704472e-01
   9.181539e-02    1.099998e+02    1.095319e+02    2.637060e-03    1.099971e+02    4.652254e-01
   9.347407e-02    1.064306e+02    1.059679e+02    2.637200e-03    1.064280e+02    4.601172e-01
   9.514761e-02    1.029984e+02    1.025407e+02    2.637344e-03    1.029957e+02    4.550649e-01
   9.683599e-02    9.969675e+01    9.924400e+01    2.637491e-03    9.969411e+01    4.501139e-01
   9.853922e-02    9.652003e+01    9.607215e+01    2.637643e-03    9.651739e+01    4.452434e-01
   1.002573e-01    9.346265e+01    9.301956e+01    2.637799e-03    9.346001e+01    4.404579e-01
   1.019902e-01    9.051936e+01    9.008096e+01    2.637958e-03    9.051672e+01    4.357596e-01
   1.037380e-01    8.768511e+01    8.725135e+01    2.638122e-03    8.768247e+01    4.311199e-01
   1.055006e-01    8.495506e+01    8.452588e+01    2.638290e-03    8.495242e+01    4.265400e-01
   1.072781e-01    8.232484e+01    8.190014e+01    2.638462e-03    8.232220e+01    4.220615e-01
   1.090704e-01    7.979017e+01    7.936987e+01    2.638639e-03    7.978753e+01    4.176670e-01
   1.108776e-01    7.734698e+01    7.693101e+01    2.638820e-03    7.734434e+01    4.133304e-01
   1.126996e-01    7.499138e+01    7.457969e+01    2.639006e-03    7.498875e+01    4.090573e-01
