   r/R       V       Vcoul       Vexc       Vkin       Vinh       rV         ne        y        dNe    dNe(free) dNe(bound)    eta    n0*Ine
7.0756e-02 9.970e+02 9.317e+02 6.527e+01 +9.974e+02 +6.621e+00 7.261e+00 1.431e+32 1.342e+05 2.264e+11 5.444e+08 +2.259e+11 9.974e+02 1.000e+00 
7.1824e-02 9.757e+02 9.112e+02 6.451e+01 +9.763e+02 +6.344e+00 7.208e+00 1.386e+32 1.341e+05 2.260e+11 6.298e+08 +2.254e+11 9.763e+02 1.000e+00 
7.2900e-02 9.549e+02 8.911e+02 6.376e+01 +9.558e+02 +6.078e+00 7.156e+00 1.342e+32 1.340e+05 2.255e+11 7.177e+08 +2.248e+11 9.558e+02 1.000e+00 
7.3984e-02 9.347e+02 8.716e+02 6.302e+01 +9.359e+02 +5.822e+00 7.103e+00 1.301e+32 1.338e+05 2.250e+11 8.077e+08 +2.242e+11 9.359e+02 1.000e+00 
7.5076e-02 9.149e+02 8.526e+02 6.230e+01 +9.164e+02 +5.575e+00 7.051e+00 1.260e+32 1.337e+05 2.245e+11 8.993e+08 +2.236e+11 9.164e+02 1.000e+00 
7.6176e-02 8.957e+02 8.341e+02 6.158e+01 +8.974e+02 +5.339e+00 6.999e+00 1.221e+32 1.335e+05 2.240e+11 9.922e+08 +2.230e+11 8.974e+02 1.000e+00 
7.7284e-02 8.769e+02 8.161e+02 6.087e+01 +8.788e+02 +5.111e+00 6.947e+00 1.183e+32 1.334e+05 2.235e+11 1.086e+09 +2.224e+11 8.788e+02 1.000e+00 
7.8400e-02 8.586e+02 7.985e+02 6.017e+01 +8.608e+02 +4.892e+00 6.895e+00 1.147e+32 1.332e+05 2.229e+11 1.180e+09 +2.217e+11 8.608e+02 1.000e+00 
7.9524e-02 8.408e+02 7.813e+02 5.949e+01 +8.431e+02 +4.681e+00 6.843e+00 1.112e+32 1.330e+05 2.223e+11 1.275e+09 +2.210e+11 8.431e+02 1.000e+00 
8.0656e-02 8.233e+02 7.645e+02 5.881e+01 +8.259e+02 +4.478e+00 6.792e+00 1.078e+32 1.328e+05 2.217e+11 1.371e+09 +2.203e+11 8.259e+02 1.000e+00 
8.1796e-02 8.063e+02 7.482e+02 5.814e+01 +8.091e+02 +4.282e+00 6.741e+00 1.045e+32 1.326e+05 2.211e+11 1.466e+09 +2.196e+11 8.091e+02 1.000e+00 
8.2944e-02 7.898e+02 7.323e+02 5.748e+01 +7.927e+02 +4.094e+00 6.690e+00 1.014e+32 1.325e+05 2.205e+11 1.562e+09 +2.189e+11 7.927e+02 1.000e+00 
8.4100e-02 7.736e+02 7.167e+02 5.683e+01 +7.767e+02 +3.913e+00 6.639e+00 9.832e+31 1.323e+05 2.198e+11 1.659e+09 +2.182e+11 7.767e+02 1.000e+00 
8.5264e-02 7.578e+02 7.016e+02 5.619e+01 +7.610e+02 +3.738e+00 6.589e+00 9.537e+31 1.321e+05 2.192e+11 1.755e+09 +2.174e+11 7.610e+02 1.000e+00 
8.6436e-02 7.423e+02 6.868e+02 5.556e+01 +7.458e+02 +3.570e+00 6.539e+00 9.251e+31 1.319e+05 2.185e+11 1.851e+09 +2.166e+11 7.458e+02 1.000e+00 
8.7616e-02 7.273e+02 6.723e+02 5.493e+01 +7.309e+02 +3.408e+00 6.488e+00 8.976e+31 1.317e+05 2.178e+11 1.948e+09 +2.159e+11 7.309e+02 1.000e+00 
8.8804e-02 7.126e+02 6.582e+02 5.432e+01 +7.163e+02 +3.252e+00 6.439e+00 8.709e+31 1.314e+05 2.171e+11 2.045e+09 +2.151e+11 7.163e+02 1.000e+00 
9.0000e-02 6.982e+02 6.445e+02 5.371e+01 +7.021e+02 +3.101e+00 6.389e+00 8.451e+31 1.312e+05 2.164e+11 2.141e+09 +2.143e+11 7.021e+02 1.000e+00 
9.1204e-02 6.842e+02 6.311e+02 5.311e+01 +6.882e+02 +2.956e+00 6.339e+00 8.202e+31 1.310e+05 2.157e+11 2.238e+09 +2.134e+11 6.882e+02 1.000e+00 
9.2416e-02 6.705e+02 6.179e+02 5.252e+01 +6.747e+02 +2.816e+00 6.290e+00 7.960e+31 1.308e+05 2.149e+11 2.335e+09 +2.126e+11 6.747e+02 1.000e+00 
9.3636e-02 6.571e+02 6.051e+02 5.194e+01 +6.614e+02 +2.681e+00 6.241e+00 7.727e+31 1.305e+05 2.142e+11 2.432e+09 +2.117e+11 6.614e+02 1.000e+00 
9.4864e-02 6.440e+02 5.926e+02 5.136e+01 +6.485e+02 +2.551e+00 6.192e+00 7.501e+31 1.303e+05 2.134e+11 2.528e+09 +2.109e+11 6.485e+02 1.000e+00 
9.6100e-02 6.312e+02 5.804e+02 5.079e+01 +6.358e+02 +2.426e+00 6.144e+00 7.283e+31 1.301e+05 2.126e+11 2.625e+09 +2.100e+11 6.358e+02 1.000e+00 
9.7344e-02 6.187e+02 5.685e+02 5.023e+01 +6.235e+02 +2.305e+00 6.096e+00 7.071e+31 1.298e+05 2.118e+11 2.722e+09 +2.091e+11 6.235e+02 1.000e+00 
9.8596e-02 6.065e+02 5.569e+02 4.968e+01 +6.114e+02 +2.188e+00 6.048e+00 6.867e+31 1.296e+05 2.110e+11 2.819e+09 +2.082e+11 6.114e+02 1.000e+00 
9.9856e-02 5.946e+02 5.455e+02 4.914e+01 +5.996e+02 +2.075e+00 6.000e+00 6.669e+31 1.293e+05 2.102e+11 2.916e+09 +2.073e+11 5.996e+02 1.000e+00 
1.0112e-01 5.830e+02 5.344e+02 4.860e+01 +5.880e+02 +1.967e+00 5.952e+00 6.477e+31 1.291e+05 2.094e+11 3.013e+09 +2.064e+11 5.880e+02 1.000e+00 
1.0240e-01 5.716e+02 5.235e+02 4.806e+01 +5.767e+02 +1.862e+00 5.905e+00 6.291e+31 1.288e+05 2.086e+11 3.110e+09 +2.054e+11 5.767e+02 1.000e+00 
1.0368e-01 5.604e+02 5.129e+02 4.754e+01 +5.657e+02 +1.761e+00 5.857e+00 6.112e+31 1.286e+05 2.077e+11 3.207e+09 +2.045e+11 5.657e+02 1.000e+00 
1.0498e-01 5.495e+02 5.025e+02 4.702e+01 +5.549e+02 +1.663e+00 5.811e+00 5.938e+31 1.283e+05 2.069e+11 3.304e+09 +2.035e+11 5.549e+02 1.000e+00 
1.0628e-01 5.389e+02 4.924e+02 4.651e+01 +5.443e+02 +1.569e+00 5.764e+00 5.769e+31 1.280e+05 2.060e+11 3.401e+09 +2.026e+11 5.443e+02 1.000e+00 
1.0758e-01 5.285e+02 4.825e+02 4.600e+01 +5.340e+02 +1.478e+00 5.717e+00 5.606e+31 1.278e+05 2.051e+11 3.498e+09 +2.016e+11 5.340e+02 1.000e+00 
1.0890e-01 5.183e+02 4.728e+02 4.550e+01 +5.239e+02 +1.390e+00 5.671e+00 5.448e+31 1.275e+05 2.042e+11 3.595e+09 +2.006e+11 5.239e+02 1.000e+00 
1.1022e-01 5.083e+02 4.633e+02 4.501e+01 +5.141e+02 +1.305e+00 5.625e+00 5.294e+31 1.272e+05 2.033e+11 3.692e+09 +1.996e+11 5.141e+02 1.000e+00 
1.1156e-01 4.986e+02 4.541e+02 4.452e+01 +5.044e+02 +1.223e+00 5.579e+00 5.146e+31 1.269e+05 2.024e+11 3.789e+09 +1.986e+11 5.044e+02 1.000e+00 
1.1290e-01 4.891e+02 4.450e+02 4.404e+01 +4.949e+02 +1.144e+00 5.534e+00 5.002e+31 1.266e+05 2.015e+11 3.886e+09 +1.976e+11 4.949e+02 1.000e+00 
1.1424e-01 4.798e+02 4.362e+02 4.357e+01 +4.857e+02 +1.068e+00 5.489e+00 4.862e+31 1.264e+05 2.006e+11 3.983e+09 +1.966e+11 4.857e+02 1.000e+00 
1.1560e-01 4.706e+02 4.275e+02 4.310e+01 +4.767e+02 +9.941e-01 5.444e+00 4.727e+31 1.261e+05 1.997e+11 4.080e+09 +1.956e+11 4.767e+02 1.000e+00 
1.1696e-01 4.617e+02 4.191e+02 4.264e+01 +4.678e+02 +9.230e-01 5.399e+00 4.596e+31 1.258e+05 1.988e+11 4.177e+09 +1.946e+11 4.678e+02 1.000e+00 
1.1834e-01 4.530e+02 4.108e+02 4.218e+01 +4.591e+02 +8.542e-01 5.354e+00 4.469e+31 1.255e+05 1.978e+11 4.274e+09 +1.936e+11 4.591e+02 1.000e+00 
1.1972e-01 4.444e+02 4.027e+02 4.173e+01 +4.507e+02 +7.878e-01 5.310e+00 4.346e+31 1.252e+05 1.969e+11 4.371e+09 +1.925e+11 4.507e+02 1.000e+00 
1.2110e-01 4.361e+02 3.948e+02 4.128e+01 +4.424e+02 +7.237e-01 5.266e+00 4.226e+31 1.249e+05 1.959e+11 4.468e+09 +1.915e+11 4.424e+02 1.000e+00 
1.2250e-01 4.279e+02 3.870e+02 4.084e+01 +4.342e+02 +6.618e-01 5.222e+00 4.110e+31 1.246e+05 1.950e+11 4.565e+09 +1.904e+11 4.342e+02 1.000e+00 
1.2390e-01 4.199e+02 3.795e+02 4.040e+01 +4.263e+02 +6.020e-01 5.179e+00 3.998e+31 1.243e+05 1.940e+11 4.662e+09 +1.894e+11 4.263e+02 1.000e+00 
1.2532e-01 4.120e+02 3.721e+02 3.997e+01 +4.185e+02 +5.443e-01 5.135e+00 3.889e+31 1.240e+05 1.931e+11 4.759e+09 +1.883e+11 4.185e+02 1.000e+00 
1.2674e-01 4.043e+02 3.648e+02 3.955e+01 +4.109e+02 +4.885e-01 5.092e+00 3.783e+31 1.236e+05 1.921e+11 4.856e+09 +1.872e+11 4.109e+02 1.000e+00 
1.2816e-01 3.968e+02 3.577e+02 3.912e+01 +4.034e+02 +4.346e-01 5.050e+00 3.681e+31 1.233e+05 1.911e+11 4.953e+09 +1.862e+11 4.034e+02 1.000e+00 
1.2960e-01 3.895e+02 3.508e+02 3.871e+01 +3.961e+02 +3.825e-01 5.007e+00 3.581e+31 1.230e+05 1.901e+11 5.050e+09 +1.851e+11 3.961e+02 1.000e+00 
1.3104e-01 3.823e+02 3.440e+02 3.830e+01 +3.889e+02 +3.323e-01 4.965e+00 3.484e+31 1.227e+05 1.892e+11 5.147e+09 +1.840e+11 3.889e+02 1.000e+00 
1.3250e-01 3.752e+02 3.373e+02 3.789e+01 +3.819e+02 +2.837e-01 4.923e+00 3.391e+31 1.224e+05 1.882e+11 5.244e+09 +1.829e+11 3.819e+02 1.000e+00 
1.3396e-01 3.683e+02 3.308e+02 3.749e+01 +3.751e+02 +2.368e-01 4.881e+00 3.300e+31 1.220e+05 1.872e+11 5.341e+09 +1.818e+11 3.751e+02 1.000e+00 
1.3542e-01 3.615e+02 3.244e+02 3.709e+01 +3.683e+02 +1.915e-01 4.839e+00 3.211e+31 1.217e+05 1.862e+11 5.438e+09 +1.807e+11 3.683e+02 1.000e+00 
1.3690e-01 3.549e+02 3.182e+02 3.670e+01 +3.618e+02 +1.477e-01 4.798e+00 3.126e+31 1.214e+05 1.852e+11 5.535e+09 +1.796e+11 3.618e+02 1.000e+00 
1.3838e-01 3.484e+02 3.121e+02 3.631e+01 +3.553e+02 +1.055e-01 4.757e+00 3.042e+31 1.211e+05 1.842e+11 5.632e+09 +1.785e+11 3.553e+02 1.000e+00 
1.3988e-01 3.420e+02 3.061e+02 3.593e+01 +3.490e+02 +6.467e-02 4.716e+00 2.961e+31 1.207e+05 1.832e+11 5.729e+09 +1.774e+11 3.490e+02 1.000e+00 
1.4138e-01 3.358e+02 3.002e+02 3.555e+01 +3.428e+02 +2.525e-02 4.675e+00 2.883e+31 1.204e+05 1.822e+11 5.826e+09 +1.763e+11 3.428e+02 1.000e+00 
1.4288e-01 3.297e+02 2.945e+02 3.518e+01 +3.367e+02 -1.281e-02 4.635e+00 2.807e+31 1.201e+05 1.811e+11 5.923e+09 +1.752e+11 3.367e+02 1.000e+00 
1.4440e-01 3.237e+02 2.889e+02 3.481e+01 +3.308e+02 -4.957e-02 4.595e+00 2.733e+31 1.197e+05 1.801e+11 6.020e+09 +1.741e+11 3.308e+02 1.000e+00 
1.4592e-01 3.178e+02 2.834e+02 3.444e+01 +3.250e+02 -8.507e-02 4.555e+00 2.661e+31 1.194e+05 1.791e+11 6.117e+09 +1.730e+11 3.250e+02 1.000e+00 
1.4746e-01 3.121e+02 2.780e+02 3.408e+01 +3.192e+02 -1.193e-01 4.516e+00 2.591e+31 1.190e+05 1.781e+11 6.214e+09 +1.719e+11 3.192e+02 1.000e+00 
1.4900e-01 3.065e+02 2.728e+02 3.372e+01 +3.136e+02 -1.524e-01 4.476e+00 2.523e+31 1.187e+05 1.771e+11 6.311e+09 +1.708e+11 3.136e+02 1.000e+00 
1.5054e-01 3.010e+02 2.676e+02 3.337e+01 +3.082e+02 -1.844e-01 4.437e+00 2.457e+31 1.184e+05 1.761e+11 6.408e+09 +1.696e+11 3.082e+02 1.000e+00 
1.5210e-01 2.956e+02 2.625e+02 3.302e+01 +3.028e+02 -2.152e-01 4.398e+00 2.393e+31 1.180e+05 1.750e+11 6.505e+09 +1.685e+11 3.028e+02 1.000e+00 
1.5366e-01 2.903e+02 2.576e+02 3.267e+01 +2.975e+02 -2.450e-01 4.360e+00 2.331e+31 1.177e+05 1.740e+11 6.602e+09 +1.674e+11 2.975e+02 1.000e+00 
1.5524e-01 2.851e+02 2.527e+02 3.233e+01 +2.924e+02 -2.737e-01 4.321e+00 2.271e+31 1.173e+05 1.730e+11 6.699e+09 +1.663e+11 2.924e+02 1.000e+00 
1.5682e-01 2.800e+02 2.480e+02 3.199e+01 +2.873e+02 -3.015e-01 4.283e+00 2.212e+31 1.170e+05 1.720e+11 6.796e+09 +1.652e+11 2.873e+02 1.000e+00 
1.5840e-01 2.750e+02 2.433e+02 3.166e+01 +2.823e+02 -3.282e-01 4.245e+00 2.155e+31 1.166e+05 1.709e+11 6.893e+09 +1.640e+11 2.823e+02 1.000e+00 
1.6000e-01 2.701e+02 2.388e+02 3.133e+01 +2.775e+02 -3.540e-01 4.208e+00 2.099e+31 1.163e+05 1.699e+11 6.990e+09 +1.629e+11 2.775e+02 1.000e+00 
1.6160e-01 2.653e+02 2.343e+02 3.100e+01 +2.727e+02 -3.790e-01 4.170e+00 2.045e+31 1.159e+05 1.689e+11 7.087e+09 +1.618e+11 2.727e+02 1.000e+00 
1.6322e-01 2.606e+02 2.299e+02 3.068e+01 +2.680e+02 -4.030e-01 4.133e+00 1.993e+31 1.156e+05 1.678e+11 7.183e+09 +1.607e+11 2.680e+02 1.000e+00 
1.6484e-01 2.560e+02 2.256e+02 3.036e+01 +2.634e+02 -4.262e-01 4.096e+00 1.942e+31 1.152e+05 1.668e+11 7.280e+09 +1.595e+11 2.634e+02 1.000e+00 
1.6646e-01 2.514e+02 2.214e+02 3.004e+01 +2.589e+02 -4.485e-01 4.060e+00 1.892e+31 1.149e+05 1.658e+11 7.377e+09 +1.584e+11 2.589e+02 1.000e+00 
1.6810e-01 2.470e+02 2.173e+02 2.973e+01 +2.545e+02 -4.701e-01 4.023e+00 1.844e+31 1.145e+05 1.648e+11 7.474e+09 +1.573e+11 2.545e+02 1.000e+00 
1.6974e-01 2.427e+02 2.132e+02 2.942e+01 +2.502e+02 -4.909e-01 3.987e+00 1.797e+31 1.141e+05 1.637e+11 7.571e+09 +1.561e+11 2.502e+02 1.000e+00 
1.7140e-01 2.384e+02 2.093e+02 2.911e+01 +2.459e+02 -5.109e-01 3.951e+00 1.752e+31 1.138e+05 1.627e+11 7.667e+09 +1.550e+11 2.459e+02 1.000e+00 
1.7306e-01 2.342e+02 2.054e+02 2.881e+01 +2.418e+02 -5.302e-01 3.915e+00 1.708e+31 1.134e+05 1.617e+11 7.764e+09 +1.539e+11 2.418e+02 1.000e+00 
1.7472e-01 2.301e+02 2.016e+02 2.851e+01 +2.377e+02 -5.488e-01 3.880e+00 1.664e+31 1.131e+05 1.606e+11 7.861e+09 +1.528e+11 2.377e+02 1.000e+00 
1.7640e-01 2.261e+02 1.979e+02 2.821e+01 +2.337e+02 -5.668e-01 3.845e+00 1.623e+31 1.127e+05 1.596e+11 7.957e+09 +1.517e+11 2.337e+02 1.000e+00 
1.7808e-01 2.221e+02 1.942e+02 2.792e+01 +2.297e+02 -5.840e-01 3.810e+00 1.582e+31 1.123e+05 1.586e+11 8.054e+09 +1.505e+11 2.297e+02 1.000e+00 
1.7978e-01 2.183e+02 1.906e+02 2.762e+01 +2.259e+02 -6.007e-01 3.775e+00 1.542e+31 1.120e+05 1.576e+11 8.151e+09 +1.494e+11 2.259e+02 1.000e+00 
1.8148e-01 2.145e+02 1.871e+02 2.734e+01 +2.221e+02 -6.167e-01 3.741e+00 1.504e+31 1.116e+05 1.565e+11 8.247e+09 +1.483e+11 2.221e+02 1.000e+00 
1.8318e-01 2.107e+02 1.837e+02 2.705e+01 +2.184e+02 -6.321e-01 3.706e+00 1.466e+31 1.112e+05 1.555e+11 8.344e+09 +1.472e+11 2.184e+02 1.000e+00 
1.8490e-01 2.071e+02 1.803e+02 2.677e+01 +2.147e+02 -6.469e-01 3.672e+00 1.429e+31 1.109e+05 1.545e+11 8.440e+09 +1.461e+11 2.147e+02 1.000e+00 
1.8662e-01 2.035e+02 1.770e+02 2.649e+01 +2.112e+02 -6.612e-01 3.638e+00 1.394e+31 1.105e+05 1.535e+11 8.537e+09 +1.449e+11 2.112e+02 1.000e+00 
1.8836e-01 2.000e+02 1.738e+02 2.622e+01 +2.077e+02 -6.749e-01 3.605e+00 1.359e+31 1.101e+05 1.525e+11 8.633e+09 +1.438e+11 2.077e+02 1.000e+00 
1.9010e-01 1.965e+02 1.706e+02 2.594e+01 +2.042e+02 -6.881e-01 3.572e+00 1.326e+31 1.098e+05 1.514e+11 8.729e+09 +1.427e+11 2.042e+02 1.000e+00 
1.9184e-01 1.931e+02 1.675e+02 2.567e+01 +2.008e+02 -7.008e-01 3.538e+00 1.293e+31 1.094e+05 1.504e+11 8.826e+09 +1.416e+11 2.008e+02 1.000e+00 
1.9360e-01 1.898e+02 1.644e+02 2.541e+01 +1.975e+02 -7.129e-01 3.506e+00 1.261e+31 1.090e+05 1.494e+11 8.922e+09 +1.405e+11 1.975e+02 1.000e+00 
1.9536e-01 1.865e+02 1.614e+02 2.514e+01 +1.943e+02 -7.247e-01 3.473e+00 1.230e+31 1.087e+05 1.484e+11 9.018e+09 +1.394e+11 1.943e+02 1.000e+00 
1.9714e-01 1.833e+02 1.584e+02 2.488e+01 +1.911e+02 -7.359e-01 3.440e+00 1.200e+31 1.083e+05 1.474e+11 9.114e+09 +1.383e+11 1.911e+02 1.000e+00 
1.9892e-01 1.802e+02 1.556e+02 2.462e+01 +1.879e+02 -7.467e-01 3.408e+00 1.170e+31 1.079e+05 1.464e+11 9.210e+09 +1.372e+11 1.879e+02 1.000e+00 
2.0070e-01 1.771e+02 1.527e+02 2.437e+01 +1.849e+02 -7.570e-01 3.376e+00 1.142e+31 1.076e+05 1.454e+11 9.306e+09 +1.361e+11 1.849e+02 1.000e+00 
2.0250e-01 1.741e+02 1.500e+02 2.411e+01 +1.818e+02 -7.669e-01 3.345e+00 1.114e+31 1.072e+05 1.444e+11 9.402e+09 +1.350e+11 1.818e+02 1.000e+00 
2.0430e-01 1.711e+02 1.472e+02 2.386e+01 +1.789e+02 -7.765e-01 3.313e+00 1.087e+31 1.068e+05 1.434e+11 9.498e+09 +1.339e+11 1.789e+02 1.000e+00 
2.0612e-01 1.682e+02 1.446e+02 2.361e+01 +1.760e+02 -7.856e-01 3.282e+00 1.060e+31 1.065e+05 1.424e+11 9.594e+09 +1.328e+11 1.760e+02 1.000e+00 
2.0794e-01 1.653e+02 1.419e+02 2.337e+01 +1.731e+02 -7.943e-01 3.251e+00 1.035e+31 1.061e+05 1.414e+11 9.690e+09 +1.317e+11 1.731e+02 1.000e+00 
2.0976e-01 1.625e+02 1.394e+02 2.312e+01 +1.703e+02 -8.027e-01 3.220e+00 1.010e+31 1.057e+05 1.404e+11 9.786e+09 +1.307e+11 1.703e+02 1.000e+00 
2.1160e-01 1.597e+02 1.368e+02 2.288e+01 +1.676e+02 -8.107e-01 3.189e+00 9.852e+30 1.053e+05 1.395e+11 9.881e+09 +1.296e+11 1.676e+02 1.000e+00 
2.1344e-01 1.570e+02 1.344e+02 2.264e+01 +1.648e+02 -8.183e-01 3.159e+00 9.614e+30 1.050e+05 1.385e+11 9.977e+09 +1.285e+11 1.648e+02 1.000e+00 
2.1530e-01 1.543e+02 1.319e+02 2.241e+01 +1.622e+02 -8.256e-01 3.129e+00 9.383e+30 1.046e+05 1.375e+11 1.007e+10 +1.274e+11 1.622e+02 1.000e+00 
2.1716e-01 1.517e+02 1.296e+02 2.217e+01 +1.596e+02 -8.326e-01 3.099e+00 9.157e+30 1.042e+05 1.365e+11 1.017e+10 +1.263e+11 1.596e+02 1.000e+00 
2.1902e-01 1.492e+02 1.272e+02 2.194e+01 +1.570e+02 -8.392e-01 3.069e+00 8.938e+30 1.039e+05 1.355e+11 1.026e+10 +1.253e+11 1.570e+02 1.000e+00 
2.2090e-01 1.466e+02 1.249e+02 2.171e+01 +1.545e+02 -8.456e-01 3.040e+00 8.724e+30 1.035e+05 1.346e+11 1.036e+10 +1.242e+11 1.545e+02 1.000e+00 
2.2278e-01 1.442e+02 1.227e+02 2.148e+01 +1.520e+02 -8.516e-01 3.010e+00 8.515e+30 1.031e+05 1.336e+11 1.045e+10 +1.232e+11 1.520e+02 1.000e+00 
2.2468e-01 1.417e+02 1.205e+02 2.126e+01 +1.496e+02 -8.574e-01 2.981e+00 8.312e+30 1.027e+05 1.326e+11 1.055e+10 +1.221e+11 1.496e+02 1.000e+00 
2.2658e-01 1.393e+02 1.183e+02 2.104e+01 +1.472e+02 -8.629e-01 2.952e+00 8.114e+30 1.024e+05 1.317e+11 1.064e+10 +1.210e+11 1.472e+02 1.000e+00 
2.2848e-01 1.370e+02 1.162e+02 2.082e+01 +1.449e+02 -8.681e-01 2.924e+00 7.922e+30 1.020e+05 1.307e+11 1.074e+10 +1.200e+11 1.449e+02 1.000e+00 
2.3040e-01 1.347e+02 1.141e+02 2.060e+01 +1.426e+02 -8.730e-01 2.895e+00 7.734e+30 1.016e+05 1.298e+11 1.083e+10 +1.190e+11 1.426e+02 1.000e+00 
2.3232e-01 1.324e+02 1.120e+02 2.038e+01 +1.403e+02 -8.777e-01 2.867e+00 7.551e+30 1.013e+05 1.288e+11 1.093e+10 +1.179e+11 1.403e+02 1.000e+00 
2.3426e-01 1.302e+02 1.100e+02 2.017e+01 +1.381e+02 -8.821e-01 2.839e+00 7.372e+30 1.009e+05 1.279e+11 1.102e+10 +1.169e+11 1.381e+02 1.000e+00 
2.3620e-01 1.280e+02 1.081e+02 1.996e+01 +1.359e+02 -8.863e-01 2.811e+00 7.198e+30 1.005e+05 1.270e+11 1.112e+10 +1.158e+11 1.359e+02 1.000e+00 
2.3814e-01 1.259e+02 1.061e+02 1.975e+01 +1.338e+02 -8.903e-01 2.784e+00 7.029e+30 1.001e+05 1.260e+11 1.121e+10 +1.148e+11 1.338e+02 1.000e+00 
2.4010e-01 1.238e+02 1.042e+02 1.954e+01 +1.317e+02 -8.940e-01 2.756e+00 6.864e+30 9.977e+04 1.251e+11 1.131e+10 +1.138e+11 1.317e+02 1.000e+00 
2.4206e-01 1.217e+02 1.024e+02 1.933e+01 +1.296e+02 -8.976e-01 2.729e+00 6.703e+30 9.940e+04 1.242e+11 1.140e+10 +1.128e+11 1.296e+02 1.000e+00 
2.4404e-01 1.197e+02 1.005e+02 1.913e+01 +1.276e+02 -9.009e-01 2.702e+00 6.546e+30 9.903e+04 1.232e+11 1.150e+10 +1.117e+11 1.276e+02 1.000e+00 
2.4602e-01 1.177e+02 9.873e+01 1.893e+01 +1.256e+02 -9.040e-01 2.675e+00 6.393e+30 9.866e+04 1.223e+11 1.159e+10 +1.107e+11 1.256e+02 1.000e+00 
2.4800e-01 1.157e+02 9.697e+01 1.873e+01 +1.236e+02 -9.069e-01 2.649e+00 6.244e+30 9.829e+04 1.214e+11 1.169e+10 +1.097e+11 1.236e+02 1.000e+00 
2.5000e-01 1.138e+02 9.524e+01 1.853e+01 +1.217e+02 -9.096e-01 2.623e+00 6.098e+30 9.792e+04 1.205e+11 1.178e+10 +1.087e+11 1.217e+02 1.000e+00 
2.5200e-01 1.119e+02 9.354e+01 1.833e+01 +1.198e+02 -9.122e-01 2.596e+00 5.957e+30 9.755e+04 1.196e+11 1.187e+10 +1.077e+11 1.198e+02 1.000e+00 
2.5402e-01 1.100e+02 9.187e+01 1.814e+01 +1.179e+02 -9.145e-01 2.570e+00 5.818e+30 9.718e+04 1.187e+11 1.197e+10 +1.067e+11 1.179e+02 1.000e+00 
2.5604e-01 1.082e+02 9.023e+01 1.795e+01 +1.161e+02 -9.167e-01 2.545e+00 5.684e+30 9.681e+04 1.178e+11 1.206e+10 +1.057e+11 1.161e+02 1.000e+00 
2.5806e-01 1.064e+02 8.862e+01 1.776e+01 +1.143e+02 -9.188e-01 2.519e+00 5.552e+30 9.645e+04 1.169e+11 1.215e+10 +1.047e+11 1.143e+02 1.000e+00 
2.6010e-01 1.046e+02 8.704e+01 1.757e+01 +1.126e+02 -9.206e-01 2.494e+00 5.424e+30 9.608e+04 1.160e+11 1.225e+10 +1.038e+11 1.126e+02 1.000e+00 
2.6214e-01 1.029e+02 8.549e+01 1.738e+01 +1.108e+02 -9.224e-01 2.468e+00 5.299e+30 9.571e+04 1.151e+11 1.234e+10 +1.028e+11 1.108e+02 1.000e+00 
2.6420e-01 1.012e+02 8.397e+01 1.720e+01 +1.091e+02 -9.239e-01 2.444e+00 5.177e+30 9.534e+04 1.142e+11 1.244e+10 +1.018e+11 1.091e+02 1.000e+00 
2.6626e-01 9.949e+01 8.247e+01 1.701e+01 +1.074e+02 -9.253e-01 2.419e+00 5.058e+30 9.498e+04 1.134e+11 1.253e+10 +1.008e+11 1.074e+02 1.000e+00 
2.6832e-01 9.784e+01 8.101e+01 1.683e+01 +1.058e+02 -9.266e-01 2.394e+00 4.942e+30 9.461e+04 1.125e+11 1.262e+10 +9.988e+10 1.058e+02 1.000e+00 
2.7040e-01 9.622e+01 7.956e+01 1.665e+01 +1.042e+02 -9.278e-01 2.370e+00 4.829e+30 9.425e+04 1.116e+11 1.271e+10 +9.892e+10 1.042e+02 1.000e+00 
2.7248e-01 9.462e+01 7.815e+01 1.647e+01 +1.026e+02 -9.288e-01 2.346e+00 4.719e+30 9.388e+04 1.108e+11 1.281e+10 +9.796e+10 1.026e+02 1.000e+00 
2.7458e-01 9.306e+01 7.676e+01 1.630e+01 +1.010e+02 -9.297e-01 2.321e+00 4.611e+30 9.352e+04 1.099e+11 1.290e+10 +9.701e+10 1.010e+02 1.000e+00 
2.7668e-01 9.152e+01 7.539e+01 1.612e+01 +9.947e+01 -9.305e-01 2.298e+00 4.506e+30 9.315e+04 1.090e+11 1.299e+10 +9.606e+10 9.947e+01 1.000e+00 
2.7878e-01 9.000e+01 7.405e+01 1.595e+01 +9.795e+01 -9.311e-01 2.274e+00 4.404e+30 9.279e+04 1.082e+11 1.309e+10 +9.512e+10 9.795e+01 1.000e+00 
2.8090e-01 8.852e+01 7.274e+01 1.578e+01 +9.647e+01 -9.317e-01 2.251e+00 4.304e+30 9.243e+04 1.074e+11 1.318e+10 +9.419e+10 9.647e+01 1.000e+00 
2.8302e-01 8.705e+01 7.145e+01 1.561e+01 +9.500e+01 -9.321e-01 2.227e+00 4.206e+30 9.207e+04 1.065e+11 1.327e+10 +9.326e+10 9.500e+01 1.000e+00 
2.8516e-01 8.562e+01 7.018e+01 1.544e+01 +9.357e+01 -9.325e-01 2.204e+00 4.111e+30 9.171e+04 1.057e+11 1.336e+10 +9.233e+10 9.357e+01 1.000e+00 
