   r/R       V       Vcoul       Vexc       Vkin       Vinh       rV         ne        y        dNe    dNe(free) dNe(bound)    eta    n0*Ine
3.6000e-03 3.189e+04 3.154e+04 3.486e+02 +2.438e+04 +7.523e+03 1.251e+01 1.729e+34 7.507e+04 7.083e+10 1.000e-20 +7.076e+10 2.438e+04 9.991e-01 
3.8440e-03 2.981e+04 2.947e+04 3.404e+02 +2.326e+04 +6.551e+03 1.248e+01 1.612e+34 7.740e+04 7.529e+10 1.000e-20 +7.522e+10 2.326e+04 9.991e-01 
4.0960e-03 2.791e+04 2.758e+04 3.324e+02 +2.220e+04 +5.717e+03 1.244e+01 1.503e+34 7.964e+04 7.971e+10 1.000e-20 +7.964e+10 2.220e+04 9.991e-01 
4.3560e-03 2.619e+04 2.587e+04 3.246e+02 +2.120e+04 +5.000e+03 1.241e+01 1.402e+34 8.180e+04 8.409e+10 1.000e-20 +8.402e+10 2.120e+04 9.992e-01 
4.6240e-03 2.462e+04 2.430e+04 3.171e+02 +2.024e+04 +4.382e+03 1.238e+01 1.308e+34 8.388e+04 8.842e+10 1.000e-20 +8.835e+10 2.024e+04 9.992e-01 
4.9000e-03 2.318e+04 2.287e+04 3.097e+02 +1.933e+04 +3.849e+03 1.234e+01 1.221e+34 8.588e+04 9.269e+10 1.000e-20 +9.262e+10 1.933e+04 9.992e-01 
5.1840e-03 2.185e+04 2.155e+04 3.026e+02 +1.847e+04 +3.388e+03 1.231e+01 1.141e+34 8.781e+04 9.689e+10 1.000e-20 +9.682e+10 1.847e+04 9.993e-01 
5.4760e-03 2.064e+04 2.034e+04 2.957e+02 +1.766e+04 +2.988e+03 1.227e+01 1.066e+34 8.966e+04 1.010e+11 1.000e-20 +1.010e+11 1.766e+04 9.993e-01 
5.7760e-03 1.952e+04 1.923e+04 2.890e+02 +1.688e+04 +2.641e+03 1.223e+01 9.964e+33 9.145e+04 1.051e+11 1.000e-20 +1.050e+11 1.688e+04 9.994e-01 
6.0840e-03 1.848e+04 1.820e+04 2.825e+02 +1.615e+04 +2.339e+03 1.219e+01 9.320e+33 9.316e+04 1.091e+11 1.000e-20 +1.090e+11 1.615e+04 9.994e-01 
6.4000e-03 1.752e+04 1.724e+04 2.762e+02 +1.545e+04 +2.076e+03 1.216e+01 8.724e+33 9.481e+04 1.130e+11 1.000e-20 +1.129e+11 1.545e+04 9.994e-01 
6.7240e-03 1.663e+04 1.636e+04 2.701e+02 +1.479e+04 +1.846e+03 1.212e+01 8.170e+33 9.640e+04 1.168e+11 1.000e-20 +1.167e+11 1.479e+04 9.995e-01 
7.0560e-03 1.580e+04 1.554e+04 2.641e+02 +1.416e+04 +1.645e+03 1.208e+01 7.657e+33 9.793e+04 1.205e+11 1.000e-20 +1.205e+11 1.416e+04 9.995e-01 
7.3960e-03 1.503e+04 1.477e+04 2.584e+02 +1.357e+04 +1.469e+03 1.204e+01 7.180e+33 9.940e+04 1.242e+11 1.000e-20 +1.241e+11 1.357e+04 9.996e-01 
7.7440e-03 1.431e+04 1.406e+04 2.529e+02 +1.301e+04 +1.315e+03 1.199e+01 6.738e+33 1.008e+05 1.277e+11 1.000e-20 +1.277e+11 1.301e+04 9.996e-01 
8.1000e-03 1.364e+04 1.340e+04 2.475e+02 +1.247e+04 +1.179e+03 1.195e+01 6.327e+33 1.022e+05 1.312e+11 1.000e-20 +1.312e+11 1.247e+04 9.997e-01 
8.4640e-03 1.302e+04 1.277e+04 2.422e+02 +1.196e+04 +1.060e+03 1.191e+01 5.944e+33 1.035e+05 1.346e+11 1.000e-20 +1.346e+11 1.196e+04 9.997e-01 
8.8360e-03 1.243e+04 1.219e+04 2.372e+02 +1.148e+04 +9.539e+02 1.187e+01 5.589e+33 1.048e+05 1.379e+11 1.000e-20 +1.379e+11 1.148e+04 9.998e-01 
9.2160e-03 1.188e+04 1.165e+04 2.323e+02 +1.103e+04 +8.605e+02 1.182e+01 5.259e+33 1.060e+05 1.412e+11 1.000e-20 +1.412e+11 1.103e+04 9.998e-01 
9.6040e-03 1.136e+04 1.113e+04 2.275e+02 +1.059e+04 +7.778e+02 1.178e+01 4.951e+33 1.072e+05 1.444e+11 1.000e-20 +1.443e+11 1.059e+04 9.999e-01 
1.0000e-02 1.088e+04 1.065e+04 2.229e+02 +1.018e+04 +7.045e+02 1.173e+01 4.664e+33 1.083e+05 1.474e+11 1.000e-20 +1.474e+11 1.018e+04 9.999e-01 
1.0404e-02 1.042e+04 1.020e+04 2.184e+02 +9.785e+03 +6.392e+02 1.169e+01 4.397e+33 1.094e+05 1.505e+11 1.000e-20 +1.505e+11 9.785e+03 1.000e+00 
1.0816e-02 9.986e+03 9.772e+03 2.141e+02 +9.412e+03 +5.812e+02 1.164e+01 4.148e+33 1.105e+05 1.534e+11 1.000e-20 +1.534e+11 9.412e+03 1.000e+00 
1.1236e-02 9.579e+03 9.369e+03 2.099e+02 +9.057e+03 +5.294e+02 1.160e+01 3.915e+33 1.115e+05 1.563e+11 1.000e-20 +1.563e+11 9.057e+03 1.000e+00 
1.1664e-02 9.195e+03 8.989e+03 2.058e+02 +8.718e+03 +4.831e+02 1.155e+01 3.698e+33 1.125e+05 1.590e+11 1.000e-20 +1.591e+11 8.718e+03 1.000e+00 
1.2100e-02 8.831e+03 8.629e+03 2.019e+02 +8.397e+03 +4.416e+02 1.150e+01 3.495e+33 1.135e+05 1.618e+11 1.000e-20 +1.618e+11 8.397e+03 1.000e+00 
1.2544e-02 8.487e+03 8.289e+03 1.980e+02 +8.090e+03 +4.044e+02 1.145e+01 3.305e+33 1.144e+05 1.644e+11 1.000e-20 +1.645e+11 8.090e+03 1.000e+00 
1.2996e-02 8.161e+03 7.967e+03 1.943e+02 +7.797e+03 +3.710e+02 1.140e+01 3.128e+33 1.153e+05 1.670e+11 1.000e-20 +1.671e+11 7.797e+03 1.000e+00 
1.3456e-02 7.853e+03 7.662e+03 1.907e+02 +7.519e+03 +3.410e+02 1.136e+01 2.961e+33 1.161e+05 1.695e+11 1.000e-20 +1.696e+11 7.519e+03 1.000e+00 
1.3924e-02 7.559e+03 7.372e+03 1.872e+02 +7.253e+03 +3.139e+02 1.131e+01 2.806e+33 1.170e+05 1.720e+11 1.000e-20 +1.720e+11 7.253e+03 1.001e+00 
