 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    3.02389243601227     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.89214784356E-006        0.13888585305E-007        0.28960901129E-010        0.13859624404E-007        0.13888669068E-007        0.83762667935E-013
        0.35685913743E-005        0.22221736488E-006        0.46337441816E-009        0.22175399046E-006        0.22221870508E-006        0.13402026870E-011
        0.80293305921E-005        0.11253946293E-005        0.23467064594E-008        0.11230479228E-005        0.11254014173E-005        0.67880056513E-011
        0.14274365497E-004        0.35569804047E-005        0.74171182681E-008        0.35495632865E-005        0.35570018627E-005        0.21457909664E-010
        0.22303696089E-004        0.86831413444E-005        0.18106326196E-007        0.86650350182E-005        0.86831937373E-005        0.52392916214E-010
        0.32117322368E-004        0.18001841999E-004        0.37537910287E-007        0.17964304089E-004        0.18001950648E-004        0.10864830695E-009
        0.43715244335E-004        0.33341802851E-004        0.69525134957E-007        0.33272277716E-004        0.33342004143E-004        0.20129164679E-009
        0.57097461988E-004        0.56861227670E-004        0.11856828705E-006        0.56742659383E-004        0.56861571073E-004        0.34340278466E-009
        0.72263975329E-004        0.91046301342E-004        0.18985153355E-006        0.90856449808E-004        0.91046851415E-004        0.55007385377E-009
        0.89214784356E-004        0.13870945919E-003        0.28923930096E-006        0.13842021989E-003        0.13871029760E-003        0.83840927167E-009
        0.10794988907E-003        0.20298742899E-003        0.42327217869E-006        0.20256415681E-003        0.20298865651E-003        0.12275257403E-008
        0.12846928947E-003        0.28733904683E-003        0.59916234893E-006        0.28673988448E-003        0.28734078538E-003        0.17385522462E-008
        0.15077298556E-003        0.39554284847E-003        0.82478854583E-006        0.39471805992E-003        0.39554524310E-003        0.23946300601E-008
        0.17486097734E-003        0.53169443752E-003        0.11086905471E-005        0.53058574697E-003        0.53169765843E-003        0.32209127377E-008
        0.20073326480E-003        0.70020363237E-003        0.14600632014E-005        0.69874356917E-003        0.70020787693E-003        0.42445661188E-008
        0.22838984795E-003        0.90579139354E-003        0.18887499953E-005        0.90390264354E-003        0.90579688830E-003        0.54947683283E-008
        0.25783072679E-003        0.11534865337E-002        0.24052361634E-005        0.11510812975E-002        0.11534935364E-002        0.70027097755E-008
        0.28905590131E-003        0.14486222121E-002        0.30206413466E-005        0.14456015707E-002        0.14486310136E-002        0.88015931549E-008
        0.32206537153E-003        0.17968322163E-002        0.37467118020E-005        0.17930855045E-002        0.17968431429E-002        0.10926633446E-007
        0.35685913743E-003        0.22040470332E-002        0.45958121703E-005        0.21994512210E-002        0.22040604483E-002        0.13415057912E-007
        0.39343719901E-003        0.26764897116E-002        0.55809168050E-005        0.26709087948E-002        0.26765060178E-002        0.16306106105E-007
        0.43179955628E-003        0.32206715201E-002        0.67156006689E-005        0.32139559195E-002        0.32206911612E-002        0.19641029857E-007
        0.47194620925E-003        0.38433874018E-002        0.80140298036E-005        0.38353733720E-002        0.38434108649E-002        0.23463093292E-007
        0.51387715789E-003        0.45517112298E-002        0.94909513784E-005        0.45422202785E-002        0.45517390474E-002        0.27817572815E-007
        0.55759240223E-003        0.53529908666E-002        0.11161683323E-004        0.53418291832E-002        0.53530236183E-002        0.32751757121E-007
        0.60309194225E-003        0.62548430289E-002        0.13042103555E-004        0.62418009254E-002        0.62548813439E-002        0.38314947188E-007
        0.65037577796E-003        0.72651479644E-002        0.15148638796E-004        0.72499993257E-002        0.72651925229E-002        0.44558456284E-007
        0.69944390935E-003        0.83920439405E-002        0.17498253009E-004        0.83745456875E-002        0.83920954761E-002        0.51535609963E-007
        0.75029633644E-003        0.96439215509E-002        0.20108435431E-004        0.96238131155E-002        0.96439808526E-002        0.59301746069E-007
        0.80293305921E-003        0.11029417843E-001        0.22997188234E-004        0.11006420655E-001        0.11029485757E-001        0.67914214731E-007
        0.85735407766E-003        0.12557410269E-001        0.26183013811E-004        0.12531227256E-001        0.12557487702E-001        0.77432378372E-007
        0.91355939181E-003        0.14237010470E-001        0.29684901700E-004        0.14207325568E-001        0.14237098387E-001        0.87917611701E-007
        0.97154900164E-003        0.16077557882E-001        0.33522315143E-004        0.16044035567E-001        0.16077657315E-001        0.99433301719E-007
        0.10313229072E-002        0.18088613194E-001        0.37715177305E-004        0.18050898017E-001        0.18088725239E-001        0.11204484772E-006
        0.10928811084E-002        0.20279951634E-001        0.42283857148E-004        0.20237667776E-001        0.20280077453E-001        0.12581966129E-006
        0.11562236053E-002        0.22661556105E-001        0.47249154972E-004        0.22614306950E-001        0.22661696932E-001        0.14082716630E-006
        0.12213503978E-002        0.25243610175E-001        0.52632287640E-004        0.25190977888E-001        0.25243767314E-001        0.15713879893E-006
        0.12882614861E-002        0.28036490915E-001        0.58454873481E-004        0.27978036042E-001        0.28036665743E-001        0.17482800765E-006
        0.13569568701E-002        0.31050761597E-001        0.64738916894E-004        0.30986022680E-001        0.31050955567E-001        0.19397025323E-006
        0.14274365497E-002        0.34297164260E-001        0.71506792658E-004        0.34225657467E-001        0.34297378903E-001        0.21464300872E-006
        0.14997005250E-002        0.37786612141E-001        0.78781229954E-004        0.37707830911E-001        0.37786849067E-001        0.23692575951E-006
        0.15737487960E-002        0.41530181980E-001        0.86585296111E-004        0.41443596684E-001        0.41530442880E-001        0.26090000324E-006
        0.16495813627E-002        0.45539106204E-001        0.94942380094E-004        0.45444163824E-001        0.45539392853E-001        0.28664924990E-006
        0.17271982251E-002        0.49824764993E-001        0.10387617573E-003        0.49720888818E-001        0.49825079252E-001        0.31425902176E-006
        0.18065993832E-002        0.54398678238E-001        0.11341066468E-003        0.54285267573E-001        0.54399022055E-001        0.34381685341E-006
        0.18877848370E-002        0.59272497388E-001        0.12357009921E-003        0.59148927288E-001        0.59272872800E-001        0.37541229173E-006
        0.19707545864E-002        0.64457997199E-001        0.13437898472E-003        0.64323618215E-001        0.64458406336E-001        0.40913689594E-006
        0.20555086316E-002        0.69967067390E-001        0.14586206201E-003        0.69821205328E-001        0.69967512475E-001        0.44508423756E-006
        0.21420469724E-002        0.75811704202E-001        0.15804428946E-003        0.75653659912E-001        0.75812187552E-001        0.48334990043E-006
        0.22303696089E-002        0.82004001875E-001        0.17095082489E-003        0.81833051050E-001        0.82004525906E-001        0.52403148071E-006
        0.23204765411E-002        0.88556144051E-001        0.18460700737E-003        0.88371537043E-001        0.88556711279E-001        0.56722858688E-006
        0.24123677690E-002        0.95480395094E-001        0.19903833873E-003        0.95281356756E-001        0.95481008137E-001        0.61304283976E-006
        0.25060432926E-002        0.10278909135E+000        0.21427046501E-003        0.10257482089E+000        0.10278975293E+000        0.66157787248E-006
        0.26015031118E-002        0.11049463234E+000        0.23032915772E-003        0.11026430318E+000        0.11049534528E+000        0.71293933052E-006
        0.26987472268E-002        0.11860947188E+000        0.24724029503E-003        0.11836223159E+000        0.11861023912E+000        0.76723487170E-006
        0.27977756374E-002        0.12714610922E+000        0.26502984269E-003        0.12688107937E+000        0.12714693379E+000        0.82457416618E-006
        0.28985883437E-002        0.13611707999E+000        0.28372383505E-003        0.13583335616E+000        0.13611796506E+000        0.88506889645E-006
        0.30011853457E-002        0.14553494731E+000        0.30334835579E-003        0.14523159895E+000        0.14553589614E+000        0.94883275738E-006
        0.31055666434E-002        0.15541229265E+000        0.32392951869E-003        0.15508836314E+000        0.15541330864E+000        0.10159814562E-005
        0.32117322368E-002        0.16576170687E+000        0.34549344824E-003        0.16541621342E+000        0.16576279350E+000        0.10866327124E-005
        0.33196821259E-002        0.17659578103E+000        0.36806626029E-003        0.17622771477E+000        0.17659694194E+000        0.11609062580E-005
        0.34294163107E-002        0.18792709738E+000        0.39167404253E-003        0.18753542334E+000        0.18792833631E+000        0.12389238373E-005
        0.35409347911E-002        0.19976822019E+000        0.41634283502E-003        0.19935187735E+000        0.19976954100E+000        0.13208092070E-005
        0.36542375672E-002        0.21213168664E+000        0.44209861068E-003        0.21168958803E+000        0.21213309332E+000        0.14066881362E-005
