 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.02389243601227     
 #
 # screening length =   1.20045362567105     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.14606087825E-001        0.61374734773E+004       -0.42755604181E+006
        0.21909131737E-001        0.40589134523E+004       -0.18928627864E+006
        0.29212175650E-001        0.30246444574E+004       -0.10589474460E+006
        0.36515219562E-001        0.24078395024E+004       -0.67347244733E+005
        0.43818263475E-001        0.19993096629E+004       -0.46472647672E+005
        0.51121307387E-001        0.17093021997E+004       -0.33948837843E+005
        0.58424351300E-001        0.14929305534E+004       -0.25874942009E+005
        0.65727395212E-001        0.13252803445E+004       -0.20383665258E+005
        0.73030439125E-001        0.11914474672E+004       -0.16489751420E+005
        0.80333483037E-001        0.10819918601E+004       -0.13633598020E+005
        0.87636526950E-001        0.99066579679E+003       -0.11478575026E+005
        0.94939570862E-001        0.91318131963E+003       -0.98126842665E+004
        0.10224261477E+000        0.84650915244E+003       -0.84973529334E+004
        0.10954565869E+000        0.78845281966E+003       -0.74391731186E+004
        0.11684870260E+000        0.73738597092E+003       -0.65735360730E+004
        0.12415174651E+000        0.69207917138E+003       -0.58547578410E+004
        0.13145479042E+000        0.65158761415E+003       -0.52499126610E+004
        0.13875783434E+000        0.61517204235E+003       -0.47348643399E+004
        0.14606087825E+000        0.58224610480E+003       -0.42916468553E+004
        0.15336392216E+000        0.55233702841E+003       -0.39066961422E+004
        0.16066696607E+000        0.52505925758E+003       -0.35696339609E+004
        0.16797000999E+000        0.50009354760E+003       -0.32724170624E+004
        0.17527305390E+000        0.47717312119E+003       -0.30087336089E+004
        0.18257609781E+000        0.45607191925E+003       -0.27735693078E+004
        0.18987914172E+000        0.43659707018E+003       -0.25628922848E+004
        0.19718218564E+000        0.41858194618E+003       -0.23734217755E+004
        0.20448522955E+000        0.40188195467E+003       -0.22024569850E+004
        0.21178827346E+000        0.38637022799E+003       -0.20477493269E+004
        0.21909131737E+000        0.37193521993E+003       -0.19074064303E+004
        0.22639436129E+000        0.35847789279E+003       -0.17798194131E+004
        0.23369740520E+000        0.34591031953E+003       -0.16636074638E+004
        0.24100044911E+000        0.33415375214E+003       -0.15575752501E+004
        0.24830349302E+000        0.32313779587E+003       -0.14606799923E+004
        0.25560653694E+000        0.31279901496E+003       -0.13720057660E+004
        0.26290958085E+000        0.30308043902E+003       -0.12907433131E+004
        0.27021262476E+000        0.29393050905E+003       -0.12161740053E+004
        0.27751566867E+000        0.28530278111E+003       -0.11476570080E+004
        0.28481871259E+000        0.27715509726E+003       -0.10846188743E+004
        0.29212175650E+000        0.26944940935E+003       -0.10265450363E+004
        0.29942480041E+000        0.26215110569E+003       -0.97297274940E+003
        0.30672784432E+000        0.25522891054E+003       -0.92348518823E+003
        0.31403088824E+000        0.24865432355E+003       -0.87770643505E+003
        0.32133393215E+000        0.24240156880E+003       -0.83529718927E+003
        0.32863697606E+000        0.23644711976E+003       -0.79595104360E+003
        0.33594001997E+000        0.23076968214E+003       -0.75939123005E+003
        0.34324306389E+000        0.22534978604E+003       -0.72536774183E+003
        0.35054610780E+000        0.22016979288E+003       -0.69365477600E+003
        0.35784915171E+000        0.21521354216E+003       -0.66404843858E+003
        0.36515219562E+000        0.21046637603E+003       -0.63636468042E+003
        0.37245523954E+000        0.20591483132E+003       -0.61043742636E+003
        0.37975828345E+000        0.20154667747E+003       -0.58611687936E+003
        0.38706132736E+000        0.19735064664E+003       -0.56326797425E+003
        0.39436437127E+000        0.19331648190E+003       -0.54176897012E+003
        0.40166741519E+000        0.18943469959E+003       -0.52151016351E+003
        0.40897045910E+000        0.18569664541E+003       -0.50239271524E+003
        0.41627350301E+000        0.18209428437E+003       -0.48432757762E+003
        0.42357654692E+000        0.17862026270E+003       -0.46723451694E+003
        0.43087959084E+000        0.17526772149E+003       -0.45104122093E+003
        0.43818263475E+000        0.17203036277E+003       -0.43568248720E+003
        0.44548567866E+000        0.16890228350E+003       -0.42109948400E+003
        0.45278872257E+000        0.16587804443E+003       -0.40723908031E+003
        0.46009176649E+000        0.16295252153E+003       -0.39405323761E+003
        0.46739481040E+000        0.16012097652E+003       -0.38149846084E+003
        0.47469785431E+000        0.15737892320E+003       -0.36953530189E+003
        0.48200089822E+000        0.15472219869E+003       -0.35812791342E+003
        0.48930394214E+000        0.15214684259E+003       -0.34724364712E+003
        0.49660698605E+000        0.14964916806E+003       -0.33685269442E+003
        0.50391002996E+000        0.14722565198E+003       -0.32692776459E+003
        0.51121307387E+000        0.14487300533E+003       -0.31744379826E+003
        0.51851611779E+000        0.14258807264E+003       -0.30837771215E+003
        0.52581916170E+000        0.14036790125E+003       -0.29970817302E+003
        0.53312220561E+000        0.13820964876E+003       -0.29141539742E+003
        0.54042524952E+000        0.13611065066E+003       -0.28348097535E+003
        0.54772829344E+000        0.13406833476E+003       -0.27588771492E+003
        0.55503133735E+000        0.13208028689E+003       -0.26861950637E+003
        0.56233438126E+000        0.13014417134E+003       -0.26166120303E+003
        0.56963742517E+000        0.12825779442E+003       -0.25499851774E+003
        0.57694046909E+000        0.12641903018E+003       -0.24861793270E+003
        0.58424351300E+000        0.12462588165E+003       -0.24250662159E+003
        0.59154655691E+000        0.12287641119E+003       -0.23665238217E+003
