 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.31556844525341     
 #
 # screening length =   1.15966442925803     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.14606087825E-001        0.74623893932E+004       -0.51497632633E+006
        0.21909131737E-001        0.49554081247E+004       -0.22880010457E+006
        0.29212175650E-001        0.37024929427E+004       -0.12865593251E+006
        0.36515219562E-001        0.29509141724E+004       -0.82311162637E+005
        0.43818263475E-001        0.24500966272E+004       -0.57140424992E+005
        0.51121307387E-001        0.20924536745E+004       -0.41965799647E+005
        0.58424351300E-001        0.18243492532E+004       -0.32118553763E+005
        0.65727395212E-001        0.16158736546E+004       -0.25368470245E+005
        0.73030439125E-001        0.14491734395E+004       -0.20541014546E+005
        0.80333483037E-001        0.13128155587E+004       -0.16969871248E+005
        0.87636526950E-001        0.11992389820E+004       -0.14254208352E+005
        0.94939570862E-001        0.11031592678E+004       -0.12141165226E+005
        0.10224261477E+000        0.10208451634E+004       -0.10464836483E+005
        0.10954565869E+000        0.94952375448E+003       -0.91127096212E+004
        0.11684870260E+000        0.88714776503E+003       -0.80062994166E+004
        0.12415174651E+000        0.83212355579E+003       -0.70895064356E+004
        0.13145479042E+000        0.78323678557E+003       -0.63213711033E+004
        0.13875783434E+000        0.73950657855E+003       -0.56714227917E+004
        0.14606087825E+000        0.70016833045E+003       -0.51166146580E+004
        0.15336392216E+000        0.66458510438E+003       -0.46392544184E+004
        0.16066696607E+000        0.63225219594E+003       -0.42255782526E+004
        0.16797000999E+000        0.60273782211E+003       -0.38647487139E+004
        0.17527305390E+000        0.57569584145E+003       -0.35481388008E+004
        0.18257609781E+000        0.55082301379E+003       -0.32688122051E+004
        0.18987914172E+000        0.52787431802E+003       -0.30211408394E+004
        0.19718218564E+000        0.50663039710E+003       -0.28005195435E+004
        0.20448522955E+000        0.48691314049E+003       -0.26031508860E+004
        0.21178827346E+000        0.46855983413E+003       -0.24258809309E+004
        0.21909131737E+000        0.45143804447E+003       -0.22660727257E+004
        0.22639436129E+000        0.43542443746E+003       -0.21215078440E+004
        0.23369740520E+000        0.42041860570E+003       -0.19903091593E+004
        0.24100044911E+000        0.40632529092E+003       -0.18708797191E+004
        0.24830349302E+000        0.39306706644E+003       -0.17618540401E+004
        0.25560653694E+000        0.38056913453E+003       -0.16620589837E+004
        0.26290958085E+000        0.36877089573E+003       -0.15704821497E+004
        0.27021262476E+000        0.35761275385E+003       -0.14862461534E+004
        0.27751566867E+000        0.34704665278E+003       -0.14085875908E+004
        0.28481871259E+000        0.33702448574E+003       -0.13368397206E+004
        0.29212175650E+000        0.32750769602E+003       -0.12704181473E+004
        0.29942480041E+000        0.31845699450E+003       -0.12088089118E+004
        0.30672784432E+000        0.30984112132E+003       -0.11515585491E+004
        0.31403088824E+000        0.30162764824E+003       -0.10982657412E+004
        0.32133393215E+000        0.29379099226E+003       -0.10485742867E+004
        0.32863697606E+000        0.28630413025E+003       -0.10021671488E+004
        0.33594001997E+000        0.27914594690E+003       -0.95876140209E+003
        0.34324306389E+000        0.27229372566E+003       -0.91810392125E+003
        0.35054610780E+000        0.26572990423E+003       -0.87996769491E+003
        0.35784915171E+000        0.25943523293E+003       -0.84414865821E+003
        0.36515219562E+000        0.25339500212E+003       -0.81046296652E+003
        0.37245523954E+000        0.24759277950E+003       -0.77874463807E+003
        0.37975828345E+000        0.24201616584E+003       -0.74884351242E+003
        0.38706132736E+000        0.23665103835E+003       -0.72062347492E+003
        0.39436437127E+000        0.23148688413E+003       -0.69396090998E+003
        0.40166741519E+000        0.22651148882E+003       -0.66874334909E+003
        0.40897045910E+000        0.22171589100E+003       -0.64486828659E+003
        0.41627350301E+000        0.21708946506E+003       -0.62224213950E+003
        0.42357654692E+000        0.21262453441E+003       -0.60077933188E+003
        0.43087959084E+000        0.20831180521E+003       -0.58040148704E+003
        0.43818263475E+000        0.20414467159E+003       -0.56103671303E+003
        0.44548567866E+000        0.20011496329E+003       -0.54261896977E+003
