 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    3.31556844525341     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.44628667169E-007        0.47493614280E+012        0.16098497864E+005        0.47493612670E+012        0.47493614280E+012        0.83377462210E-002
        0.17851466868E-006        0.59369315775E+011        0.22433884277E+004        0.59369313531E+011        0.59369315775E+011        0.83377462228E-002
        0.40165800452E-006        0.17591579084E+011        0.77880410004E+003        0.17591578305E+011        0.17591579084E+011        0.83377462257E-002
        0.71405867471E-006        0.74217260882E+010        0.39594223690E+003        0.74217256923E+010        0.74217260882E+010        0.83377462299E-002
        0.11157166792E-005        0.38000642334E+010        0.24707902813E+003        0.38000639863E+010        0.38000642334E+010        0.83377462352E-002
        0.16066320181E-005        0.21991912677E+010        0.17435846663E+003        0.21991910933E+010        0.21991912677E+010        0.83377462417E-002
        0.21868046913E-005        0.13849630427E+010        0.13314852977E+003        0.13849629095E+010        0.13849630427E+010        0.83377462494E-002
        0.28562346988E-005        0.92784972399E+009        0.10724690974E+003        0.92784961674E+009        0.92784972400E+009        0.83377462582E-002
        0.36149220407E-005        0.65168109613E+009        0.89688386679E+002        0.65168100644E+009        0.65168109614E+009        0.83377462683E-002
        0.44628667169E-005        0.47509170494E+009        0.77087180436E+002        0.47509162786E+009        0.47509170495E+009        0.83377462795E-002
        0.54000687275E-005        0.35695538423E+009        0.67635945141E+002        0.35695531659E+009        0.35695538424E+009        0.83377462919E-002
        0.64265280724E-005        0.27495558659E+009        0.60296067774E+002        0.27495552629E+009        0.27495558660E+009        0.83377463055E-002
        0.75422447516E-005        0.21626700808E+009        0.54434068769E+002        0.21626695364E+009        0.21626700809E+009        0.83377463202E-002
        0.87472187652E-005        0.17316097155E+009        0.49644153386E+002        0.17316092191E+009        0.17316097156E+009        0.83377463362E-002
        0.10041450113E-004        0.14079067300E+009        0.45655498594E+002        0.14079062734E+009        0.14079067300E+009        0.83377463533E-002
        0.11424938795E-004        0.11601149004E+009        0.42280976370E+002        0.11601144776E+009        0.11601149005E+009        0.83377463716E-002
        0.12897684812E-004        0.96722436723E+008        0.39387390390E+002        0.96722397335E+008        0.96722436731E+008        0.83377463911E-002
        0.14459688163E-004        0.81483423664E+008        0.36877467856E+002        0.81483386786E+008        0.81483423672E+008        0.83377464117E-002
        0.16110948848E-004        0.69284888314E+008        0.34678565919E+002        0.69284853636E+008        0.69284888322E+008        0.83377464336E-002
        0.17851466868E-004        0.59404812278E+008        0.32735361822E+002        0.59404779542E+008        0.59404812286E+008        0.83377464566E-002
        0.19681242222E-004        0.51317533185E+008        0.31004988395E+002        0.51317502180E+008        0.51317533193E+008        0.83377464808E-002
        0.21600274910E-004        0.44634164062E+008        0.29453715436E+002        0.44634134609E+008        0.44634164071E+008        0.83377465062E-002
        0.23608564933E-004        0.39062810122E+008        0.28054636061E+002        0.39062782068E+008        0.39062810131E+008        0.83377465328E-002
        0.25706112290E-004        0.34381479346E+008        0.26786020592E+002        0.34381452560E+008        0.34381479355E+008        0.83377465605E-002
        0.27892916981E-004        0.30419306131E+008        0.25630125009E+002        0.30419280501E+008        0.30419306140E+008        0.83377465895E-002
        0.30168979006E-004        0.27043324671E+008        0.24572313678E+002        0.27043300099E+008        0.27043324679E+008        0.83377466196E-002
        0.32534298366E-004        0.24149012804E+008        0.23600404300E+002        0.24148989204E+008        0.24149012812E+008        0.83377466509E-002
        0.34988875061E-004        0.21653438972E+008        0.22704171926E+002        0.21653416268E+008        0.21653438981E+008        0.83377466833E-002
        0.37532709089E-004        0.19490233077E+008        0.21874968998E+002        0.19490211202E+008        0.19490233085E+008        0.83377467170E-002
        0.40165800452E-004        0.17605852807E+008        0.21105430614E+002        0.17605831701E+008        0.17605852815E+008        0.83377467518E-002
        0.42888149150E-004        0.15956781792E+008        0.20389243810E+002        0.15956761402E+008        0.15956781800E+008        0.83377467878E-002
        0.45699755181E-004        0.14507405897E+008        0.19720965061E+002        0.14507386176E+008        0.14507405905E+008        0.83377468250E-002
        0.48600618547E-004        0.13228388463E+008        0.19095874529E+002        0.13228369367E+008        0.13228388471E+008        0.83377468634E-002
        0.51590739248E-004        0.12095416392E+008        0.18509858940E+002        0.12095397882E+008        0.12095416400E+008        0.83377469030E-002
        0.54670117282E-004        0.11088224505E+008        0.17959316468E+002        0.11088206546E+008        0.11088224513E+008        0.83377469437E-002
        0.57838752652E-004        0.10189830584E+008        0.17441079102E+002        0.10189813143E+008        0.10189830593E+008        0.83377469856E-002
        0.61096645355E-004        0.93859312651E+007        0.16952348804E+002        0.93859143128E+007        0.93859312735E+007        0.83377470287E-002
        0.64443795393E-004        0.86644217037E+007        0.16490644680E+002        0.86644052130E+007        0.86644217120E+007        0.83377470729E-002
        0.67880202765E-004        0.80150112108E+007        0.16053758889E+002        0.80149951570E+007        0.80150112191E+007        0.83377471184E-002
        0.71405867471E-004        0.74289138039E+007        0.15639719970E+002        0.74288981642E+007        0.74289138122E+007        0.83377471650E-002
        0.75020789512E-004        0.68985976442E+007        0.15246761656E+002        0.68985823975E+007        0.68985976526E+007        0.83377472128E-002
        0.78724968887E-004        0.64175810467E+007        0.14873296800E+002        0.64175661734E+007        0.64175810551E+007        0.83377472618E-002
        0.82518405596E-004        0.59802655453E+007        0.14517895008E+002        0.59802510275E+007        0.59802655537E+007        0.83377473120E-002
        0.86401099640E-004        0.55817986103E+007        0.14179263658E+002        0.55817844311E+007        0.55817986187E+007        0.83377473633E-002
        0.90373051018E-004        0.52179602208E+007        0.13856231573E+002        0.52179463646E+007        0.52179602292E+007        0.83377474158E-002
