Diffusion Coefficient [cm^2/s]
0.0140000028 3.45995873016814e-05 9.22081437763957e-05 0.000182054348611343
0.0280000028 0.000206211692934214 0.000306809911099858 0.000528401012819636
0.0420000028 0.000335984045364247 0.000447423323671564 0.000631311506515479
0.0560000028 0.000410593944843589 0.000522895610121111 0.000634908791248786
0.0700000028 0.000455969086917044 0.000562184967632983 0.000649453687043918
0.0840000028 0.00048898860633887 0.000585928074140393 0.000683970589932179
0.0980000028 0.000516828431321339 0.000603957836255716 0.000715723067098428
0.1120000028 0.000540880090516853 0.000619962746120145 0.000735730770008404
0.1260000028 0.000560644154234357 0.000634218311100326 0.000746194796640901
0.1400000028 0.000576079429148073 0.000646239591002212 0.000754170840239393
0.1540000028 0.00058884909817434 0.000655977157843136 0.000761029411291508
0.1680000028 0.00060058534152223 0.000664273746357063 0.000769001518478083
0.1820000028 0.000611591145296937 0.000671784576911713 0.000777402036341551
0.1960000028 0.000621748906514687 0.000678793188240256 0.000784799716093886
0.2100000028 0.000631774523642006 0.000685549804020584 0.000790614990659553
0.2240000028 0.000641085488162356 0.000692137245812917 0.000798201450190046
0.2380000028 0.000650303626295247 0.000698671956467587 0.00080596893412256
0.2520000028 0.000657971387378427 0.000704991287097146 0.000810690251856117
0.2660000028 0.000664329271348602 0.000710766985126735 0.000813874703328757
0.2800000028 0.000670391400581771 0.000715979504438608 0.000820175349195263
0.2940000028 0.000677118360106696 0.000720959226697218 0.000829341175727524
0.3080000028 0.000682459208196567 0.000725732922537029 0.000835419703389856
0.3220000028 0.000686483055472477 0.00072999663607326 0.000836660911769833
0.3360000028 0.000689894692914836 0.000733685069309877 0.000836650262225753
0.3500000028 0.000693368992361377 0.000736897897437943 0.000838087789574619
0.3640000028 0.000697220908096282 0.000739855780037351 0.000840499035617411
0.3780000028 0.000700537784908574 0.000742615652058222 0.000841866603530496
0.3920000028 0.000703260416209858 0.000745111480117646 0.000841404511897202
0.4060000028 0.000706264515575672 0.000747377250437074 0.000840834847365315
0.4200000028 0.000709589209893949 0.000749560501289005 0.000839032121707771
0.4340000028 0.000712982989057951 0.000751725977136124 0.00083757787587847
0.4480000028 0.000716290090241457 0.000753881860729508 0.00083859549858963
0.4620000028 0.000719398238683312 0.000756036492181479 0.000841646193843392
0.4760000028 0.000722247401841952 0.000758137883754704 0.000847267502001024
0.4900000028 0.000725232137108245 0.000760203715916342 0.000853064359189524
