# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":1.5674976778091236, "A":28,  "μ[AU]": 5.436e-02, "T[AU]": 1.838e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.457509e+03    9.716148e-01    1.459805e+03    6.101790e-63   -4.204930e+01    6.075174e+02   -8.514134e+00
   2.321925e-02    1.148453e+03    8.974027e-01    1.150137e+03   -3.398499e-62   -4.178725e+01    5.176597e+02   -7.872325e+00
   2.695668e-02    9.030279e+02    8.282751e-01    9.042348e+02    2.443507e-61   -4.139830e+01    4.404236e+02   -7.274325e+00
   3.129569e-02    7.083614e+02    7.638627e-01    7.091985e+02   -3.531313e-61   -4.089094e+01    3.740684e+02   -6.716950e+00
   3.633312e-02    5.541666e+02    7.038246e-01    5.547191e+02   -1.386593e-59   -4.027228e+01    3.170946e+02   -6.197263e+00
   4.218140e-02    4.322240e+02    6.478464e-01    4.325592e+02   -1.898142e-58   -3.954836e+01    2.682111e+02   -5.712550e+00
   4.897102e-02    3.359667e+02    5.956386e-01    3.361379e+02   -2.001484e-57   -3.872440e+01    2.263054e+02   -5.260316e+00
   5.685351e-02    2.601487e+02    5.469350e-01    2.601977e+02    1.218397e-55   -3.780512e+01    1.904194e+02   -4.838265e+00
   6.600480e-02    2.005797e+02    5.014915e-01    2.005393e+02   -6.694823e-54   -3.679492e+01    1.597271e+02   -4.444293e+00
   7.662909e-02    1.539129e+02    4.590849e-01    1.538088e+02    4.637943e-48   -3.569817e+01    1.335169e+02   -4.076472e+00
   8.896351e-02    1.174761e+02    4.195114e-01    1.173285e+02    4.514405e-41   -3.451942e+01    1.111746e+02   -3.733046e+00
   1.032833e-01    8.913658e+01    3.825857e-01    8.896087e+01    5.033252e-35   -3.326359e+01    9.217048e+01   -3.412416e+00
   1.199080e-01    6.719221e+01    3.481398e-01    6.700037e+01    6.875601e-30   -3.193623e+01    7.604687e+01   -3.113133e+00
   1.392087e-01    5.028566e+01    3.160218e-01    5.008677e+01    1.777510e-25   -3.054360e+01    6.240802e+01   -2.833887e+00
   1.616161e-01    3.733520e+01    2.860948e-01    3.713609e+01    1.031822e-21   -2.909292e+01    5.091128e+01   -2.573497e+00
   1.876302e-01    2.747966e+01    2.582357e-01    2.728534e+01    1.671970e-18   -2.759237e+01    4.125950e+01   -2.330901e+00
   2.178317e-01    2.003438e+01    2.323336e-01    1.984846e+01    8.903596e-16   -2.605124e+01    3.319453e+01   -2.105147e+00
   2.528944e-01    1.445608e+01    2.082889e-01    1.428105e+01    1.805664e-13   -2.447986e+01    2.649166e+01   -1.895377e+00
   2.936009e-01    1.031487e+01    1.860112e-01    1.015233e+01    1.581136e-11   -2.288954e+01    2.095492e+01   -1.700815e+00
   3.408596e-01    7.271657e+00    1.654182e-01    7.122522e+00    6.664216e-10   -2.129243e+01    1.641310e+01   -1.520757e+00
   3.957253e-01    5.060248e+00    1.464333e-01    4.924892e+00    1.485876e-08   -1.970131e+01    1.271643e+01   -1.354552e+00
   4.594222e-01    3.472845e+00    1.289842e-01    3.351231e+00    1.903604e-07   -1.812926e+01    9.733820e+00   -1.201585e+00
   5.333719e-01    2.348408e+00    1.130004e-01    2.240186e+00    1.507494e-06   -1.658934e+01    7.350565e+00   -1.061262e+00
   6.192248e-01    1.563213e+00    9.841123e-02    1.467809e+00    7.877183e-06   -1.509418e+01    5.466481e+00   -9.329910e-01
   7.188968e-01    1.023201e+00    8.514283e-02    9.398834e-01    2.881159e-05   -1.365559e+01    3.994342e+00   -8.161580e-01
   8.346122e-01    6.577755e-01    7.311708e-02    5.857185e-01    7.785822e-05   -1.228419e+01    2.858575e+00   -7.102816e-01
