 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    3.00051384205849     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.89214784356E-006        0.13899888105E-007        0.42160672396E-010        0.13857727432E-007        0.13899934778E-007        0.46673389208E-013
        0.35685913743E-005        0.22239820968E-006        0.67457075842E-009        0.22172363892E-006        0.22239895645E-006        0.74677422733E-012
        0.80293305921E-005        0.11263104976E-005        0.34162866692E-008        0.11228942109E-005        0.11263142799E-005        0.37823440528E-011
        0.14274365497E-004        0.35598751468E-005        0.10797690220E-007        0.35490774566E-005        0.35598871034E-005        0.11956560009E-010
        0.22303696089E-004        0.86902078638E-005        0.26358831833E-007        0.86638490320E-005        0.86902370577E-005        0.29193852349E-010
        0.32117322368E-004        0.18016492282E-004        0.54646972539E-007        0.17961845309E-004        0.18016552821E-004        0.60539913781E-010
        0.43715244335E-004        0.33368937146E-004        0.10121341690E-006        0.33267723729E-004        0.33369049307E-004        0.11216170120E-009
        0.57097461988E-004        0.56907502642E-004        0.17260964446E-006        0.56734892998E-004        0.56907693990E-004        0.19134743611E-009
        0.72263975329E-004        0.91120397002E-004        0.27638274302E-006        0.90844014259E-004        0.91120703509E-004        0.30650660477E-009
        0.89214784356E-004        0.13882234443E-003        0.42107014668E-006        0.13840127428E-003        0.13882281160E-003        0.46716995826E-009
        0.10794988907E-003        0.20315262549E-003        0.61619368181E-006        0.20253643180E-003        0.20315330948E-003        0.68398951251E-009
        0.12846928947E-003        0.28757289126E-003        0.87225292462E-006        0.28670063833E-003        0.28757386000E-003        0.96873854835E-009
        0.15077298556E-003        0.39586475268E-003        0.12007178744E-005        0.39466403480E-003        0.39586608699E-003        0.13343116115E-008
        0.17486097734E-003        0.53212714661E-003        0.16140209467E-005        0.53051312566E-003        0.53212894133E-003        0.17947245129E-008
        0.20073326480E-003        0.70077348043E-003        0.21255482914E-005        0.69864793214E-003        0.70077584554E-003        0.23651143282E-008
        0.22838984795E-003        0.90652855692E-003        0.27496304410E-005        0.90377892648E-003        0.90653161866E-003        0.30617393984E-008
        0.25783072679E-003        0.11544252815E-002        0.35015322943E-005        0.11509237493E-002        0.11544291835E-002        0.39019793299E-008
        0.28905590131E-003        0.14498011542E-002        0.43974424425E-005        0.14454037118E-002        0.14498060585E-002        0.49043349942E-008
        0.32206537153E-003        0.17982945477E-002        0.54544618428E-005        0.17928400859E-002        0.17983006361E-002        0.60884285286E-008
        0.35685913743E-003        0.22058407756E-002        0.66905918479E-005        0.21991501838E-002        0.22058482506E-002        0.74750033359E-008
        0.39343719901E-003        0.26786679517E-002        0.81247215969E-005        0.26705432301E-002        0.26786770377E-002        0.90859240852E-008
        0.43179955628E-003        0.32232926440E-002        0.97766147770E-005        0.32135160293E-002        0.32233035882E-002        0.10944176711E-007
        0.47194620925E-003        0.38465153261E-002        0.11666895762E-004        0.38348484303E-002        0.38465283999E-002        0.13073868416E-007
        0.51387715789E-003        0.45554156285E-002        0.13817035140E-004        0.45415985933E-002        0.45554311287E-002        0.15500227668E-007
        0.55759240223E-003        0.53573473939E-002        0.16249334631E-004        0.53410980592E-002        0.53573656435E-002        0.18249604203E-007
        0.60309194225E-003        0.62599335385E-002        0.18986911412E-004        0.62409466270E-002        0.62599548879E-002        0.21349469025E-007
        0.65037577796E-003        0.72710607234E-002        0.22053681860E-004        0.72490070416E-002        0.72710855519E-002        0.24828414404E-007
        0.69944390935E-003        0.83988738398E-002        0.25474344706E-004        0.83733994951E-002        0.83989025559E-002        0.28716153882E-007
        0.75029633644E-003        0.96517703101E-002        0.29274363639E-004        0.96224959465E-002        0.96518033537E-002        0.33043522269E-007
        0.80293305921E-003        0.11038394211E-001        0.33479949338E-004        0.11004914262E-001        0.11038432054E-001        0.37842475645E-007
        0.85735407766E-003        0.12567630221E-001        0.38118040972E-004        0.12529512180E-001        0.12567673367E-001        0.43146091361E-007
        0.91355939181E-003        0.14248597394E-001        0.43216287158E-004        0.14205381106E-001        0.14248646382E-001        0.48988568040E-007
        0.97154900164E-003        0.16090642768E-001        0.48803026401E-004        0.16041839742E-001        0.16090698174E-001        0.55405225578E-007
        0.10313229072E-002        0.18103334813E-001        0.54907267024E-004        0.18048427546E-001        0.18103397246E-001        0.62432505146E-007
