 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88446135661227     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.44628667169E-007        0.47493614292E+012        0.16150332275E+005        0.47493612677E+012        0.47493614292E+012        0.35304651382E-002
        0.17851466868E-006        0.59369315836E+011        0.22693084259E+004        0.59369313566E+011        0.59369315836E+011        0.35304651415E-002
        0.40165800452E-006        0.17591579125E+011        0.79608591080E+003        0.17591578329E+011        0.17591579125E+011        0.35304651469E-002
        0.71405867471E-006        0.74217261187E+010        0.40890506840E+003        0.74217257098E+010        0.74217261187E+010        0.35304651546E-002
        0.11157166792E-005        0.38000642577E+010        0.25745037985E+003        0.38000640003E+010        0.38000642577E+010        0.35304651644E-002
        0.16066320181E-005        0.21991912880E+010        0.18300216484E+003        0.21991911050E+010        0.21991912880E+010        0.35304651764E-002
        0.21868046913E-005        0.13849630601E+010        0.14055818772E+003        0.13849629195E+010        0.13849630601E+010        0.35304651906E-002
        0.28562346988E-005        0.92784973924E+009        0.11373103750E+003        0.92784962551E+009        0.92784973924E+009        0.35304652070E-002
        0.36149220407E-005        0.65168110969E+009        0.95452655315E+002        0.65168101423E+009        0.65168110969E+009        0.35304652256E-002
        0.44628667169E-005        0.47509171714E+009        0.82275561094E+002        0.47509163487E+009        0.47509171715E+009        0.35304652464E-002
        0.54000687275E-005        0.35695539532E+009        0.72353143394E+002        0.35695532297E+009        0.35695539532E+009        0.35304652693E-002
        0.64265280724E-005        0.27495559676E+009        0.64620613158E+002        0.27495553213E+009        0.27495559676E+009        0.35304652944E-002
        0.75422447516E-005        0.21626701746E+009        0.58426368684E+002        0.21626695904E+009        0.21626701747E+009        0.35304653218E-002
        0.87472187652E-005        0.17316098027E+009        0.53351670593E+002        0.17316092691E+009        0.17316098027E+009        0.35304653513E-002
        0.10041450113E-004        0.14079068113E+009        0.49116203308E+002        0.14079063201E+009        0.14079068113E+009        0.35304653829E-002
        0.11424938795E-004        0.11601149767E+009        0.45525719777E+002        0.11601145214E+009        0.11601149767E+009        0.35304654168E-002
        0.12897684812E-004        0.96722443901E+008        0.42441578895E+002        0.96722401460E+008        0.96722443905E+008        0.35304654528E-002
        0.14459688163E-004        0.81483430444E+008        0.39762273565E+002        0.81483390682E+008        0.81483430448E+008        0.35304654911E-002
        0.16110948848E-004        0.69284894738E+008        0.37411818057E+002        0.69284857326E+008        0.69284894742E+008        0.35304655315E-002
        0.17851466868E-004        0.59404818381E+008        0.35332215317E+002        0.59404783049E+008        0.59404818384E+008        0.35304655741E-002
        0.19681242222E-004        0.51317538997E+008        0.33478432968E+002        0.51317505519E+008        0.51317539001E+008        0.35304656188E-002
        0.21600274910E-004        0.44634169611E+008        0.31814969607E+002        0.44634137796E+008        0.44634169615E+008        0.35304656658E-002
        0.23608564933E-004        0.39062815431E+008        0.30313455001E+002        0.39062785117E+008        0.39062815434E+008        0.35304657149E-002
        0.25706112290E-004        0.34381484434E+008        0.28950940184E+002        0.34381455483E+008        0.34381484437E+008        0.35304657662E-002
        0.27892916981E-004        0.30419311015E+008        0.27708656751E+002        0.30419283307E+008        0.30419311019E+008        0.35304658197E-002
        0.30168979006E-004        0.27043329367E+008        0.26571102366E+002        0.27043302796E+008        0.27043329371E+008        0.35304658754E-002
        0.32534298366E-004        0.24149017327E+008        0.25525356416E+002        0.24148991802E+008        0.24149017330E+008        0.35304659332E-002
        0.34988875061E-004        0.21653443334E+008        0.24560561132E+002        0.21653418773E+008        0.21653443337E+008        0.35304659932E-002
        0.37532709089E-004        0.19490237288E+008        0.23667523365E+002        0.19490213620E+008        0.19490237291E+008        0.35304660554E-002
        0.40165800452E-004        0.17605856878E+008        0.22838405471E+002        0.17605834040E+008        0.17605856882E+008        0.35304661198E-002
        0.42888149150E-004        0.15956785732E+008        0.22066482643E+002        0.15956763665E+008        0.15956785735E+008        0.35304661863E-002
        0.45699755181E-004        0.14507409714E+008        0.21345951032E+002        0.14507388368E+008        0.14507409717E+008        0.35304662550E-002
        0.48600618547E-004        0.13228392165E+008        0.20671774168E+002        0.13228371493E+008        0.13228392168E+008        0.35304663259E-002
        0.51590739248E-004        0.12095419985E+008        0.20039559213E+002        0.12095399945E+008        0.12095419989E+008        0.35304663989E-002
        0.54670117282E-004        0.11088227996E+008        0.19445457160E+002        0.11088208550E+008        0.11088227999E+008        0.35304664741E-002
        0.57838752652E-004        0.10189833978E+008        0.18886079893E+002        0.10189815092E+008        0.10189833982E+008        0.35304665515E-002
        0.61096645355E-004        0.93859345675E+007        0.18358433187E+002        0.93859162090E+007        0.93859345710E+007        0.35304666311E-002
        0.64443795393E-004        0.86644249193E+007        0.17859860580E+002        0.86644070594E+007        0.86644249228E+007        0.35304667128E-002
        0.67880202765E-004        0.80150143442E+007        0.17387996751E+002        0.80149969562E+007        0.80150143477E+007        0.35304667967E-002
        0.71405867471E-004        0.74289168591E+007        0.16940728405E+002        0.74288999183E+007        0.74289168626E+007        0.35304668827E-002
        0.75020789512E-004        0.68986006251E+007        0.16516161361E+002        0.68985841089E+007        0.68986006286E+007        0.35304669709E-002
        0.78724968887E-004        0.64175839568E+007        0.16112592690E+002        0.64175678442E+007        0.64175839603E+007        0.35304670613E-002
        0.82518405596E-004        0.59802683879E+007        0.15728487017E+002        0.59802526594E+007        0.59802683914E+007        0.35304671538E-002
        0.86401099640E-004        0.55818013884E+007        0.15362456262E+002        0.55817860260E+007        0.55818013920E+007        0.35304672485E-002
        0.90373051018E-004        0.52179629374E+007        0.15013242290E+002        0.52179479241E+007        0.52179629409E+007        0.35304673454E-002
