 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.00051384205849     
 #
 # screening length =  0.954331389432114     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.14606087825E-001        0.17818323827E+004       -0.12590738818E+006
        0.21909131737E-001        0.11708612477E+004       -0.55468699003E+005
        0.29212175650E-001        0.86871129832E+003       -0.30813849970E+005
        0.36515219562E-001        0.68994542883E+003       -0.19433222557E+005
        0.43818263475E-001        0.57258654566E+003       -0.13292325953E+005
        0.51121307387E-001        0.49000099342E+003       -0.96302200857E+004
        0.58424351300E-001        0.42886279730E+003       -0.72891654602E+004
        0.65727395212E-001        0.38177811349E+003       -0.57135611645E+004
        0.73030439125E-001        0.34433836199E+003       -0.46094935736E+004
        0.80333483037E-001        0.31376482416E+003       -0.38097775694E+004
        0.87636526950E-001        0.28823398873E+003       -0.32137859744E+004
        0.94939570862E-001        0.26650699699E+003       -0.27582033708E+004
        0.10224261477E+000        0.24772118357E+003       -0.24017987478E+004
        0.10954565869E+000        0.23126006399E+003       -0.21169624120E+004
        0.11684870260E+000        0.21667553839E+003       -0.18847664138E+004
        0.12415174651E+000        0.20363453037E+003       -0.16919877517E+004
        0.13145479042E+000        0.19188617812E+003       -0.15292475166E+004
        0.13875783434E+000        0.18123713415E+003       -0.13898018349E+004
        0.14606087825E+000        0.17153668444E+003       -0.12687382364E+004
        0.15336392216E+000        0.16266442265E+003       -0.11624352337E+004
        0.16066696607E+000        0.15452324004E+003       -0.10681932694E+004
        0.16797000999E+000        0.14703272227E+003       -0.98397684717E+003
        0.17527305390E+000        0.14012581348E+003       -0.90823116298E+003
        0.18257609781E+000        0.13374509360E+003       -0.83975117178E+003
        0.18987914172E+000        0.12784125872E+003       -0.77758835437E+003
        0.19718218564E+000        0.12237089773E+003       -0.72098393114E+003
        0.20448522955E+000        0.11729586241E+003       -0.66932036936E+003
        0.21178827346E+000        0.11258185189E+003       -0.62208581122E+003
        0.21909131737E+000        0.10819822971E+003       -0.57884806038E+003
        0.22639436129E+000        0.10411706439E+003       -0.53923570833E+003
        0.23369740520E+000        0.10031316164E+003       -0.50292450561E+003
        0.24100044911E+000        0.96763364101E+002       -0.46962744909E+003
        0.24830349302E+000        0.93446677898E+002       -0.43908749881E+003
        0.25560653694E+000        0.90343727192E+002       -0.41107218348E+003
        0.26290958085E+000        0.87436917456E+002       -0.38536962066E+003
        0.27021262476E+000        0.84709987994E+002       -0.36178559072E+003
        0.27751566867E+000        0.82148182533E+002       -0.34014138257E+003
        0.28481871259E+000        0.79737866522E+002       -0.32027217018E+003
        0.29212175650E+000        0.77466691373E+002       -0.30202574966E+003
        0.29942480041E+000        0.75323258344E+002       -0.28526151812E+003
        0.30672784432E+000        0.73297272033E+002       -0.26984962792E+003
        0.31403088824E+000        0.71379240625E+002       -0.25567026766E+003
        0.32133393215E+000        0.69560617821E+002       -0.24261303700E+003
        0.32863697606E+000        0.67833532892E+002       -0.23057638274E+003
        0.33594001997E+000        0.66190921729E+002       -0.21946707509E+003
        0.34324306389E+000        0.64626282477E+002       -0.20919970673E+003
        0.35054610780E+000        0.63133797248E+002       -0.19969620931E+003
        0.35784915171E+000        0.61708110472E+002       -0.19088538336E+003
        0.36515219562E+000        0.60344442876E+002       -0.18270244335E+003
        0.37245523954E+000        0.59038390239E+002       -0.17508857668E+003
        0.37975828345E+000        0.57786030938E+002       -0.16799051798E+003
        0.38706132736E+000        0.56583743067E+002       -0.16136013746E+003
        0.39436437127E+000        0.55428306610E+002       -0.15515404416E+003
        0.40166741519E+000        0.54316737121E+002       -0.14933320447E+003
        0.40897045910E+000        0.53246383334E+002       -0.14386257756E+003
        0.41627350301E+000        0.52214775781E+002       -0.13871076844E+003
        0.42357654692E+000        0.51219720401E+002       -0.13384970039E+003
        0.43087959084E+000        0.50259160551E+002       -0.12925430645E+003
        0.43818263475E+000        0.49331266984E+002       -0.12490224081E+003
        0.44548567866E+000        0.48434311813E+002       -0.12077360936E+003
        0.45278872257E+000        0.47566755097E+002       -0.11685071941E+003
        0.46009176649E+000        0.46727129442E+002       -0.11311784788E+003
        0.46739481040E+000        0.45914123343E+002       -0.10956102778E+003
        0.47469785431E+000        0.45126475229E+002       -0.10616785220E+003
        0.48200089822E+000        0.44363053654E+002       -0.10292729543E+003
        0.48930394214E+000        0.43622759694E+002       -0.99829550170E+002
        0.49660698605E+000        0.42904604054E+002       -0.96865880273E+002
        0.50391002996E+000        0.42207616839E+002       -0.94028487803E+002
        0.51121307387E+000        0.41530921616E+002       -0.91310393675E+002
        0.51851611779E+000        0.40873651705E+002       -0.88705330764E+002
        0.52581916170E+000        0.40235021237E+002       -0.86207648766E+002
        0.53312220561E+000        0.39614247210E+002       -0.83812229707E+002
        0.54042524952E+000        0.39010617594E+002       -0.81514413437E+002
        0.54772829344E+000        0.38423418495E+002       -0.79309932132E+002
        0.55503133735E+000        0.37851999361E+002       -0.77194853126E+002
        0.56233438126E+000        0.37295704684E+002       -0.75165529191E+002
        0.56963742517E+000        0.36753936386E+002       -0.73218555588E+002
        0.57694046909E+000        0.36226089550E+002       -0.71350733162E+002
        0.58424351300E+000        0.35711612078E+002       -0.69559036892E+002
        0.59154655691E+000        0.35209944031E+002       -0.67840589236E+002
        0.59884960082E+000        0.34720574638E+002       -0.66192637731E+002
        0.60615264474E+000        0.34242984896E+002       -0.64612536368E+002
        0.61345568865E+000        0.33776702030E+002       -0.63097730293E+002
        0.62075873256E+000        0.33321245027E+002       -0.61645743370E+002
        0.62806177647E+000        0.32876176669E+002       -0.60254168231E+002
        0.63536482039E+000        0.32441051733E+002       -0.58920658485E+002
        0.64266786430E+000        0.32015466703E+002       -0.57642922763E+002
        0.64997090821E+000        0.31599010405E+002       -0.56418720277E+002
