 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    2.88757004311296     
 #
 # screening length =  0.930700178562382     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.14606087825E-001        0.56375523315E+003       -0.39037378400E+005
        0.21909131737E-001        0.37373289859E+003       -0.17337704797E+005
        0.29212175650E-001        0.27881703666E+003       -0.97463115564E+004
        0.36515219562E-001        0.22188216777E+003       -0.62327305142E+004
        0.43818263475E-001        0.18397557263E+003       -0.43255228558E+004
        0.51121307387E-001        0.15689831197E+003       -0.31758019041E+004
        0.58424351300E-001        0.13661847113E+003       -0.24293210540E+004
        0.65727395212E-001        0.12085134586E+003       -0.19183054678E+004
        0.73030439125E-001        0.10824800175E+003       -0.15527750438E+004
        0.80333483037E-001        0.97941675418E+002       -0.12821805355E+004
        0.87636526950E-001        0.89363275981E+002       -0.10765302639E+004
        0.94939570862E-001        0.82107556506E+002       -0.91673243184E+003
        0.10224261477E+000        0.75893289816E+002       -0.78989923024E+003
        0.10954565869E+000        0.70510805920E+002       -0.68745390211E+003
        0.11684870260E+000        0.65807030514E+002       -0.60373444857E+003
        0.12415174651E+000        0.61657939751E+002       -0.53446703650E+003
        0.13145479042E+000        0.57973240870E+002       -0.47640417904E+003
        0.13875783434E+000        0.54677907078E+002       -0.42721777998E+003
        0.14606087825E+000        0.51715726097E+002       -0.38524342090E+003
        0.15336392216E+000        0.49036842947E+002       -0.34917233191E+003
        0.16066696607E+000        0.46603969598E+002       -0.31793582524E+003
        0.16797000999E+000        0.44383394443E+002       -0.29069032583E+003
        0.17527305390E+000        0.42349983591E+002       -0.26676582176E+003
        0.18257609781E+000        0.40480172754E+002       -0.24564714648E+003
        0.18987914172E+000        0.38756206031E+002       -0.22693708543E+003
        0.19718218564E+000        0.37160573811E+002       -0.21029660983E+003
        0.20448522955E+000        0.35680321933E+002       -0.19541698926E+003
        0.21178827346E+000        0.34302633136E+002       -0.18204011750E+003
        0.21909131737E+000        0.33018211867E+002       -0.16997196754E+003
        0.22639436129E+000        0.31817226455E+002       -0.15905900387E+003
        0.23369740520E+000        0.30692521430E+002       -0.14916496948E+003
        0.24100044911E+000        0.29636367586E+002       -0.14016604432E+003
        0.24830349302E+000        0.28643331225E+002       -0.13195356989E+003
        0.25560653694E+000        0.27707363662E+002       -0.12443463785E+003
        0.26290958085E+000        0.26824315980E+002       -0.11753185927E+003
        0.27021262476E+000        0.25989347470E+002       -0.11118162061E+003
        0.27751566867E+000        0.25199176714E+002       -0.10532971629E+003
        0.28481871259E+000        0.24449818373E+002       -0.99927513064E+002
        0.29212175650E+000        0.23738647516E+002       -0.94930275353E+002
        0.29942480041E+000        0.23062385707E+002       -0.90296772304E+002
        0.30672784432E+000        0.22418963953E+002       -0.85990070244E+002
        0.31403088824E+000        0.21805689399E+002       -0.81979037035E+002
        0.32133393215E+000        0.21220908299E+002       -0.78238481358E+002
        0.32863697606E+000        0.20662335623E+002       -0.74746899608E+002
        0.33594001997E+000        0.20128596659E+002       -0.71483958641E+002
        0.34324306389E+000        0.19617737263E+002       -0.68429774699E+002
        0.35054610780E+000        0.19128642287E+002       -0.65565748284E+002
        0.35784915171E+000        0.18659659188E+002       -0.62875464699E+002
        0.36515219562E+000        0.18209885695E+002       -0.60344897052E+002
        0.37245523954E+000        0.17777900555E+002       -0.57961983974E+002
        0.37975828345E+000        0.17362953781E+002       -0.55716028067E+002
        0.38706132736E+000        0.16963803575E+002       -0.53597242236E+002
        0.39436437127E+000        0.16579821561E+002       -0.51596511518E+002
        0.40166741519E+000        0.16209919654E+002       -0.49705243050E+002
        0.40897045910E+000        0.15853575904E+002       -0.47915316829E+002
        0.41627350301E+000        0.15509839202E+002       -0.46219196725E+002
        0.42357654692E+000        0.15178280606E+002       -0.44610133440E+002
        0.43087959084E+000        0.14858064122E+002       -0.43082249450E+002
        0.43818263475E+000        0.14548831323E+002       -0.41630423876E+002
        0.44548567866E+000        0.14249835872E+002       -0.40250046581E+002
        0.45278872257E+000        0.13960772782E+002       -0.38936781119E+002
        0.46009176649E+000        0.13680972428E+002       -0.37686421073E+002
        0.46739481040E+000        0.13410178645E+002       -0.36494880912E+002
        0.47469785431E+000        0.13147793606E+002       -0.35358288487E+002
