 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    3.00045714612893     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.89214784356E-006        0.13903980796E-007        0.46332043658E-010        0.13857648752E-007        0.13904018156E-007        0.37360351060E-013
        0.35685913743E-005        0.22246369274E-006        0.74131269862E-009        0.22172238004E-006        0.22246429051E-006        0.59776561696E-012
        0.80293305921E-005        0.11266421292E-005        0.37542937295E-008        0.11228878355E-005        0.11266451568E-005        0.30276288930E-011
        0.14274365497E-004        0.35609233192E-005        0.11866013169E-007        0.35490573060E-005        0.35609328900E-005        0.95707915638E-011
        0.22303696089E-004        0.86927666165E-005        0.28966775168E-007        0.86637998414E-005        0.86927899851E-005        0.23368617361E-010
        0.32117322368E-004        0.18021797077E-004        0.60053749608E-007        0.17961743327E-004        0.18021845537E-004        0.48459999845E-010
        0.43715244335E-004        0.33378762338E-004        0.11122749267E-006        0.33267534845E-004        0.33378852119E-004        0.89781363790E-010
        0.57097461988E-004        0.56924258571E-004        0.18968769678E-006        0.56734570875E-004        0.56924411738E-004        0.15316666553E-009
        0.72263975329E-004        0.91147226649E-004        0.30372817340E-006        0.90843498475E-004        0.91147471996E-004        0.24534739308E-009
        0.89214784356E-004        0.13886321955E-003        0.46273107207E-006        0.13840048848E-003        0.13886359351E-003        0.37395256616E-009
        0.10794988907E-003        0.20321244221E-003        0.67716033901E-006        0.20253528187E-003        0.20321298971E-003        0.54750873629E-009
        0.12846928947E-003        0.28765756496E-003        0.95855441941E-006        0.28669901054E-003        0.28765834040E-003        0.77543998676E-009
        0.15077298556E-003        0.39598131224E-003        0.13195182077E-005        0.39466179403E-003        0.39598238031E-003        0.10680679327E-008
        0.17486097734E-003        0.53228382784E-003        0.17737142505E-005        0.53051011359E-003        0.53228526445E-003        0.14366117213E-008
        0.20073326480E-003        0.70097981866E-003        0.23358532083E-005        0.69864396546E-003        0.70098171185E-003        0.18931880315E-008
        0.22838984795E-003        0.90679547873E-003        0.30216835800E-005        0.90377379515E-003        0.90679792954E-003        0.24508110745E-008
        0.25783072679E-003        0.11547651954E-002        0.38479806984E-005        0.11509172147E-002        0.11547683188E-002        0.31233925937E-008
        0.28905590131E-003        0.14502280403E-002        0.48325350020E-005        0.14453955053E-002        0.14502319661E-002        0.39257418646E-008
        0.32206537153E-003        0.17988240464E-002        0.59941395903E-005        0.17928299069E-002        0.17988289200E-002        0.48735656955E-008
        0.35685913743E-003        0.22064902750E-002        0.73525770706E-005        0.21991376980E-002        0.22064962585E-002        0.59834684273E-008
        0.39343719901E-003        0.26794566737E-002        0.89286057038E-005        0.26705280680E-002        0.26794639467E-002        0.72729519338E-008
        0.43179955628E-003        0.32242417294E-002        0.10743944857E-004        0.32134977845E-002        0.32242504898E-002        0.87604156220E-008
        0.47194620925E-003        0.38476479179E-002        0.12821259775E-004        0.38348266581E-002        0.38476583830E-002        0.10465156433E-007
        0.51387715789E-003        0.45567569544E-002        0.15184145671E-004        0.45415728088E-002        0.45567693618E-002        0.12407368840E-007
        0.55759240223E-003        0.53589248470E-002        0.17857111159E-004        0.53410677358E-002        0.53589394551E-002        0.14608144853E-007
        0.60309194225E-003        0.62617767563E-002        0.20865561030E-004        0.62409111952E-002        0.62617938457E-002        0.17089474016E-007
        0.65037577796E-003        0.72732016655E-002        0.24235778376E-004        0.72489658871E-002        0.72732215398E-002        0.19874243407E-007
        0.69944390935E-003        0.84013468639E-002        0.27994906089E-004        0.83733519578E-002        0.84013698501E-002        0.22986237641E-007
