Viscosity [g/cm/s]
0.0280000028 0.595335377214428
0.0560000028 0.722088642296774
0.0840000028 0.785632670978202
0.1120000028 1.75341886357697
0.1400000028 1.89230529912309
0.1680000028 1.62950347063237
0.1960000028 1.51043872861161
0.2240000028 1.4154586252618
0.2520000028 1.26358969208488
0.2800000028 1.11337185251736
0.3080000028 1.14322427327339
0.3360000028 1.28193367380361
0.3640000028 1.40639250092868
0.3920000028 1.39183134732687
0.4200000028 1.40279783790957
0.4480000028 1.31397626050284
0.4760000028 1.24790170116196
0.5040000028 1.27555575729421
0.5320000028 1.23184696232964
0.5600000028 1.19132717911241
0.5880000028 1.14311506063036
0.6160000028 1.11035746437384
0.6440000028 1.15100110927986
0.6720000028 1.1107956570394
0.7000000028 1.08539019560368
0.7280000028 1.14315570659374
0.7560000028 1.10555156736927
0.7840000028 1.12310425626666
0.8120000028 1.11542430741011
0.8400000028 1.07936300292067
0.8680000028 1.05020868472747
0.8960000028 1.02458422168722
0.9240000028 1.01031104223588
0.9520000028 0.997812261585632
0.9800000028 0.988009862255264
1.0080000028 0.962348949279028
1.0360000028 0.954788059955461
1.0640000028 0.954249521077398
1.0920000028 0.931607756189873
1.1200000028 0.975574151157547
1.1480000028 0.976146468930007
1.1760000028 0.964953266637643
1.2040000028 0.955205574000327
1.2320000028 0.941693425408797
1.2600000028 0.925259776490462
1.2880000028 0.902488593577537
1.3160000028 0.903232634194293
1.3440000028 0.89638229386271
1.3720000028 0.913370353310453
1.4000000028 0.958512666713007
1.4280000028 0.99652037293439
1.4560000028 0.9962928472063
1.4840000028 0.983812298331227
1.5120000028 0.983057087888782
1.5400000028 0.967865631011262
1.5680000028 0.96100796793415
1.5960000028 0.95945541894
1.6240000028 0.94721749145886
1.6520000028 0.948549760868996
1.6800000028 0.933391896612165
1.7080000028 0.933046666048323
1.7360000028 0.924302654157675
1.7640000028 0.916247056228334
1.7920000028 0.903574682168173
1.8200000028 0.923065454087768
1.8480000028 0.914525482295392
1.8760000028 0.906551421417258
1.9040000028 0.940693680481435
1.9320000028 0.932132859342812
1.9600000028 0.938412418438822
1.9880000028 0.932233103034231
2.0160000028 0.943895278014967
2.0440000028 0.961302204615349
2.0720000028 0.953728923312929
2.1000000028 0.969860643411834
2.1280000028 0.999961215056766
2.1560000028 0.990503923793229
2.1840000028 0.979905232549848
2.2120000028 0.974669984188403
2.2400000028 0.981055357396725
2.2680000028 0.976673013394022
2.2960000028 1.0013411722358
2.3240000028 1.0112190060927
2.3520000028 1.01105512081028
2.3800000028 1.00384135954661
2.4080000028 1.00132931466075
2.4360000028 0.992054529316281
2.4640000028 0.988068113260037
2.4920000028 0.979301937653771
2.5200000028 0.970253675076202
2.5480000028 0.958827657531436
2.5760000028 0.94920349700451
2.6040000028 0.952596567850433
2.6320000028 0.979294447194488
2.6600000028 1.00119044124434
2.6880000028 0.993215720231583
2.7160000028 0.986689101410428
2.7440000028 0.992618631190688
2.7720000028 0.986159119308828
2.8000000028 0.989108981439832
