Viscosity [g/cm/s]
0.0280000028 1.54204882899633
0.0560000028 1.60541341017469
0.0840000028 1.45244168335018
0.1120000028 1.36238172444384
0.1400000028 1.36907288016281
0.1680000028 1.65513104446861
0.1960000028 1.78150552039049
0.2240000028 2.09273756598801
0.2520000028 1.87250215516206
0.2800000028 1.80942732201468
0.3080000028 1.74521279724531
0.3360000028 1.66114271365938
0.3640000028 1.60193310606619
0.3920000028 1.52075064119565
0.4200000028 1.44278192642221
0.4480000028 1.51009838439008
0.4760000028 1.59037819312149
0.5040000028 1.65629818972994
0.5320000028 1.66814202273303
0.5600000028 1.59158605892743
0.5880000028 1.5430050778192
0.6160000028 1.50750962941159
0.6440000028 1.47784208011801
0.6720000028 1.44453569716914
0.7000000028 1.43054492229225
0.7280000028 1.43004271682708
0.7560000028 1.3904208691758
0.7840000028 1.3612473596711
0.8120000028 1.31422099203853
0.8400000028 1.29967355930713
0.8680000028 1.27217200601533
0.8960000028 1.24503581244701
0.9240000028 1.20651542034721
0.9520000028 1.19395390931045
0.9800000028 1.17542546111341
1.0080000028 1.16311279200504
1.0360000028 1.15318456029538
1.0640000028 1.17211043656736
1.0920000028 1.14671809285223
1.1200000028 1.13714547206287
1.1480000028 1.13052621443753
1.1760000028 1.11150939542164
1.2040000028 1.08960962473657
1.2320000028 1.07630095929457
1.2600000028 1.07494339789338
1.2880000028 1.068276879709
1.3160000028 1.05963113387488
1.3440000028 1.04592426279775
1.3720000028 1.06179888565804
1.4000000028 1.06152433117616
1.4280000028 1.06686527657029
1.4560000028 1.05691300525729
1.4840000028 1.04197291846369
1.5120000028 1.03178119230719
1.5400000028 1.01429726038987
1.5680000028 1.00210927075751
1.5960000028 1.00166247864987
1.6240000028 1.05460677393734
1.6520000028 1.05374628324034
1.6800000028 1.03888985047947
1.7080000028 1.04261905347155
1.7360000028 1.02846312104905
1.7640000028 1.02781194858423
1.7920000028 1.01758670927076
1.8200000028 1.01668810116419
1.8480000028 1.016918400745
1.8760000028 1.0323563789873
1.9040000028 1.0357548740042
1.9320000028 1.02121490104988
1.9600000028 1.00948901198142
1.9880000028 0.996359358203835
2.0160000028 0.985680751189487
2.0440000028 0.976447385453174
2.0720000028 0.97132803759278
2.1000000028 0.992689658740091
2.1280000028 1.01033673229111
2.1560000028 1.02146520592288
2.1840000028 1.0199014027633
2.2120000028 1.00164359813256
2.2400000028 1.0113411157287
2.2680000028 1.01053293359451
2.2960000028 1.00463392678263
2.3240000028 0.994683335535432
2.3520000028 0.981422534132193
2.3800000028 0.978724689351111
2.4080000028 0.977255478479756
2.4360000028 0.980796116882343
2.4640000028 0.975950139173085
2.4920000028 0.978089675943076
2.5200000028 1.0104764478326
2.5480000028 1.00247209346159
2.5760000028 0.993787410075079
2.6040000028 0.988154696632362
2.6320000028 0.988941969222847
2.6600000028 0.983113093803855
2.6880000028 0.991557925043232
2.7160000028 1.00868928008439
2.7440000028 1.024510773828
2.7720000028 1.01990011284583
2.8000000028 1.01099377141172
