# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":3.424957275390625, "A":28,  "μ[AU]": 1.856e-01, "T[AU]": 1.838e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00758e-01     9.33707e+01     7.36763e-01     9.25990e+01    -1.14047e-17    -3.37700e+01     9.48182e+01    -3.46429e+00
    1.04530e-01     8.71651e+01     7.20023e-01     8.64133e+01    -1.59298e-18    -3.34500e+01     9.04826e+01    -3.38770e+00
    1.08443e-01     8.13392e+01     7.03567e-01     8.06067e+01     1.39243e-17    -3.31258e+01     8.63194e+01    -3.31240e+00
    1.12502e-01     7.58714e+01     6.87390e-01     7.51578e+01     3.29012e-17    -3.27974e+01     8.23223e+01    -3.23836e+00
    1.16714e-01     7.07412e+01     6.71488e-01     7.00459e+01     5.12301e-17    -3.24647e+01     7.84855e+01    -3.16558e+00
    1.21083e-01     6.59293e+01     6.55856e-01     6.52520e+01     6.38056e-17    -3.21281e+01     7.48031e+01    -3.09402e+00
    1.25615e-01     6.14174e+01     6.40491e-01     6.07577e+01     6.43631e-17    -3.17875e+01     7.12697e+01    -3.02368e+00
    1.30318e-01     5.71884e+01     6.25388e-01     5.65457e+01     4.52943e-17    -3.14430e+01     6.78799e+01    -2.95453e+00
    1.35196e-01     5.32258e+01     6.10544e-01     5.25997e+01    -2.56238e-18    -3.10948e+01     6.46286e+01    -2.88655e+00
    1.40257e-01     4.95141e+01     5.95955e-01     4.89044e+01    -8.29345e-17    -3.07430e+01     6.15109e+01    -2.81973e+00
    1.45507e-01     4.60389e+01     5.81617e-01     4.54451e+01    -1.72801e-16    -3.03876e+01     5.85219e+01    -2.75405e+00
    1.50954e-01     4.27863e+01     5.67527e-01     4.22079e+01    -2.36961e-16    -3.00288e+01     5.56569e+01    -2.68949e+00
    1.56605e-01     3.97432e+01     5.53681e-01     3.91800e+01    -2.31985e-16    -2.96667e+01     5.29116e+01    -2.62605e+00
    1.62467e-01     3.68973e+01     5.40075e-01     3.63490e+01    -1.04884e-16    -2.93015e+01     5.02815e+01    -2.56370e+00
    1.68549e-01     3.42370e+01     5.26707e-01     3.37031e+01     2.00952e-16    -2.89332e+01     4.77626e+01    -2.50242e+00
    1.74858e-01     3.17512e+01     5.13572e-01     3.12315e+01     6.25151e-16    -2.85620e+01     4.53508e+01    -2.44222e+00
    1.81403e-01     2.94295e+01     5.00669e-01     2.89236e+01     9.80532e-16    -2.81880e+01     4.30421e+01    -2.38306e+00
    1.88194e-01     2.72621e+01     4.87993e-01     2.67697e+01     1.03164e-15    -2.78114e+01     4.08329e+01    -2.32493e+00
    1.95239e-01     2.52398e+01     4.75542e-01     2.47605e+01     4.90120e-16    -2.74323e+01     3.87195e+01    -2.26783e+00
    2.02547e-01     2.33535e+01     4.63313e-01     2.28873e+01     1.70863e-15    -2.70509e+01     3.66983e+01    -2.21174e+00
    2.10129e-01     2.15953e+01     4.51303e-01     2.11416e+01     1.79304e-14    -2.66673e+01     3.47661e+01    -2.15664e+00
    2.17995e-01     1.99571e+01     4.39510e-01     1.95158e+01     6.78905e-14    -2.62816e+01     3.29194e+01    -2.10253e+00
    2.26155e-01     1.84316e+01     4.27929e-01     1.80024e+01     1.74955e-13    -2.58941e+01     3.11552e+01    -2.04939e+00
    2.34621e-01     1.70118e+01     4.16560e-01     1.65944e+01     6.87244e-13    -2.55048e+01     2.94703e+01    -1.99721e+00
    2.43404e-01     1.56911e+01     4.05400e-01     1.52853e+01     2.92819e-12    -2.51140e+01     2.78618e+01    -1.94598e+00
    2.52515e-01     1.44634e+01     3.94445e-01     1.40689e+01     8.67454e-12    -2.47219e+01     2.63268e+01    -1.89568e+00
    2.61968e-01     1.33227e+01     3.83694e-01     1.29392e+01     2.27830e-11    -2.43285e+01     2.48626e+01    -1.84632e+00
    2.71774e-01     1.22635e+01     3.73143e-01     1.18909e+01     7.74060e-11    -2.39341e+01     2.34664e+01    -1.79787e+00
    2.81948e-01     1.12806e+01     3.62792e-01     1.09186e+01     2.26896e-10    -2.35389e+01     2.21357e+01    -1.75032e+00
    2.92502e-01     1.03691e+01     3.52637e-01     1.00174e+01     5.69264e-10    -2.31429e+01     2.08679e+01    -1.70367e+00
    3.03451e-01     9.52433e+00     3.42676e-01     9.18281e+00     1.56048e-09    -2.27465e+01     1.96606e+01    -1.65791e+00
    3.14811e-01     8.74195e+00     3.32908e-01     8.41036e+00     3.96454e-09    -2.23498e+01     1.85115e+01    -1.61303e+00
    3.26595e-01     8.01785e+00     3.23329e-01     7.69596e+00     9.29252e-09    -2.19530e+01     1.74183e+01    -1.56901e+00
    3.38821e-01     7.34815e+00     3.13939e-01     7.03576e+00     2.19514e-08    -2.15563e+01     1.63787e+01    -1.52585e+00
    3.51504e-01     6.72921e+00     3.04734e-01     6.42610e+00     4.83484e-08    -2.11599e+01     1.53907e+01    -1.48354e+00
    3.64662e-01     6.15760e+00     2.95713e-01     5.86357e+00     1.03706e-07    -2.07639e+01     1.44522e+01    -1.44208e+00
    3.78312e-01     5.63009e+00     2.86874e-01     5.34495e+00     2.14341e-07    -2.03686e+01     1.35612e+01    -1.40144e+00
    3.92474e-01     5.14366e+00     2.78215e-01     4.86721e+00     4.25670e-07    -1.99741e+01     1.27158e+01    -1.36163e+00
    4.07166e-01     4.69546e+00     2.69734e-01     4.42751e+00     8.20550e-07    -1.95807e+01     1.19140e+01    -1.32264e+00
    4.22407e-01     4.28281e+00     2.61429e-01     4.02317e+00     1.52482e-06    -1.91885e+01     1.11541e+01    -1.28445e+00
    4.38219e-01     3.90320e+00     2.53299e-01     3.65169e+00     2.75118e-06    -1.87978e+01     1.04344e+01    -1.24706e+00
    4.54624e-01     3.55429e+00     2.45341e-01     3.31072e+00     4.80726e-06    -1.84086e+01     9.75311e+00    -1.21047e+00
    4.71642e-01     3.23385e+00     2.37554e-01     2.99805e+00     8.16043e-06    -1.80214e+01     9.10862e+00    -1.17467e+00
    4.89297e-01     2.93983e+00     2.29936e-01     2.71161e+00     1.34605e-05    -1.76361e+01     8.49935e+00    -1.13964e+00
    5.07613e-01     2.67028e+00     2.22485e-01     2.44948e+00     2.16016e-05    -1.72530e+01     7.92377e+00    -1.10538e+00
    5.26615e-01     2.42339e+00     2.15200e-01     2.20983e+00     3.37649e-05    -1.68722e+01     7.38041e+00    -1.07189e+00
    5.46328e-01     2.19746e+00     2.08079e-01     1.99098e+00     5.14482e-05    -1.64941e+01     6.86784e+00    -1.03915e+00
    5.66779e-01     1.99091e+00     2.01120e-01     1.79134e+00     7.65017e-05    -1.61186e+01     6.38467e+00    -1.00717e+00
    5.87995e-01     1.80226e+00     1.94321e-01     1.60943e+00     1.11109e-04    -1.57461e+01     5.92957e+00    -9.75932e-01
    6.10006e-01     1.63011e+00     1.87682e-01     1.44387e+00     1.57771e-04    -1.53767e+01     5.50125e+00    -9.45433e-01
    6.32840e-01     1.47319e+00     1.81200e-01     1.29337e+00     2.19228e-04    -1.50105e+01     5.09847e+00    -9.15666e-01
    6.56530e-01     1.33029e+00     1.74874e-01     1.15674e+00     2.98357e-04    -1.46477e+01     4.72003e+00    -8.86626e-01
    6.81106e-01     1.20029e+00     1.68702e-01     1.03286e+00     3.98041e-04    -1.42885e+01     4.36478e+00    -8.58307e-01
    7.06602e-01     1.08216e+00     1.62683e-01     9.20679e-01     5.21011e-04    -1.39330e+01     4.03159e+00    -8.30704e-01
    7.33053e-01     9.74909e-01     1.56815e-01     8.19242e-01     6.69664e-04    -1.35813e+01     3.71939e+00    -8.03812e-01
    7.60493e-01     8.77655e-01     1.51097e-01     7.27647e-01     8.45895e-04    -1.32337e+01     3.42715e+00    -7.77626e-01
    7.88961e-01     7.89558e-01     1.45528e-01     6.45061e-01     1.05093e-03    -1.28902e+01     3.15386e+00    -7.52141e-01
    8.18495e-01     7.09845e-01     1.40106e-01     5.70713e-01     1.28522e-03    -1.25509e+01     2.89857e+00    -7.27353e-01
    8.49134e-01     6.37874e-01     1.34836e-01     5.03958e-01     1.54831e-03    -1.22160e+01     2.66034e+00    -7.03543e-01
    8.80920e-01     5.72924e-01     1.29712e-01     4.44078e-01     1.83888e-03    -1.18857e+01     2.43829e+00    -6.80508e-01
    9.13896e-01     5.14359e-01     1.24733e-01     3.90440e-01     2.15469e-03    -1.15599e+01     2.23155e+00    -6.58169e-01
    9.48106e-01     4.61614e-01     1.19897e-01     3.42480e-01     2.49270e-03    -1.12389e+01     2.03931e+00    -6.36524e-01
    9.83597e-01     4.14165e-01     1.15202e-01     2.99677e-01     2.84917e-03    -1.09227e+01     1.86078e+00    -6.15570e-01
    1.02042e+00     3.71532e-01     1.10649e-01     2.61550e-01     3.21982e-03    -1.06114e+01     1.69518e+00    -5.95304e-01
    1.05861e+00     3.33270e-01     1.06236e-01     2.27657e-01     3.60003e-03    -1.03051e+01     1.54180e+00    -5.75726e-01
    1.09824e+00     2.98973e-01     1.01961e-01     1.97591e-01     3.98501e-03    -1.00038e+01     1.39992e+00    -5.56834e-01
    1.13935e+00     2.68265e-01     9.78247e-02     1.70979e-01     4.36998e-03    -9.70777e+00     1.26888e+00    -5.38626e-01
    1.18200e+00     2.40805e-01     9.38255e-02     1.47479e-01     4.75039e-03    -9.41692e+00     1.14803e+00    -5.21102e-01
    1.22625e+00     2.16277e-01     8.99627e-02     1.26778e-01     5.12200e-03    -9.13136e+00     1.03674e+00    -5.04260e-01
    1.27215e+00     1.94395e-01     8.62354e-02     1.08589e-01     5.48106e-03    -8.85114e+00     9.34430e-01    -4.88099e-01
    1.31977e+00     1.74896e-01     8.26430e-02     9.26492e-02     5.82437e-03    -8.57632e+00     8.40527e-01    -4.72618e-01
    1.36918e+00     1.57541e-01     7.91846e-02     7.87216e-02     6.14932e-03    -8.30693e+00     7.54491e-01    -4.57817e-01
    1.42043e+00     1.42112e-01     7.58596e-02     6.65888e-02     6.45393e-03    -8.04302e+00     6.75803e-01    -4.43693e-01
    1.47360e+00     1.28411e-01     7.26674e-02     5.60536e-02     6.73682e-03    -7.78462e+00     6.03970e-01    -4.30245e-01
    1.52876e+00     1.16260e-01     6.96072e-02     4.69371e-02     6.99720e-03    -7.53175e+00     5.38522e-01    -4.17471e-01
    1.58599e+00     1.05495e-01     6.66786e-02     3.90775e-02     7.23481e-03    -7.28442e+00     4.79011e-01    -4.05369e-01
    1.64536e+00     9.59698e-02     6.38808e-02     3.23284e-02     7.44983e-03    -7.04266e+00     4.25012e-01    -3.93934e-01
    1.70695e+00     8.75520e-02     6.12131e-02     2.65580e-02     7.64286e-03    -6.80646e+00     3.76121e-01    -3.83163e-01
    1.77085e+00     8.01220e-02     5.86750e-02     2.16473e-02     7.81480e-03    -6.57582e+00     3.31957e-01    -3.73050e-01
    1.83714e+00     7.35724e-02     5.62655e-02     1.74897e-02     7.96680e-03    -6.35074e+00     2.92156e-01    -3.63586e-01
    1.90591e+00     6.78066e-02     5.39838e-02     1.39894e-02     8.10020e-03    -6.13119e+00     2.56377e-01    -3.54765e-01
    1.97725e+00     6.27380e-02     5.18287e-02     1.10610e-02     8.21643e-03    -5.91715e+00     2.24297e-01    -3.46574e-01
    2.05127e+00     5.82890e-02     4.97989e-02     8.62792e-03     8.31699e-03    -5.70860e+00     1.95611e-01    -3.39001e-01
    2.12805e+00     5.43902e-02     4.78928e-02     6.62246e-03     8.40343e-03    -5.50550e+00     1.70033e-01    -3.32030e-01
    2.20771e+00     5.09796e-02     4.61084e-02     4.98437e-03     8.47721e-03    -5.30781e+00     1.47294e-01    -3.25645e-01
    2.29036e+00     4.80015e-02     4.44433e-02     3.66053e-03     8.53980e-03    -5.11550e+00     1.27142e-01    -3.19824e-01
    2.37609e+00     4.54066e-02     4.28945e-02     2.60427e-03     8.59255e-03    -4.92849e+00     1.09340e-01    -3.14546e-01
    2.46504e+00     4.31506e-02     4.14585e-02     1.77486e-03     8.63674e-03    -4.74675e+00     9.36678e-02    -3.09786e-01
    2.55731e+00     4.11939e-02     4.01310e-02     1.13707e-03     8.67354e-03    -4.57021e+00     7.99199e-02    -3.05516e-01
    2.65304e+00     3.95015e-02     3.89066e-02     6.60954e-04     8.70401e-03    -4.39880e+00     6.79048e-02    -3.01708e-01
    2.75236e+00     3.80418e-02     3.77786e-02     3.21881e-04     8.72909e-03    -4.23245e+00     5.74452e-02    -2.98333e-01
    2.85539e+00     3.67868e-02     3.67368e-02     1.01802e-04     8.74964e-03    -4.07109e+00     4.83768e-02    -2.95358e-01
    2.96227e+00     3.57115e-02     3.57569e-02    -1.60315e-41     8.76640e-03    -3.91464e+00     4.05480e-02    -2.92754e-01
    3.07316e+00     3.47935e-02     3.48330e-02    -4.99025e-21     8.78000e-03    -3.76302e+00     3.38195e-02    -2.90487e-01
    3.18820e+00     3.40128e-02     3.40469e-02    -1.26364e-20     8.79100e-03    -3.61614e+00     2.80635e-02    -2.88526e-01
    3.30755e+00     3.33519e-02     3.33809e-02    -2.07978e-20     8.79987e-03    -3.47391e+00     2.31634e-02    -2.86842e-01
    3.43136e+00     3.27948e-02     3.28192e-02    -2.87134e-20     8.80701e-03    -3.33624e+00     1.90130e-02    -2.85404e-01
    3.55981e+00     3.23274e-02     3.23476e-02    -3.60252e-20     8.81275e-03    -3.20304e+00     1.55162e-02    -2.84185e-01
    3.69306e+00     3.19374e-02     3.19537e-02    -4.25726e-20     8.81736e-03    -3.07419e+00     1.25861e-02    -2.83158e-01
    3.83131e+00     3.16137e-02     3.16264e-02    -4.83050e-20     8.82108e-03    -2.94962e+00     1.01452e-02    -2.82299e-01
    3.97473e+00     3.13465e-02     3.13560e-02    -5.32355e-20     8.82408e-03    -2.82921e+00     8.12369e-03    -2.81586e-01
    4.12351e+00     3.11273e-02     3.11340e-02    -5.74138e-20     8.82652e-03    -2.71286e+00     6.46005e-03    -2.80997e-01
    4.27787e+00     3.09486e-02     3.09528e-02    -6.09089e-20     8.82851e-03    -2.60046e+00     5.09977e-03    -2.80516e-01
    4.43801e+00     3.08039e-02     3.08058e-02    -6.37983e-20     8.83015e-03    -2.49192e+00     3.99502e-03    -2.80124e-01
    4.60414e+00     3.06875e-02     3.06874e-02    -6.61607e-20     8.83151e-03    -2.38711e+00     3.10413e-03    -2.79808e-01
    4.77648e+00     3.05945e-02     3.05928e-02    -6.80723e-20     8.83264e-03    -2.28594e+00     2.39097e-03    -2.79555e-01
    4.95528e+00     3.05209e-02     3.05177e-02    -6.96034e-20     8.83361e-03    -2.18830e+00     1.82450e-03    -2.79354e-01
    5.14078e+00     3.04630e-02     3.04586e-02    -7.08175e-20     8.83444e-03    -2.09409e+00     1.37820e-03    -2.79196e-01
    5.33322e+00     3.04178e-02     3.04125e-02    -7.17707e-20     8.83515e-03    -2.00319e+00     1.02958e-03    -2.79073e-01
    5.53286e+00     3.03829e-02     3.03768e-02    -7.25113e-20     8.83577e-03    -1.91551e+00     7.59760e-04    -2.78977e-01
    5.73997e+00     3.03561e-02     3.03495e-02    -7.30808e-20     8.83632e-03    -1.83093e+00     5.52987e-04    -2.78904e-01
    5.95484e+00     3.03358e-02     3.03287e-02    -7.35138e-20     8.83681e-03    -1.74937e+00     3.96233e-04    -2.78848e-01
    6.17775e+00     3.03205e-02     3.03131e-02    -7.38391e-20     8.83725e-03    -1.67071e+00     2.78819e-04    -2.78806e-01
    6.40900e+00     3.03091e-02     3.03016e-02    -7.40803e-20     8.83764e-03    -1.59487e+00     1.92067e-04    -2.78775e-01
    6.64891e+00     3.03007e-02     3.02932e-02    -7.42565e-20     8.83799e-03    -1.52174e+00     1.28994e-04    -2.78752e-01
    6.89781e+00     3.02945e-02     3.02872e-02    -7.43830e-20     8.83831e-03    -1.45124e+00     8.40310e-05    -2.78735e-01
    7.15601e+00     3.02901e-02     3.02829e-02    -7.44718e-20     8.83861e-03    -1.38327e+00     5.27780e-05    -2.78723e-01
    7.42389e+00     3.02870e-02     3.02801e-02    -7.45324e-20     8.83888e-03    -1.31774e+00     3.17914e-05    -2.78715e-01
    7.70179e+00     3.02848e-02     3.02782e-02    -7.45721e-20     8.83912e-03    -1.25457e+00     1.84022e-05    -2.78709e-01
    7.99010e+00     3.02833e-02     3.02770e-02    -7.45966e-20     8.83934e-03    -1.19367e+00     1.05610e-05    -2.78704e-01
    8.28919e+00     3.02823e-02     3.02764e-02    -7.46102e-20     8.83955e-03    -1.13497e+00     6.70965e-06    -2.78702e-01
    8.59949e+00     3.02816e-02     3.02761e-02    -7.46159e-20     8.83974e-03    -1.07838e+00     5.67507e-06    -2.78700e-01
    8.92139e+00     3.02812e-02     3.02761e-02    -7.46163e-20     8.83992e-03    -1.02383e+00     6.58251e-06    -2.78699e-01
    9.25535e+00     3.02810e-02     3.02762e-02    -7.46131e-20     8.84008e-03    -9.71250e-01     8.78631e-06    -2.78698e-01
    9.60181e+00     3.02809e-02     3.02765e-02    -7.46074e-20     8.84023e-03    -9.20566e-01     1.18148e-05    -2.78698e-01
    9.96124e+00     3.02809e-02     3.02768e-02    -7.46003e-20     8.84036e-03    -8.71709e-01     1.53272e-05    -2.78698e-01
    1.03341e+01     3.02809e-02     3.02772e-02    -7.45924e-20     8.84049e-03    -8.24616e-01     1.90802e-05    -2.78698e-01
    1.07210e+01     3.02810e-02     3.02776e-02    -7.45842e-20     8.84061e-03    -7.79221e-01     2.29026e-05    -2.78698e-01
    1.11223e+01     3.02811e-02     3.02780e-02    -7.45759e-20     8.84072e-03    -7.35464e-01     2.66756e-05    -2.78698e-01
    1.15386e+01     3.02812e-02     3.02784e-02    -7.45678e-20     8.84082e-03    -6.93286e-01     3.03187e-05    -2.78699e-01
    1.19706e+01     3.02813e-02     3.02787e-02    -7.45601e-20     8.84091e-03    -6.52630e-01     3.37790e-05    -2.78699e-01
    1.24187e+01     3.02814e-02     3.02791e-02    -7.45528e-20     8.84100e-03    -6.13441e-01     3.70231e-05    -2.78699e-01
    1.28835e+01     3.02816e-02     3.02794e-02    -7.45459e-20     8.84108e-03    -5.75666e-01     4.00316e-05    -2.78700e-01
    1.33658e+01     3.02817e-02     3.02797e-02    -7.45396e-20     8.84115e-03    -5.39254e-01     4.27951e-05    -2.78700e-01
    1.38661e+01     3.02818e-02     3.02800e-02    -7.45338e-20     8.84122e-03    -5.04156e-01     4.53117e-05    -2.78700e-01
    1.43852e+01     3.02819e-02     3.02803e-02    -7.45285e-20     8.84128e-03    -4.70325e-01     4.75847e-05    -2.78701e-01
    1.49237e+01     3.02820e-02     3.02805e-02    -7.45237e-20     8.84134e-03    -4.37715e-01     4.96219e-05    -2.78701e-01
    1.54823e+01     3.02821e-02     3.02807e-02    -7.45194e-20     8.84140e-03    -4.06282e-01     5.14347e-05    -2.78701e-01
    1.60619e+01     3.02822e-02     3.02809e-02    -7.45155e-20     8.84145e-03    -3.75982e-01     5.30371e-05    -2.78702e-01
    1.66632e+01     3.02823e-02     3.02810e-02    -7.45121e-20     8.84150e-03    -3.46777e-01     5.44458e-05    -2.78702e-01
    1.72869e+01     3.02824e-02     3.02812e-02    -7.45090e-20     8.84154e-03    -3.18625e-01     5.56791e-05    -2.78702e-01
    1.79340e+01     3.02825e-02     3.02813e-02    -7.45063e-20     8.84158e-03    -2.91489e-01     5.67567e-05    -2.78702e-01
    1.86054e+01     3.02826e-02     3.02814e-02    -7.45039e-20     8.84162e-03    -2.65333e-01     5.76988e-05    -2.78703e-01
    1.93018e+01     3.02827e-02     3.02815e-02    -7.45018e-20     8.84165e-03    -2.40120e-01     5.85256e-05    -2.78703e-01
    2.00243e+01     3.02827e-02     3.02816e-02    -7.44999e-20     8.84169e-03    -2.15817e-01     5.92565e-05    -2.78703e-01
    2.07739e+01     3.02828e-02     3.02817e-02    -7.44981e-20     8.84172e-03    -1.92391e-01     5.99089e-05    -2.78703e-01
    2.15516e+01     3.02829e-02     3.02818e-02    -7.44965e-20     8.84175e-03    -1.69810e-01     6.04977e-05    -2.78703e-01
    2.23583e+01     3.02830e-02     3.02818e-02    -7.44951e-20     8.84177e-03    -1.48045e-01     6.10343e-05    -2.78704e-01
    2.31953e+01     3.02830e-02     3.02819e-02    -7.44937e-20     8.84180e-03    -1.27064e-01     6.15231e-05    -2.78704e-01
    2.40636e+01     3.02831e-02     3.02819e-02    -7.44926e-20     8.84182e-03    -1.06841e-01     6.19550e-05    -2.78704e-01
    2.49643e+01     3.02831e-02     3.02820e-02    -7.44916e-20     8.84185e-03    -8.73473e-02     6.22837e-05    -2.78704e-01
    2.58988e+01     3.02831e-02     3.02820e-02    -7.44915e-20     8.84187e-03    -6.85574e-02     6.23506e-05    -2.78704e-01
    2.68683e+01     3.02830e-02     3.02819e-02    -7.44935e-20     8.84189e-03    -5.04463e-02     6.16249e-05    -2.78704e-01
    2.78741e+01     3.02826e-02     3.02815e-02    -7.45029e-20     8.84191e-03    -3.29913e-02     5.82832e-05    -2.78703e-01
    2.89175e+01     3.02809e-02     3.02798e-02    -7.45377e-20     8.84192e-03    -1.61754e-02     4.58134e-05    -2.78698e-01
    3.00000e+01     3.02748e-02     3.02737e-02    -7.46660e-20     8.84194e-03     0.00000e+00     0.00000e+00    -2.78681e-01
