# atomic units
# Peak of g_ii(r) =   1.16
# Effective coupling: Gamma_ii=     7.9
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  4.75277460971E-01    0.00000000000E+00
  4.78933441440E-01    0.00000000000E+00
  4.82589421909E-01    0.00000000000E+00
  4.86245402378E-01    0.00000000000E+00
  4.89901382847E-01    0.00000000000E+00
  4.93557363316E-01    0.00000000000E+00
  4.97213343785E-01    0.00000000000E+00
  5.00869324254E-01    0.00000000000E+00
  5.04525304723E-01    0.00000000000E+00
  5.08181285192E-01    0.00000000000E+00
  5.11837265661E-01    0.00000000000E+00
  5.15493246130E-01    0.00000000000E+00
  5.19149226599E-01    0.00000000000E+00
  5.22805207068E-01    0.00000000000E+00
  5.26461187537E-01    0.00000000000E+00
  5.30117168006E-01    0.00000000000E+00
  5.33773148475E-01    0.00000000000E+00
  5.37429128944E-01    0.00000000000E+00
  5.41085109413E-01    0.00000000000E+00
  5.44741089882E-01    0.00000000000E+00
  5.48397070351E-01    0.00000000000E+00
  5.52053050820E-01    0.00000000000E+00
  5.55709031289E-01    0.00000000000E+00
  5.59365011758E-01    0.00000000000E+00
  5.63020992227E-01    0.00000000000E+00
  5.66676972696E-01    0.00000000000E+00
  5.70332953165E-01    0.00000000000E+00
  5.73988933634E-01    0.00000000000E+00
  5.77644914103E-01    0.00000000000E+00
  5.81300894572E-01    0.00000000000E+00
  5.84956875041E-01    0.00000000000E+00
  5.88612855510E-01    0.00000000000E+00
  5.92268835979E-01    0.00000000000E+00
  5.95924816448E-01    0.00000000000E+00
  5.99580796917E-01    0.00000000000E+00
  6.03236777386E-01    0.00000000000E+00
  6.06892757855E-01    0.00000000000E+00
  6.10548738324E-01    0.00000000000E+00
  6.14204718793E-01    0.00000000000E+00
  6.17860699262E-01    0.00000000000E+00
  6.21516679731E-01    0.00000000000E+00
  6.25172660200E-01    0.00000000000E+00
  6.28828640669E-01    0.00000000000E+00
  6.32484621138E-01    0.00000000000E+00
  6.36140601607E-01    0.00000000000E+00
  6.39796582076E-01    0.00000000000E+00
  6.43452562545E-01    0.00000000000E+00
  6.47108543014E-01    0.00000000000E+00
  6.50764523483E-01    0.00000000000E+00
  6.54420503952E-01    0.00000000000E+00
  6.58076484421E-01    0.00000000000E+00
  6.61732464890E-01    0.00000000000E+00
  6.65388445359E-01    0.00000000000E+00
  6.69044425828E-01    0.00000000000E+00
  6.72700406297E-01    0.00000000000E+00
  6.76356386766E-01    0.00000000000E+00
  6.80012367235E-01    0.00000000000E+00
  6.83668347704E-01    0.00000000000E+00
  6.87324328173E-01    0.00000000000E+00
  6.90980308642E-01    0.00000000000E+00
  6.94636289111E-01    0.00000000000E+00
  6.98292269580E-01    0.00000000000E+00
  7.01948250049E-01    0.00000000000E+00
  7.05604230518E-01    0.00000000000E+00
  7.09260210987E-01    0.00000000000E+00
  7.12916191456E-01    0.00000000000E+00
  7.16572171925E-01    0.00000000000E+00
  7.20228152394E-01    0.00000000000E+00
  7.23884132863E-01    0.00000000000E+00
  7.27540113332E-01    0.00000000000E+00
  7.31196093801E-01    0.00000000000E+00
  7.34852074270E-01    0.00000000000E+00
  7.38508054739E-01    0.00000000000E+00
  7.42164035208E-01    0.00000000000E+00
  7.45820015677E-01    0.00000000000E+00
  7.49475996146E-01    0.00000000000E+00
  7.53131976615E-01    0.00000000000E+00
  7.56787957084E-01    0.00000000000E+00
  7.60443937553E-01    0.00000000000E+00
  7.64099918022E-01    0.00000000000E+00
  7.67755898491E-01    0.00000000000E+00
  7.71411878960E-01    0.00000000000E+00
  7.75067859429E-01    0.00000000000E+00
