 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    3.00051477906058     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.22315875582E-006        0.86976814378E-009        0.26381516404E-011        0.86712999214E-009        0.86977106405E-009        0.29202734635E-014
        0.89263502326E-006        0.13916290300E-007        0.42210426247E-010        0.13874079874E-007        0.13916337025E-007        0.46724375415E-013
        0.20084288023E-005        0.70482933169E-007        0.21378646916E-009        0.70269146700E-007        0.70483169824E-007        0.23665474384E-012
        0.35705400931E-005        0.22279838159E-006        0.67578454962E-009        0.22212259704E-006        0.22279912969E-006        0.74810133785E-012
        0.55789688954E-005        0.54396973680E-006        0.16499505958E-008        0.54231978620E-006        0.54397156341E-006        0.18266089897E-011
        0.80337152094E-005        0.11279699656E-005        0.34213200823E-008        0.11245486455E-005        0.11279737535E-005        0.37878779894E-011
        0.10934779035E-004        0.20896215752E-005        0.63381684562E-008        0.20832834067E-005        0.20896285929E-005        0.70177641929E-011
        0.14282160372E-004        0.35645766337E-005        0.10811950466E-007        0.35537646832E-005        0.35645886060E-005        0.11972279048E-010
        0.18075859221E-004        0.57092931595E-005        0.17317228458E-007        0.56919759310E-005        0.57093123370E-005        0.19177589604E-010
        0.22315875582E-004        0.87010078856E-005        0.26391589670E-007        0.86746162959E-005        0.87010371156E-005        0.29230018513E-010
        0.27002209454E-004        0.12737705406E-004        0.38635552527E-007        0.12699069854E-004        0.12737748203E-004        0.42796044031E-010
        0.32134860838E-004        0.18038083711E-004        0.54712461962E-007        0.17983371249E-004        0.18038144323E-004        0.60612300021E-010
        0.37713829733E-004        0.24841516107E-004        0.75348373778E-007        0.24766167734E-004        0.24841599593E-004        0.83485575951E-010
        0.43739116140E-004        0.33408009549E-004        0.10133192806E-006        0.33306677621E-004        0.33408121842E-004        0.11229281690E-009
        0.50210720059E-004        0.44018159365E-004        0.13351421168E-006        0.43884645153E-004        0.44018307346E-004        0.14798112354E-009
        0.57128641489E-004        0.56973100399E-004        0.17280860986E-006        0.56800291789E-004        0.56973291966E-004        0.19156775216E-009
        0.64492880431E-004        0.72594454579E-004        0.22019064690E-006        0.72374263932E-004        0.72594698719E-004        0.24414011466E-009
        0.72303436884E-004        0.91224274908E-004        0.27669781605E-006        0.90947577092E-004        0.91224581764E-004        0.30685577855E-009
        0.80560310850E-004        0.11322498590E-003        0.34342939848E-006        0.11288155650E-003        0.11322536684E-003        0.38094246693E-009
        0.89263502326E-004        0.13897932045E-003        0.42154627153E-006        0.13855777418E-003        0.13897978815E-003        0.46769805853E-009
        0.98413011315E-004        0.16889025319E-003        0.51227070613E-006        0.16837798249E-003        0.16889082168E-003        0.56849058767E-009
        0.10800883781E-003        0.20338093030E-003        0.61688615352E-006        0.20276404414E-003        0.20338161506E-003        0.68475824431E-009
        0.11805098183E-003        0.24289459576E-003        0.73673702123E-006        0.24215785874E-003        0.24289541377E-003        0.81800937399E-009
        0.12853944335E-003        0.28789451419E-003        0.87322843836E-006        0.28702128575E-003        0.28789548401E-003        0.96982247789E-009
        0.13947422239E-003        0.33886389010E-003        0.10278260103E-005        0.33783606409E-003        0.33886503195E-003        0.11418462128E-008
        0.15085531893E-003        0.39630578372E-003        0.12020555627E-005        0.39510372816E-003        0.39630711952E-003        0.13357993911E-008
        0.16268273299E-003        0.46074302333E-003        0.13975028750E-005        0.45934552045E-003        0.46074457680E-003        0.15534709808E-008
        0.17495646456E-003        0.53271811414E-003        0.16158134035E-005        0.53110230074E-003        0.53271991086E-003        0.17967201056E-008
        0.18767651364E-003        0.61279314376E-003        0.18586919936E-005        0.61093445177E-003        0.61279521124E-003        0.20674760447E-008
        0.20084288023E-003        0.70154968423E-003        0.21279025821E-005        0.69942178165E-003        0.70155205197E-003        0.23677382331E-008
        0.21445556434E-003        0.79958869061E-003        0.24252678886E-005        0.79716342272E-003        0.79959139019E-003        0.26995762611E-008
        0.22851456596E-003        0.90753039624E-003        0.27526690971E-005        0.90477772715E-003        0.90753346137E-003        0.30651298751E-008
        0.24301988508E-003        0.10260142046E-002        0.31120455265E-005        0.10229021591E-002        0.10260176712E-002        0.34666089768E-008
        0.25797152172E-003        0.11556985778E-002        0.35053942920E-005        0.11521931835E-002        0.11557024841E-002        0.39062936236E-008
        0.27336947587E-003        0.12972609216E-002        0.39347699549E-005        0.12933261517E-002        0.12972653082E-002        0.43865340287E-008
        0.28921374754E-003        0.14513974678E-002        0.44022841635E-005        0.14469951836E-002        0.14514023775E-002        0.49097505606E-008
        0.30550433671E-003        0.16188231518E-002        0.49101052832E-005        0.16139130466E-002        0.16188286303E-002        0.54784337439E-008
        0.32224124340E-003        0.18002714891E-002        0.54604580170E-005        0.17948110311E-002        0.18002775842E-002        0.60951442586E-008
        0.33942446760E-003        0.19964944461E-002        0.60556230153E-005        0.19904388231E-002        0.19965012087E-002        0.67625129404E-008
        0.35705400931E-003        0.22082623099E-002        0.66979364766E-005        0.22015643734E-002        0.22082697931E-002        0.74832407808E-008
        0.37512986853E-003        0.24363635530E-002        0.73897897380E-005        0.24289737633E-002        0.24363718131E-002        0.82600989267E-008
        0.39365204526E-003        0.26816046963E-002        0.81336288556E-005        0.26734710675E-002        0.26816137922E-002        0.90959286810E-008
        0.41262053950E-003        0.29448101680E-002        0.89319541758E-005        0.29358782138E-002        0.29448201616E-002        0.99936415021E-008
        0.43203535126E-003        0.32268221596E-002        0.97873198965E-005        0.32170348397E-002        0.32268331158E-002        0.10956219004E-007
        0.45189648053E-003        0.35285004789E-002        0.10702333618E-004        0.35177981453E-002        0.35285124657E-002        0.11986712958E-007
        0.47220392731E-003        0.38507224000E-002        0.11679655888E-004        0.38390427441E-002        0.38507354882E-002        0.13088245287E-007
        0.49295769160E-003        0.41943825094E-002        0.12721999729E-004        0.41816605097E-002        0.41943967734E-002        0.14264008075E-007
        0.51415777340E-003        0.45603925505E-002        0.13832130167E-004        0.45465604204E-002        0.45604080678E-002        0.15517263558E-007
        0.53580417271E-003        0.49496812638E-002        0.15012863742E-004        0.49346684000E-002        0.49496981151E-002        0.16851344129E-007
        0.55789688954E-003        0.53631942243E-002        0.16267068015E-004        0.53469271563E-002        0.53632124940E-002        0.18269652337E-007
        0.58043592388E-003        0.58018936769E-002        0.17597661062E-004        0.57842960159E-002        0.58019134526E-002        0.19775660886E-007
        0.60342127573E-003        0.62667583675E-002        0.19007610958E-004        0.62477507565E-002        0.62667797404E-002        0.21372912637E-007
        0.62685294509E-003        0.67587833720E-002        0.20499935262E-004        0.67382834367E-002        0.67588064370E-002        0.23065020606E-007
        0.65073093196E-003        0.72789799222E-002        0.22077700478E-004        0.72569022218E-002        0.72790047779E-002        0.24855667964E-007
        0.67505523634E-003        0.78283752292E-002        0.23744021517E-004        0.78046312077E-002        0.78284019778E-002        0.26748608040E-007
        0.69982585824E-003        0.84080123028E-002        0.25502061148E-004        0.83825102417E-002        0.84080410505E-002        0.28747664318E-007
        0.72504279765E-003        0.90189497699E-002        0.27355029441E-004        0.89915947404E-002        0.90189806266E-002        0.30856730437E-007
        0.75070605457E-003        0.96622616882E-002        0.29306183199E-004        0.96329555050E-002        0.96622947680E-002        0.33079770193E-007
        0.77681562900E-003        0.10339037359E-001        0.31358825385E-004        0.10307678534E-001        0.10339072780E-001        0.35420817538E-007
        0.80337152094E-003        0.11050381135E-001        0.33516304534E-004        0.11016864831E-001        0.11050419019E-001        0.37883976579E-007
        0.83037373039E-003        0.11797412230E-001        0.35782014169E-004        0.11761630215E-001        0.11797452703E-001        0.40473421579E-007
        0.85782225736E-003        0.12581264516E-001        0.38159392190E-004        0.12543105124E-001        0.12581307710E-001        0.43193396959E-007
