 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.00051477906058     
 #
 # screening length =  0.954331324771087     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.73119609380E-002        0.12074821183E+004       -0.16824193765E+006
        0.10967941407E-001        0.79765663586E+003       -0.74649000880E+005
        0.14623921876E-001        0.59319644322E+003       -0.41872898087E+005
        0.18279902345E-001        0.47093416266E+003       -0.26693028134E+005
        0.21935882814E-001        0.38979370051E+003       -0.18443800245E+005
        0.25591863283E-001        0.33215659038E+003       -0.13469871465E+005
        0.29247843752E-001        0.28920464573E+003       -0.10243664775E+005
        0.32903824221E-001        0.25603280117E+003       -0.80350023201E+004
        0.36559804690E-001        0.22969381603E+003       -0.64590103988E+004
        0.40215785159E-001        0.20830932048E+003       -0.52970413410E+004
        0.43871765628E-001        0.19062562068E+003       -0.44173190274E+004
        0.47527746097E-001        0.17577404588E+003       -0.37365646578E+004
        0.51183726566E-001        0.16313389623E+003       -0.32000435963E+004
        0.54839707035E-001        0.15225000507E+003       -0.27705573947E+004
        0.58495687504E-001        0.14278134035E+003       -0.24220891790E+004
        0.62151667973E-001        0.13446760078E+003       -0.21359935525E+004
        0.65807648442E-001        0.12710697351E+003       -0.18986273401E+004
        0.69463628911E-001        0.12054077681E+003       -0.16998251084E+004
        0.73119609380E-001        0.11464275178E+003       -0.15318901290E+004
        0.76775589849E-001        0.10931132606E+003       -0.13889103440E+004
        0.80431570318E-001        0.10446403936E+003       -0.12662852869E+004
        0.84087550787E-001        0.10003336077E+003       -0.11603936192E+004
        0.87743531256E-001        0.95963594695E+002       -0.10683562548E+004
        0.91399511725E-001        0.92208471449E+002       -0.98786461148E+003
        0.95055492194E-001        0.88729328050E+002       -0.91705349769E+003
        0.98711472663E-001        0.85493648116E+002       -0.85440527046E+003
        0.10236745313E+000        0.82473950734E+002       -0.79867678665E+003
        0.10602343360E+000        0.79646875295E+002       -0.74884340069E+003
        0.10967941407E+000        0.76992482466E+002       -0.70405585285E+003
        0.11333539454E+000        0.74493660699E+002       -0.66360683872E+003
        0.11699137501E+000        0.72135672176E+002       -0.62690482179E+003
        0.12064735548E+000        0.69905754904E+002       -0.59345324206E+003
        0.12430333595E+000        0.67792820321E+002       -0.56283380929E+003
        0.12795931642E+000        0.65787180352E+002       -0.53469295201E+003
        0.13161529688E+000        0.63880343399E+002       -0.50873078099E+003
        0.13527127735E+000        0.62064824150E+002       -0.48469207911E+003
        0.13892725782E+000        0.60334004667E+002       -0.46235894169E+003
        0.14258323829E+000        0.58681999566E+002       -0.44154474951E+003
        0.14623921876E+000        0.57103560400E+002       -0.42208921865E+003
        0.14989519923E+000        0.55593978262E+002       -0.40385430928E+003
        0.15355117970E+000        0.54149017338E+002       -0.38672082253E+003
        0.15720716017E+000        0.52764843404E+002       -0.37058554639E+003
        0.16086314064E+000        0.51437977553E+002       -0.35535884976E+003
        0.16451912111E+000        0.50165243116E+002       -0.34096264573E+003
        0.16817510157E+000        0.48943733673E+002       -0.32732866888E+003
        0.17183108204E+000        0.47770773262E+002       -0.31439701969E+003
        0.17548706251E+000        0.46643894486E+002       -0.30211493893E+003
        0.17914304298E+000        0.45560808284E+002       -0.29043577608E+003
        0.18279902345E+000        0.44519389089E+002       -0.27931812077E+003
        0.18645500392E+000        0.43517651464E+002       -0.26872506794E+003
        0.19011098439E+000        0.42553740196E+002       -0.25862359360E+003
        0.19376696486E+000        0.41625911946E+002       -0.24898402115E+003
        0.19742294533E+000        0.40732528850E+002       -0.23977956420E+003
        0.20107892580E+000        0.39872043914E+002       -0.23098593385E+003
        0.20473490626E+000        0.39042997122E+002       -0.22258100226E+003
        0.20839088673E+000        0.38244003653E+002       -0.21454451493E+003
        0.21204686720E+000        0.37473751771E+002       -0.20685784567E+003
        0.21570284767E+000        0.36730993144E+002       -0.19950378838E+003
