 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    2.88446014590248     
 #
 # screening length =  0.962582990282310     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.73119609380E-002        0.11308676086E+004       -0.15553537125E+006
        0.10967941407E-001        0.75182230635E+003       -0.69106431511E+005
        0.14623921876E-001        0.56236731164E+003       -0.38862574786E+005
        0.18279902345E-001        0.44871100543E+003       -0.24863389643E+005
        0.21935882814E-001        0.37298176469E+003       -0.17260957066E+005
        0.25591863283E-001        0.31889284195E+003       -0.12678198803E+005
        0.29247843752E-001        0.27834485140E+003       -0.97038564445E+004
        0.32903824221E-001        0.24681176025E+003       -0.76645573259E+004
        0.36559804690E-001        0.22159958377E+003       -0.62062860282E+004
        0.40215785159E-001        0.20097307270E+003       -0.51276846605E+004
        0.43871765628E-001        0.18379285448E+003       -0.43073952409E+004
        0.47527746097E-001        0.16925718767E+003       -0.36689908606E+004
        0.51183726566E-001        0.15680506407E+003       -0.31625002220E+004
        0.54839707035E-001        0.14601443164E+003       -0.27539909811E+004
        0.58495687504E-001        0.13657772769E+003       -0.24197343275E+004
        0.62151667973E-001        0.12825199317E+003       -0.21427501115E+004
        0.65807648442E-001        0.12085536903E+003       -0.19106610597E+004
        0.69463628911E-001        0.11423802102E+003       -0.17142646084E+004
        0.73119609380E-001        0.10828573017E+003       -0.15466066284E+004
        0.76775589849E-001        0.10290091974E+003       -0.14023484704E+004
        0.80431570318E-001        0.98008371855E+002       -0.12773367335E+004
        0.84087550787E-001        0.93541724334E+002       -0.11682948119E+004
        0.87743531256E-001        0.89449563784E+002       -0.10726127022E+004
        0.91399511725E-001        0.85685165397E+002       -0.98819204507E+003
        0.95055492194E-001        0.82212281569E+002       -0.91333344024E+003
        0.98711472663E-001        0.78996999210E+002       -0.84664719326E+003
        0.10236745313E+000        0.76013062024E+002       -0.78698783279E+003
        0.10602343360E+000        0.73235214570E+002       -0.73340286200E+003
        0.10967941407E+000        0.70644012884E+002       -0.68509552285E+003
        0.11333539454E+000        0.68220241847E+002       -0.64139482244E+003
        0.11699137501E+000        0.65949231241E+002       -0.60173323072E+003
        0.12064735548E+000        0.63816083746E+002       -0.56562794466E+003
        0.12430333595E+000        0.61809545170E+002       -0.53266657053E+003
        0.12795931642E+000        0.59917868304E+002       -0.50249479252E+003
        0.13161529688E+000        0.58132291447E+002       -0.47480699146E+003
        0.13527127735E+000        0.56443412088E+002       -0.44933813418E+003
