 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.35463010549E+000        0.46448327380E+002       -0.14622915765E+003
        0.35828608596E+000        0.45919266865E+002       -0.14320947369E+003
        0.36194206643E+000        0.45401074404E+002       -0.14028319866E+003
        0.36559804690E+000        0.44893415200E+002       -0.13744650024E+003
        0.36925402737E+000        0.44395968834E+002       -0.13469573973E+003
        0.37291000784E+000        0.43908427147E+002       -0.13202746100E+003
        0.37656598831E+000        0.43430494986E+002       -0.12943838017E+003
        0.38022196878E+000        0.42961888229E+002       -0.12692537599E+003
        0.38387794925E+000        0.42502334546E+002       -0.12448548065E+003
        0.38753392971E+000        0.42051571536E+002       -0.12211587129E+003
        0.39118991018E+000        0.41609347509E+002       -0.11981386197E+003
        0.39484589065E+000        0.41175419723E+002       -0.11757689605E+003
        0.39850187112E+000        0.40749555178E+002       -0.11540253913E+003
        0.40215785159E+000        0.40331528953E+002       -0.11328847235E+003
        0.40581383206E+000        0.39921125000E+002       -0.11123248605E+003
        0.40946981253E+000        0.39518134572E+002       -0.10923247383E+003
        0.41312579300E+000        0.39122357017E+002       -0.10728642699E+003
        0.41678177347E+000        0.38733598295E+002       -0.10539242923E+003
        0.42043775394E+000        0.38351671760E+002       -0.10354865164E+003
        0.42409373440E+000        0.37976396760E+002       -0.10175334807E+003
        0.42774971487E+000        0.37607599412E+002       -0.10000485065E+003
        0.43140569534E+000        0.37245111273E+002       -0.98301565640E+002
        0.43506167581E+000        0.36888770111E+002       -0.96641969498E+002
        0.43871765628E+000        0.36538418634E+002       -0.95024605137E+002
        0.44237363675E+000        0.36193905259E+002       -0.93448078433E+002
        0.44602961722E+000        0.35855082901E+002       -0.91911054910E+002
        0.44968559769E+000        0.35521809731E+002       -0.90412256614E+002
        0.45334157816E+000        0.35193948017E+002       -0.88950459164E+002
        0.45699755863E+000        0.34871364879E+002       -0.87524488961E+002
        0.46065353909E+000        0.34553931177E+002       -0.86133220567E+002
        0.46430951956E+000        0.34241522255E+002       -0.84775574217E+002
        0.46796550003E+000        0.33934016879E+002       -0.83450513476E+002
        0.47162148050E+000        0.33631297966E+002       -0.82157043030E+002
        0.47527746097E+000        0.33333251569E+002       -0.80894206595E+002
        0.47893344144E+000        0.33039767592E+002       -0.79661084943E+002
        0.48258942191E+000        0.32750738818E+002       -0.78456794049E+002
        0.48624540238E+000        0.32466061612E+002       -0.77280483324E+002
        0.48990138285E+000        0.32185634984E+002       -0.76131333964E+002
