Diffusion Coefficient [cm^2/s]
0.0280000028 0.000233463965696668 0.000280493915339625 0.000294417988780423
0.0560000028 0.000260438564225946 0.000289109670219043 0.000301939161728861
0.0840000028 0.000261683104311835 0.000283515099862528 0.000280195910174097
0.1120000028 0.000261509039003212 0.000277258633918278 0.000259020509025519
0.1400000028 0.000261703864529761 0.000272548449386389 0.000260898783343124
0.1680000028 0.000264079282627822 0.000270702969908123 0.000265078065593634
0.1960000028 0.000263554530964099 0.000269658582599046 0.000269654826581452
0.2240000028 0.000265450742679538 0.000269202992635354 0.00027397387070927
0.2520000028 0.000266009717262824 0.000269532343455074 0.000270266974038876
0.2800000028 0.000266744200972352 0.000269644581517178 0.000275700850101551
0.3080000028 0.000268514039350923 0.000270435835073488 0.000277029519783265
0.3360000028 0.000268806654546517 0.000271011633948335 0.000268247272266496
0.3640000028 0.000269611117649021 0.000271676765464943 0.000265916463256161
0.3920000028 0.000270545335930601 0.00027220612510118 0.000268008404406462
0.4200000028 0.000271730495852457 0.000272947654900882 0.00026864418499112
0.4480000028 0.000271760511398053 0.000273671781003141 0.000258847094713697
0.4760000028 0.000271627571279612 0.000273960699243615 0.000259691296796912
0.5040000028 0.000273373421454728 0.000274475651456886 0.000267019055456606
0.5320000028 0.000274181919289421 0.000275177389545804 0.000265914471814886
0.5600000028 0.000273498219583501 0.000275684268820616 0.000263629590147637
0.5880000028 0.000273806338847882 0.000275985921701721 0.000269445978532006
0.6160000028 0.000275232073924097 0.000276378062775929 0.000261397464405321
0.6440000028 0.00027648993113736 0.000276974416340505 0.000264763220038039
0.6720000028 0.000278215140989428 0.00027783769262645 0.000269600987130057
0.7000000028 0.00027880916695074 0.000278747292525148 0.000266626465818961
0.7280000028 0.000277771077120571 0.000279415026548894 0.000268824933934951
0.7560000028 0.000278393850992847 0.000279889133452932 0.000265359836466905
0.7840000028 0.000278582058499203 0.000280331290678705 0.000263498205382353
0.8120000028 0.000279496157536803 0.000280778860303845 0.000266806661717793
0.8400000028 0.000279573684183022 0.000281264780965551 0.000271461512071065
0.8680000028 0.00027996775973289 0.000281641105925054 0.000267981897253948
0.8960000028 0.000280173563491193 0.000282008732857945 0.000269621076199342
0.9240000028 0.000281082542268547 0.000282383949772068 0.000269049257038232
0.9520000028 0.000282324312699552 0.000282912473495113 0.000272103946550642
0.9800000028 0.000283039123310778 0.00028346279564389 0.000278522265328061
1.0080000028 0.000282204657511211 0.000283979866661642 0.000269976917303148
1.0360000028 0.00028231845305955 0.000284327744196605 0.000262509180600472
1.0640000028 0.000282477345120092 0.000284599057888011 0.000258892815744837
1.0920000028 0.000282775388196309 0.000284868114917009 0.000262696105690813
1.1200000028 0.000282258593867968 0.000285112013516477 0.000262027486587954
1.1480000028 0.000282210013566787 0.000285226363398988 0.000255366379976879
1.1760000028 0.000282803213827097 0.000285395842905787 0.00025341761565997
1.2040000028 0.000283152322105291 0.000285575323228301 0.000253993715466783
1.2320000028 0.000283128587040674 0.000285749624168043 0.000255297333101279
1.2600000028 0.000283355953642122 0.00028589620543415 0.000249410472471092
1.2880000028 0.000283419000272624 0.000286018260305954 0.000248542052505148
1.3160000028 0.000283811142344894 0.000286203350003214 0.000250024224635216
1.3440000028 0.000284469639405143 0.000286373506798194 0.00024419900822548
1.3720000028 0.000284229762643527 0.000286567847186705 0.000239150440623805
1.4000000028 0.000284319512406307 0.000286727154745852 0.000239488519266376
1.4280000028 0.000284985460771318 0.000286898162031305 0.000237345605822893
1.4560000028 0.000285242293169038 0.00028708705436844 0.00023783895460643
1.4840000028 0.000285311467105279 0.000287286550866978 0.000241990885036248
1.5120000028 0.000286068527426183 0.000287497132756655 0.000235824810994687
1.5400000028 0.000286369419093678 0.000287743183479711 0.000232536724940368
1.5680000028 0.000286457534866033 0.000287975028533411 0.0002296994351596
1.5960000028 0.000286121960193968 0.000288180315562098 0.000225549279207596
1.6240000028 0.000286338959950382 0.000288342025024769 0.000224337986257018
1.6520000028 0.000286497470097773 0.000288489096807015 0.000222311460557281
1.6800000028 0.000286888834557585 0.000288669866645046 0.000218117183834516
1.7080000028 0.000286727698159189 0.000288837131035796 0.000220887297781388
1.7360000028 0.000286850855415589 0.00028897771537304 0.000219937635586934
1.7640000028 0.000287361972616101 0.00028913102013126 0.000205371763963858
1.7920000028 0.000287929681330568 0.000289320240575684 0.00020071655865392
1.8200000028 0.000287308617080683 0.000289493526696102 0.000197404014788896
1.8480000028 0.00028700594228524 0.000289607491606719 0.000198835515239505
1.8760000028 0.000286321427442227 0.000289670208434907 0.000204839827544836
1.9040000028 0.000285925004449741 0.000289655581117116 0.000210649693363928
1.9320000028 0.000285909043923427 0.000289624408939509 0.000214843583030703
1.9600000028 0.000286580437957834 0.000289626296180977 0.000215474127229237
1.9880000028 0.000286732119472435 0.000289664157038604 0.00021007445442462
2.0160000028 0.000286591354587849 0.000289690895719931 0.000210382762147888
2.0440000028 0.000286357018567468 0.000289686938871886 0.00020608455127982
2.0720000028 0.000286814985816911 0.000289703997309764 0.000205055133590526
2.1000000028 0.000286161833808319 0.000289697879524598 0.000207098724114128
2.1280000028 0.000285924888374462 0.000289664055655104 0.00021229150199301
2.1560000028 0.000286058481692772 0.000289616750292565 0.000216104228616629
2.1840000028 0.000286522163232097 0.000289595878056333 0.000222903395211634
2.2120000028 0.000287087628440951 0.00028960445046598 0.000223425898655582
2.2400000028 0.000287419979390851 0.000289655905103025 0.000220964467527189
2.2680000028 0.000287005623327782 0.000289690746560374 0.000218692920571338
2.2960000028 0.00028695673592988 0.000289704728039845 0.000219802876122604
2.3240000028 0.000286719153333361 0.000289694089740198 0.000207071439976288
2.3520000028 0.000287075878982565 0.000289709617576349 0.000207821325469557
2.3800000028 0.000287210770283427 0.000289730933935048 0.000208721428322838
2.4080000028 0.000287451495555501 0.000289750286100302 0.00020324364273562
2.4360000028 0.00028737438649261 0.000289782453091357 0.000208804227621621
2.4640000028 0.000287622665132784 0.000289818389399848 0.00021359734040559
2.4920000028 0.000287684968883905 0.000289852711223359 0.000211020381945289
2.5200000028 0.000287143690463773 0.000289873006535056 0.000212567336177545
