# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
11000 200
110 545 74 -4.26605e+06 -1.33256e+06 1.69748e+06
111 550 73 -4.36171e+06 -1.33077e+06 1.68831e+06
112 555 72 -4.45452e+06 -1.32739e+06 1.67922e+06
113 560 71 -4.54442e+06 -1.3224e+06 1.67022e+06
114 565 70 -4.6314e+06 -1.3159e+06 1.66135e+06
115 570 69 -4.71545e+06 -1.30788e+06 1.65257e+06
116 575 68 -4.79656e+06 -1.29841e+06 1.64392e+06
117 580 67 -4.87472e+06 -1.2875e+06 1.63543e+06
118 585 66 -4.94991e+06 -1.27525e+06 1.62705e+06
119 590 65 -5.02212e+06 -1.26165e+06 1.61879e+06
120 595 64 -5.09132e+06 -1.24673e+06 1.61065e+06
121 600 63 -5.15751e+06 -1.23056e+06 1.60263e+06
122 605 62 -5.22069e+06 -1.21322e+06 1.59476e+06
123 610 61 -5.28086e+06 -1.19473e+06 1.58702e+06
124 615 60 -5.33804e+06 -1.17517e+06 1.57941e+06
125 620 59 -5.3922e+06 -1.15456e+06 1.57191e+06
126 625 58 -5.44336e+06 -1.13298e+06 1.56452e+06
127 630 57 -5.49158e+06 -1.1105e+06 1.55724e+06
128 635 56 -5.53674e+06 -1.08721e+06 1.55007e+06
129 640 55 -5.57888e+06 -1.06311e+06 1.54301e+06
130 645 54 -5.61809e+06 -1.03827e+06 1.53601e+06
131 650 53 -5.65439e+06 -1.0128e+06 1.52906e+06
132 655 52 -5.68776e+06 -986701 1.52218e+06
133 660 51 -5.71813e+06 -960061 1.51535e+06
134 665 50 -5.7456e+06 -932941 1.50856e+06
135 670 49 -5.77013e+06 -905420 1.50178e+06
136 675 48 -5.79175e+06 -877521 1.49496e+06
137 680 47 -5.81047e+06 -849316 1.48809e+06
138 685 46 -5.82628e+06 -820903 1.48119e+06
139 690 45 -5.8392e+06 -792365 1.4742e+06
140 695 44 -5.84932e+06 -763746 1.46711e+06
141 700 43 -5.85663e+06 -735144 1.45989e+06
142 705 42 -5.86109e+06 -706603 1.45253e+06
143 710 41 -5.8627e+06 -678187 1.44498e+06
144 715 40 -5.86152e+06 -650029 1.43723e+06
145 720 39 -5.85757e+06 -622114 1.42926e+06
146 725 38 -5.85087e+06 -594581 1.42106e+06
147 730 37 -5.8414e+06 -567468 1.41256e+06
148 735 36 -5.82919e+06 -540924 1.40374e+06
149 740 35 -5.81433e+06 -515059 1.39455e+06
150 745 34 -5.79679e+06 -489813 1.38496e+06
151 750 33 -5.77655e+06 -465207 1.37498e+06
152 755 32 -5.75376e+06 -441403 1.36464e+06
153 760 31 -5.72839e+06 -418411 1.35383e+06
154 765 30 -5.70045e+06 -396313 1.34257e+06
155 770 29 -5.66997e+06 -375160 1.33081e+06
156 775 28 -5.63705e+06 -355096 1.31844e+06
157 780 27 -5.60162e+06 -336097 1.30545e+06
158 785 26 -5.56387e+06 -318192 1.29186e+06
159 790 25 -5.5238e+06 -301520 1.27759e+06
160 795 24 -5.48151e+06 -286070 1.26255e+06
161 800 23 -5.43686e+06 -271913 1.24683e+06
162 805 22 -5.38995e+06 -259081 1.23026e+06
163 810 21 -5.34075e+06 -247657 1.21288e+06
164 815 20 -5.28927e+06 -237666 1.19469e+06
165 820 19 -5.2356e+06 -229158 1.17554e+06
166 825 18 -5.1798e+06 -222121 1.15544e+06
167 830 17 -5.12189e+06 -216758 1.13437e+06
168 835 16 -5.06204e+06 -212986 1.11231e+06
169 840 15 -5.00031e+06 -210744 1.08927e+06
170 845 14 -4.93685e+06 -210157 1.06523e+06
171 850 13 -4.87147e+06 -211248 1.04017e+06
172 855 12 -4.80425e+06 -214057 1.01403e+06
173 860 11 -4.73522e+06 -218691 986715
174 865 10 -4.66452e+06 -224997 958185
175 870 9 -4.5919e+06 -232782 928510
176 875 8 -4.51754e+06 -242293 897755
177 880 7 -4.44144e+06 -253406 865608
178 885 6 -4.3637e+06 -265988 832093
179 890 5 -4.28475e+06 -280441 797224
180 895 4 -4.20411e+06 -295850 761373
181 900 3 -4.12274e+06 -312913 723923
182 905 2 -4.03974e+06 -331917 685255
183 910 1 -3.95593e+06 -351947 645501
184 915 0 0.0 0.0 0.0
185 920 0 0.0 0.0 0.0
186 925 0 0.0 0.0 0.0
187 930 0 0.0 0.0 0.0
188 935 0 0.0 0.0 0.0
189 940 0 0.0 0.0 0.0
190 945 0 0.0 0.0 0.0
191 950 0 0.0 0.0 0.0
192 955 0 0.0 0.0 0.0
193 960 0 0.0 0.0 0.0
194 965 0 0.0 0.0 0.0
195 970 0 0.0 0.0 0.0
196 975 0 0.0 0.0 0.0
197 980 0 0.0 0.0 0.0
198 985 0 0.0 0.0 0.0
199 990 0 0.0 0.0 0.0
200 995 0 0.0 0.0 0.0
12000 200
1 0 383 1.40506e+07 7.46333e+06 2.78435e+06
2 5 382 1.4077e+07 7.47394e+06 2.77843e+06
