# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10400 100
100 10.5306 0.99313 298.962
10800 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.00055661 0.000153
19 1.95795 0.00697307 0.002295
20 2.06379 0.0532466 0.020467
21 2.16963 0.210975 0.100041
22 2.27546 0.561787 0.333104
23 2.3813 1.12339 0.843508
24 2.48713 1.68646 1.67935
25 2.59297 2.08121 2.80047
26 2.6988 2.19342 4.08046
27 2.80464 2.12443 5.41931
28 2.91047 1.86158 6.68271
29 3.01631 1.60601 7.85336
30 3.12214 1.33225 8.8938
31 3.22798 1.11112 9.82137
32 3.33382 0.914744 10.6359
33 3.43965 0.806115 11.4
34 3.54549 0.71692 12.122
35 3.65132 0.670573 12.8382
36 3.75716 0.636271 13.5578
37 3.86299 0.641664 14.3249
38 3.96883 0.656836 15.1538
39 4.07466 0.689064 16.0704
40 4.1805 0.731297 17.0943
41 4.28633 0.776622 18.2374
42 4.39217 0.857386 19.5624
43 4.498 0.920883 21.0551
44 4.60384 1.00487 22.7614
45 4.70968 1.08696 24.6929
46 4.81551 1.17545 26.8766
47 4.92135 1.21067 29.2256
48 5.02718 1.22332 31.7024
49 5.13302 1.23072 34.3002
50 5.23885 1.2145 36.9706
51 5.34469 1.19081 39.6957
52 5.45052 1.13816 42.4045
53 5.55636 1.09179 45.1048
54 5.66219 1.03779 47.7703
55 5.76803 0.976967 50.3743
56 5.87386 0.935924 52.9612
57 5.9797 0.897103 55.531
58 6.08554 0.874802 58.1264
59 6.19137 0.876061 60.8167
60 6.29721 0.868803 63.5767
61 6.40304 0.885205 66.4842
62 6.50888 0.894997 69.5217
63 6.61471 0.913262 72.7229
64 6.72055 0.939998 76.1241
65 6.82638 0.957557 79.6988
66 6.93222 1.00479 83.567
67 7.03805 1.03644 87.6799
68 7.14389 1.05577 91.9964
69 7.24972 1.06873 96.4963
70 7.35556 1.08616 101.204
71 7.4614 1.09365 106.082
72 7.56723 1.06767 110.98
73 7.67307 1.06819 116.018
74 7.7789 1.05666 121.14
75 7.88474 1.03796 126.31
76 7.99057 1.01813 131.517
77 8.09641 0.998274 136.76
78 8.20224 0.991052 142.101
79 8.30808 0.968494 147.456
80 8.41391 0.948802 152.837
81 8.51975 0.947297 158.346
82 8.62559 0.949325 164.004
83 8.73142 0.9571 169.849
84 8.83726 0.954366 175.82
85 8.94309 0.964451 182
86 9.04893 0.9761 188.403
87 9.15476 0.982947 195.002
88 9.2606 0.999369 201.868
89 9.36643 1.01182 208.979
90 9.47227 1.01989 216.31
91 9.5781 1.0138 223.761
92 9.68394 1.03073 231.504
93 9.78977 1.03207 239.428
94 9.89561 1.03864 247.576
95 10.0014 1.02851 255.818
96 10.1073 1.0269 264.222
97 10.2131 1.02009 272.746
98 10.319 1.01415 281.397
99 10.4248 1.00296 290.129
100 10.5306 0.991198 298.934
11000 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.00119325 0.000328
19 1.95795 0.00751346 0.002636
20 2.06379 0.0556142 0.021616
21 2.16963 0.221315 0.10509
22 2.27546 0.565721 0.339785
23 2.3813 1.11166 0.844857
24 2.48713 1.69024 1.68257
25 2.59297 2.08321 2.80477
26 2.6988 2.20298 4.09034
27 2.80464 2.08131 5.40201
28 2.91047 1.86369 6.66684
29 3.01631 1.608 7.83895
30 3.12214 1.33011 8.87772
31 3.22798 1.10766 9.8024
32 3.33382 0.92373 10.6249
33 3.43965 0.81528 11.3977
34 3.54549 0.729533 12.1324
35 3.65132 0.675375 12.8538
36 3.75716 0.641389 13.5791
37 3.86299 0.631226 14.3338
38 3.96883 0.657531 15.1635
39 4.07466 0.693116 16.0855
40 4.1805 0.71699 17.0893
41 4.28633 0.786516 18.247
42 4.39217 0.852519 19.5646
43 4.498 0.915522 21.0485
44 4.60384 1.01036 22.7641
45 4.70968 1.09063 24.7022
46 4.81551 1.16173 26.8604
47 4.92135 1.2076 29.2035
48 5.02718 1.24194 31.718
49 5.13302 1.23215 34.3188
50 5.23885 1.21267 36.9851
51 5.34469 1.19644 39.7231
52 5.45052 1.12898 42.4101
53 5.55636 1.08578 45.0955
54 5.66219 1.02736 47.7342
55 5.76803 0.991071 50.3758
56 5.87386 0.930438 52.9475
57 5.9797 0.896863 55.5166
58 6.08554 0.871555 58.1024
59 6.19137 0.875277 60.7903
60 6.29721 0.871456 63.5587
61 6.40304 0.890027 66.482
62 6.50888 0.894005 69.5162
63 6.61471 0.915781 72.7262
64 6.72055 0.940099 76.1278
65 6.82638 0.967634 79.7401
66 6.93222 1.00291 83.6011
67 7.03805 1.02974 87.6874
68 7.14389 1.0615 92.0273
69 7.24972 1.07458 96.5518
70 7.35556 1.08133 101.239
71 7.4614 1.08803 106.091
72 7.56723 1.06436 110.974
73 7.67307 1.0667 116.005
74 7.7789 1.05384 121.114
75 7.88474 1.03885 126.288
76 7.99057 1.01876 131.499
77 8.09641 0.994985 136.724
78 8.20224 0.985194 142.033
79 8.30808 0.976347 147.432
80 8.41391 0.96126 152.884
81 8.51975 0.940747 158.354
82 8.62559 0.945864 163.992
83 8.73142 0.948369 169.784
84 8.83726 0.96436 175.817
85 8.94309 0.966018 182.007
86 9.04893 0.978453 188.425
87 9.15476 0.981978 195.018
88 9.2606 0.996072 201.861
89 9.36643 1.01168 208.972
90 9.47227 1.0244 216.335
91 9.5781 1.02401 223.861
92 9.68394 1.024 231.553
93 9.78977 1.0326 239.482
94 9.89561 1.03306 247.586
95 10.0014 1.02281 255.782
96 10.1073 1.02239 264.149
97 10.2131 1.02141 272.684
98 10.319 1.01627 281.353
99 10.4248 1.00265 290.082
100 10.5306 0.993225 298.906
11200 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.000542058 0.000149
19 1.95795 0.00744836 0.002437
20 2.06379 0.0575832 0.022089
21 2.16963 0.229174 0.108527
22 2.27546 0.568994 0.34458
23 2.3813 1.1399 0.862486
24 2.48713 1.66219 1.6863
25 2.59297 2.06707 2.79981
26 2.6988 2.2201 4.09536
27 2.80464 2.08487 5.40928
28 2.91047 1.83554 6.65502
29 3.01631 1.5753 7.80329
30 3.12214 1.34724 8.85544
31 3.22798 1.11033 9.78234
32 3.33382 0.957762 10.6352
33 3.43965 0.811571 11.4044
34 3.54549 0.729485 12.1391
35 3.65132 0.673262 12.8582
36 3.75716 0.649018 13.5922
37 3.86299 0.628578 14.3437
38 3.96883 0.650058 15.164
39 4.07466 0.69321 16.0861
40 4.1805 0.720541 17.0949
41 4.28633 0.790311 18.2582
42 4.39217 0.842201 19.5598
43 4.498 0.919206 21.0497
44 4.60384 1.00685 22.7593
45 4.70968 1.094 24.7033
46 4.81551 1.16858 26.8743
47 4.92135 1.20791 29.218
48 5.02718 1.23041 31.7091
49 5.13302 1.22815 34.3015
50 5.23885 1.23431 37.0154
51 5.34469 1.18487 39.727
52 5.45052 1.13211 42.4214
53 5.55636 1.07326 45.0759
54 5.66219 1.02436 47.7069
55 5.76803 0.986663 50.3366
56 5.87386 0.936661 52.9256
57 5.9797 0.902335 55.5104
58 6.08554 0.876365 58.1104
59 6.19137 0.872951 60.7912
60 6.29721 0.87103 63.5583
61 6.40304 0.88618 66.4689
62 6.50888 0.890229 69.4903
63 6.61471 0.916029 72.7012
64 6.72055 0.943046 76.1134
65 6.82638 0.98892 79.8052
66 6.93222 0.996566 83.6418
67 7.03805 1.0325 87.739
68 7.14389 1.05473 92.0512
69 7.24972 1.07387 96.5728
70 7.35556 1.07511 101.233
71 7.4614 1.07922 106.046
72 7.56723 1.07605 110.982
73 7.67307 1.06182 115.99
74 7.7789 1.0538 121.099
75 7.88474 1.04694 126.313
76 7.99057 1.01609 131.51
77 8.09641 0.99248 136.722
78 8.20224 0.981948 142.015
79 8.30808 0.970371 147.38
80 8.41391 0.960509 152.828
81 8.51975 0.948035 158.34
82 8.62559 0.94975 164.001
83 8.73142 0.948173 169.792
84 8.83726 0.964731 175.828
85 8.94309 0.966655 182.021
86 9.04893 0.976909 188.43
87 9.15476 0.983147 195.03
88 9.2606 0.99762 201.884
89 9.36643 1.0122 208.998
90 9.47227 1.01824 216.317
91 9.5781 1.02545 223.853
92 9.68394 1.03155 231.603
93 9.78977 1.03121 239.52
94 9.89561 1.02647 247.573
95 10.0014 1.02813 255.811
96 10.1073 1.02094 264.167
97 10.2131 1.01616 272.658
98 10.319 1.01246 281.294
99 10.4248 1.00257 290.023
100 10.5306 0.998368 298.892
11400 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.000276486 7.6e-05
19 1.95795 0.00905327 0.002857
20 2.06379 0.0579466 0.022633
21 2.16963 0.224918 0.107466
22 2.27546 0.596112 0.354769
23 2.3813 1.11842 0.862914
24 2.48713 1.65949 1.68539
25 2.59297 2.06406 2.79728
26 2.6988 2.19755 4.07967
27 2.80464 2.09883 5.40239
28 2.91047 1.84974 6.65775
29 3.01631 1.57559 7.80624
30 3.12214 1.34298 8.85506
31 3.22798 1.1232 9.79271
32 3.33382 0.954713 10.6428
33 3.43965 0.813135 11.4136
34 3.54549 0.723639 12.1423
35 3.65132 0.671544 12.8596
36 3.75716 0.638463 13.5817
37 3.86299 0.637777 14.3441
38 3.96883 0.64535 15.1585
39 4.07466 0.687448 16.0729
40 4.1805 0.72577 17.0891
41 4.28633 0.790277 18.2523
42 4.39217 0.85153 19.5683
43 4.498 0.926352 21.0698
44 4.60384 1.00443 22.7754
45 4.70968 1.08923 24.7109
46 4.81551 1.15908 26.8642
47 4.92135 1.20551 29.2032
48 5.02718 1.23564 31.705
49 5.13302 1.23757 34.3172
50 5.23885 1.22777 37.0167
51 5.34469 1.18076 39.7189
52 5.45052 1.13575 42.4219
